start,end,text
45.891,78.988,"The surgeon establishes pneumoperitoneum and scores the peritoneum under the proximal inferior mesenteric vein, entering the bloodless embryonic fusion plane to separate the mesocolon from the retroperitoneum while protecting contained structures."
79.488,89.11,"The surgeon continues the dissection laterally over Dorota's fascia towards the abdominal sidewall, carefully separating the tissue layers."
89.61,111.419,"The surgeon focuses on dissecting and skeletonizing the inferior mesenteric vein at its origin, followed by clipping and dividing the vein."
111.919,133.872,"The surgeon enters the lesser sac adjacent to the ligament of Treitz, dividing tissues along the inferior border of the pancreas in a medial-lateral direction, facilitating the mobilization of the pancreas."
134.372,148.527,"A surgical sponge is placed underneath the mesocolon, extending towards the splenic flexure, preparing the area for subsequent steps in the procedure."
149.027,177.133,"The surgeon focuses dissection inferiorly towards the inferior mesenteric artery, scoring the peritoneum beneath it and developing the plane between the mesocolon and the retroperitoneum in a medial to lateral fashion."
177.633,184.367,"The surgeon carefully identifies and protects the ureter during the dissection, ensuring it is not damaged as the procedure progresses."
184.867,204.045,"The surgeon lifts anteriorly on the peritoneum from the previous dissection, revealing the remaining attached tissues in the surgical field."
204.545,236.013,"The surgeon scores the peritoneum to connect the dissection of the inferior mesenteric vein (IMV) to the inferior mesenteric artery (IMA), while carefully identifying and preserving the ureter."
236.513,274.968,"The surgeon skeletonizes the inferior mesenteric artery (IMA) and divides it between clips using bipolar energy. Tension is released on the mesocolon to prevent bleeding, and the IMA stump is visually assessed for any signs of bleeding."
275.468,306.038,"The surgeon completes the medial dissection and proceeds to divide the lateral attachments of the peritoneum to the sidewall along the white line using monopolar and bipolar energy. The previously placed retractor in the splenic flexure is visible, confirming the correct dissection plane."
306.538,324.229,"The surgeon opens the lesser sac along and below the gastroepiploic arcade, dividing the omentum towards the splenic flexure. The colon is released up to the middle colic vessels, and the final attachments of the splenic flexure are divided."
324.249,353.156,"The surgeon continues the total mesorectal excision (TME) dissection into the holy plane at the upper rectum, carefully avoiding the hypogastric nerves. The dissection progresses smoothly down to the pelvic floor."
