start,end,text
30.153,51.252,"The surgeon makes the first medial incision and places an Alexis wound protector. Blunt dissection is performed to create space for three 8mm ports. A 30-degree down camera is used, and an AirSeal 12mm system port is inserted through the Alexis for insufflation."
51.752,99.936,"The surgeon demonstrates the placement of the most medial port at the sixth intercostal space, similar to a standard VATS incision. Using fingers, the surgeon bluntly dissects a space, ensuring the diaphragm is down and there is room for maneuvering. An extra small Alexis wound protector is inserted and rolled down like a turtleneck. A 30-degree camera is placed through the Alexis, fluid is suctioned out, and a ring clamp is used to dissect the diaphragm away under direct vision."
100.436,177.858,"The surgical team places three eight-millimeter robotic ports under direct vision, with the left-hand port positioned just above the diaphragm. The surgeon uses a long bipolar grasper in the right hand, a thirty-degree camera in the middle port, and a force bipolar in the left hand to manipulate the thick pleural peel. After placing the last port, the twelve-millimeter air seal is inserted through the Alexis wound protector, allowing insufflation to push the diaphragm down and create more working space."
178.358,238.515,"The surgical setup is visible, with the surgeon using a force bipolar in the left hand and a long bipolar grasper in the right hand. An assistant uses suction to remove fluid from the area. The pericardium is visible on the left side of the screen, while the lower lobe of the lung is adhered to the chest wall. The surgeon employs sponge rolls for blunt dissection, working in the plane between the lung and chest wall to separate the structures."
239.015,285.398,"The surgeon uses a force bipolar in the left hand to strip off a thick pleural peel, occasionally employing cautery for additional blunt dissection. The robotic setup allows for strong grip strength and flexibility in handling complex cases like fibrothoraxes and empyemas."
285.898,340.763,"The surgeon uses a sponge roll to strip the lung away from the chest wall, while the assistant uses suction to mobilize the lung. A fresh sponge roll is introduced to replace the used one."
405.007,464.967,"The surgeon uses a robotic setup to strip off a thin fibrous peel from the lung surface, revealing a leading edge that allows for easier removal. The lung is visible expanding within the chest cavity as the peel is carefully separated."
465.467,504.133,"The surgeon uses a sponge roll and a Kittner dissector to perform blunt dissection, separating tissue layers in the surgical field."
504.633,539.584,"The surgeon uses the firm setting on the force bipolar instrument to grip and remove the pleural peel from the lung, ensuring the lower lobe can expand without tearing the lung parenchyma, which could cause air leaks."
599.315,645.06,"The surgeon observes a small amount of fibrin at the apex, ensuring most of it has been removed. The assistant uses a suction device to aid in mobilizing the diaphragm, addressing the remaining fibrin."
645.56,704.733,"The surgeon pauses the air seal and instructs the anesthesiologist to inflate the lung with a Valsalva maneuver, observing the lung expand fully to fill the chest cavity. Two chest tubes are placed: one apical tube extending posteriorly to the apex, and another right-angle tube along the diaphragm."
