start,end,text
19.15,23.698,Welcome to this amazing new era of uniportal robotic surgery.
24.44,26.022,So Diego's done it again.
26.042,29.228,"10 years ago, he invented uniportal VAT surgery."
29.849,37.002,"And in the last year, since September, 2021, he's done over 100 uniportal robotic operations."
37.643,41.31,And I'm delighted to say that we have been given the opportunity
41.29,68.597,to watch this fantastic operation which is a left upper lobe uniportal robotic sleeve resection in a young lady with a carcinoid in the left upper lobe occluding it completely so here we join Diego the left upper lobe was completely collapsed because the carcinoid tumour was occluding the left upper lobe bronchus and so first of all he obviously had to get down a load of the adhesion so how does he do it?
68.577,74.024,The uniportal incision is usually one space lower than is normal uniportal incision.
74.665,77.429,You'll get some glimpses of the setup.
77.469,79.472,"Basically, this is an XI robot."
80.033,84.579,The gantries are set to the top of the patient.
84.999,90.407,"The camera is posterior, looking 30 down, as you can see in arm 3."
91.148,94.332,And then there's an arm in arm 1 and arm 2.
94.767,112.101,of note they're not crossed the left and right hand controllers you do not have to switch over so actually there's no clashing which is quite a surprise and Diego's been working very hard on this with Mugger and and several other surgeons from around the world and
112.452,116.156,And so it really has refined this process brilliantly.
116.596,123.743,"So here we see him at the anterior hilum of the left upper lobe, just exposing up the phrenic, getting rid of some more adhesions."
123.764,125.325,And now he's getting into the fissure.
125.886,135.315,"As we see in just a moment, young people, even if they do have a collapsed left upper lobe, often do have a very good fissure because they're young non-smokers."
135.555,138.038,And we can just see the pulmonary artery and the fissure there.
138.372,142.338,"quite a lot of adhesions, but the fissure itself isn't too bad at all."
142.358,147.186,So Diego is using a fenestrated bipolar in his left hand and a Maryland bipolar.
147.547,151.313,"Both have bipolar energy, which is really great for diathermy."
151.333,153.336,You can see the views are absolutely fantastic.
153.676,155.419,You can look straight down your instruments.
155.737,160.991,And then his assistant has a long sub-xiphoid metal sucker.
161.452,171.197,"Needs to be a sub-xiphoid, which is a 50 centimeter long sucker, because you do need that extra length to get past the standard robotic arms."
172.578,181.907,Other important modifications to move from multiportal robotics to uniportal robotics is that it's good to use the TORS trocars.
181.927,189.834,"They're the trocars that the ENT surgeons use as they are thinner and obviously use no CO2, normal Alexis ports."
190.815,191.595,And off you go.
191.696,195.239,"So there's just a station L11 lymph node, an interlobar node."
195.679,199.783,Diego's just freeing up some more adhesions at the posterior hilum there.
199.763,201.245,And now we're coming anterior.
201.545,203.148,You can see the pulmonary artery at the top.
203.188,210.879,Just look at the anterior hilum where the upper lobe vein is and cleaning up this area.
210.919,217.688,There's some lymph nodes just anterior to the pulmonary artery which are basically going to be on the bronchus.
217.837,220.141,So we use just three arms.
220.161,224.768,So one camera arm you can see bottom left and then two instrument arms.
224.808,226.491,It's actually really easy to set up.
226.551,228.894,It's much quicker than multiportal robotics.
229.756,235.244,"You just do uniportal incision, put your Lexus port in and drop in your three arms."
235.344,237.027,So it's actually quite a quick setup.
237.007,260.854,which is a very attractive part of the operation obviously the view is exactly the same as uniportal vats but you have your wrist instrumentation you've got bipolar diathermy which is great so here we are looking at the lingula artery we've got round it very nicely and so Diego slings it an assistant is really useful really important it's good if they've got good vats skills
260.834,269.262,"They do have to dance around the arms a little bit, but actually they're really useful for bringing slings in, for retracting, for suction."
270.423,281.154,"Also in multiportal robotics use quite a lot of cigars because it's difficult with the CO2 to use a sucker, but in uniportal robotics it's very easy to use very liberal suction, which is great."
281.194,289.862,"So when you staple, as we're seeing here using the SureForm stapler with a white load, you take out"
289.842,312.627,your 8mm TORS trocar you insert the 12mm trocar and introduce your stapler quite often you need to pull the remote centre back quite a bit further out of the chest just so you can get a good straight shot and there's the Sureform 45 just dividing that lingular branch of the pulmonary artery to the left upper lobe very nicely done so again you do need
312.607,329.265,a decent assistant who knows how to change the arms quite nicely so that you can seamlessly change from your 8mm trocars and your Maryland to a 12mm trocar for the stapling so now we've found two quite small
329.954,340.192,posterior segmental branch is maybe quite small due to the fact that the lobe has been collapsed and Diego is now going to take both at the same time.
340.633,350.73,"So we pulled out the 8mm trocar on the arm, we've swapped it for a 12mm and in goes the stapler, pulling back the remote centre a little bit and then nice straight run."
350.71,357.298,The real advantage is you can look straight down the stapler with uniportalism and a really nice firing there.
358.019,362.906,Straighten it and pull it out and then change over back to the Maryland.
363.346,376.363,So that's three segmental pulmonary artery branches just going in the fissure just to divide out the rest of the pulmonary artery and start to get the back of the bronchus freed up.
376.816,379.989,"So just looking, it is a different view to multiportal robotics."
380.009,387.619,"Multiportal robotics is quite a posterior or an inferior approach looking from below, but you do get that anterior uniportal view."
387.97,389.692,This is a nice little view.
389.732,393.497,"The very, very small little vessel looks like it's coming from the pulmonary artery."
393.838,398.704,"So instead of trying to bring the huge stapler in, because you've got robotic arms, it's really easy to tie knots."
399.465,404.752,Diego's brought in a medium black tie and he's just going to tie this branch.
405.212,416.847,Quite a lot of robotic surgeons do quite liberal tying of branches rather than stapling due to cheapness and due to how easy it is to tie in the robotic world.
417.097,443.56,nice and quickly tied there and actually you can then use his bipolar instrumentation to just divide that vessel distally so a really good safe way to get rid of a small segmental branch there nicely done and then his assistant can come in and just cut those ends short so they don't get in the way of anything and a really good way much better than stapling that tiny branch there really
446.358,448.94,We're just now going to go to the anterior hilum.
449.0,455.827,"So we've taken the lingular branch, either a couple of posterior segmental vessels, or maybe one was posterior, one was an apical."
456.387,463.974,And now we're going to go anterior and we're going to go and identify the superior pulmonary vein and the pulmonary artery.
464.655,466.156,"So again, really nice view."
466.617,467.658,It's really close up.
468.298,471.622,You've got your bipolar instrumentation in both hands.
471.722,473.243,Here's just a view on the outside.
473.695,478.404,"The assistant does have to work hard, keep the camera clean, keep things away from clashing."
478.444,481.49,Just have a little look at how the gantry is set up.
481.931,483.715,A little bit angulated posteriorly.
484.336,489.105,That's just the best way to set up your robot.
489.406,506.553,"We're just looking at a station 5 lymph node, quite a decent size station 5 lymph node and really good example of how the bipolar instrumentation can keep that, and diathermy can keep that quite dry and remove that station 5 lymph node very nicely."
506.593,509.237,Now just in the anterior hilum here.
509.217,516.625,removing some station 10 nodes and now identifying the gap between the bronchus and the vein.
517.026,534.685,The bipolar instrument in the left hand is really quite a soft grasper so it's quite safe to grasp the pulmonary vein and then Diego's just now looking for the exit point between the main pulmonary artery and the vein so that we can get an instrument safely passed around the back of the pulmonary vein.
534.833,548.052,"I'm sure Diego misses a little the tactile feedback, but this is more than compensated for by the 3D vision and the fantastic vision you get in robotics, so that as long as you watch your instruments around, it's entirely safe."
548.072,562.292,"So slung the left superior pulmonary vein, and now again we can introduce the short form 45 with a curved tip and a really nice shot on this pulmonary vein."
564.753,589.14,the short form 45 does a really good nice staple line it's a great stapler has nice adaptive compression so it really knows how much compressive force to use and it won't even fire if you're using tissue that's too thick for it so a really good safety step there so that's the vein taken so we've taken nearly all the arteries it's probably an anterior
589.323,607.905,segmental branch that we now need to have a look for so we're just going to carefully lift up the vein the assistance just doing a bit of suction a little bit of retraction and we're going to see if we can identify an anterior segmental branch of the pulmonary artery and here indeed we're starting to see it really nicely
608.122,612.571,"Remember the surgeon has 3D vision, far better vision on the console."
613.633,617.902,You can also have a second console as well for a second surgeon.
617.922,627.261,And we've identified from anteriorly and now we're going into the fissure to posteriorly identify the back of the anterior segmental branch of this pulmonary artery.
628.034,632.546,And you can now see also the bronchus really quite well dissected out.
632.626,636.977,So we've been anterior and now from posterior just making sure.
637.037,638.902,And you just saw a little sling there.
639.183,644.777,I think you may have just seen a little yellow sling and identifying that we have gone all the way to front to back.
644.757,650.446,So that is quite a nice little step so that you're absolutely sure you're around the vessel correctly.
650.826,661.062,Getting a sling round to be 100% sure that we're around the vessel safely and then instrument round just to make sure we've got a good space to pass the stapler.
661.042,686.205,probably could have taken this vessel from the front or the back but it's very nicely demonstrated here that we can take this vessel from behind because we've got space we've got a sling we've cleaned it up from both sides and so this is the last segmental branch using the short form 45 and that's all the arterial branches out that comes
686.523,714.775,and change back there's a bit of telestration you might just see just there just showing that some lymph nodes in front of the bronchus there indicating to the surgeon that that's what we want out so we can just grasp that with our fenestrated bipolar and dissect that out because that's now going to show us the bronchus which is really the main event because this is the bronchus with the occlusive tumor in it it's a tumor in the left upper lobe bronchus but it does cross
714.755,739.952,the lower lobe orifice although the lower lobe orifice was not occluded it was going across it as you'll see so now just taking off this lymph node lymph nodes are the key to good thoracic surgery if you get rid of your lymph nodes you see the anatomy so taking this L11 interlobar node is going to be really good for being able to see between the artery and the bronchus
740.185,744.191,And now just quickly taking the inferior pulmonary ligament.
744.211,751.142,It's probably quite a good part in the video just to show how easy it is to get all the way to the inferior pulmonary ligament by uniportal robotics.
752.384,760.778,"When I first started doing some cases, I was a little bit worried that you wouldn't be able to get all the way to the top of the bottom of the chest, but it's absolutely very straightforward."
761.259,763.442,So here's the inferior pulmonary ligament.
