start,end,text
147.014,177.431,"The surgeon enters the abdominal cavity using open laparoscopy and places two 5mm trocars in the right and left lumbar regions, along with a 12mm port in the left hypochondrium. Adherences in the supraumbilical midline are released, which are related to the patient's previous laparotomies."
147.014,177.431,"The surgeon enters the abdominal cavity using open laparoscopy and places two 5mm trocars in the right and left lumbar regions, along with a 12mm port in the left hypochondrium. Adherences in the supraumbilical midline are released, which are associated with the patient's previous laparotomies."
177.931,205.966,"The surgeon explores the upper quadrants of the abdominal cavity, identifying and dissecting epiploic adhesions attached to the liver."
177.931,205.966,"The surgeon explores the upper quadrants of the abdominal cavity, identifying and dissecting epiploic adhesions attached to the liver."
206.466,224.34,"The surgeon opens the remnants of the small omentum, revealing the cecum occupying the left upper quadrant in front of the stomach. This positioning is likely due to the previous dissection of the gastropathic ligament during the patient's prior hiatal hernia repair."
206.466,224.34,"The surgeon opens the remnants of the small omentum, revealing the cecum occupying the left upper quadrant in front of the stomach. This positioning is likely due to the previous dissection of the gastropathic ligament during the patient's prior hiatal hernia repair."
224.84,341.767,The surgeon performs maneuvers to reduce the hernia by gently drawing the colon from the right side and pushing the cecum from the left side. The successful reduction of the colon allows for exploration of the anatomy of the foramen of Winslow.
224.84,324.657,"The surgeon performs maneuvers to reduce the hernia, gently drawing the column from the right side while pushing the cecum from the left side, visible within the lesser sac."
325.157,384.34,"The surgeon successfully reduces the colon, revealing the anatomy of the foramen of Winslow. This anatomical structure is located anterior to the inferior vena cava, posterior to the hepatoduodenal ligament, and surrounded by the caudate lobe of the liver. The foramen appears narrow, indicating the herniation was due to abnormal mobility of the ascending colon. The herniated intestinal segment is visibly viable."
342.267,384.34,"The herniated intestinal segment is located anterior to the inferior vena cava, posterior to the hepatoduodenal ligament, and surrounded by the caudate lobe of the liver. The foramen of Winslow appears narrow, indicating the herniation is due to abnormal mobility of the ascending colon. The intestinal segment shows clear viability."
384.84,498.118,"The surgeon secures the mesocolon with multiple cross-stitches of non-absorbable suture, anchoring it up to the right colic angle as part of the ileocolopexy procedure, following the repositioning of the cecum to its orthoptic position."
384.84,498.118,"The surgeon secures the mesocolon in place by performing an ileocolopexy, using multiple cross-stitches of non-absorbable suture to anchor it up to the right colic angle after repositioning the cecum to its orthotopic location."
498.618,527.532,"The surgeon washes the abdominal cavity, ensuring no bleeding is present. To prevent hernia recurrence, the foramen of Winslow is packed with diamantum."
498.618,527.532,"The surgeon washes the abdominal cavity, ensuring no bleeding is present. To prevent hernia recurrence, the foramen of Winslow is packed with diamantum material."
