start,end,text
0.918,64.419,"today we are going to be talking about another kind of cyst in the ovary which is called a dermoid cyst so they account for all approximately seventy percent of all the non-cancerous tumors of the ovary in women below the age of thirty they do not usually cause symptoms which is why they are discovered incidentally on ultrasound done for some other reason. So you may have gone to your doctor for getting an ultrasound done just as a routine checkup or for some other problem that you might have had. And the doctor on ultrasound says that you have a dermoid cyst. They're usually very slow growing, about two millimeters a year. And they're present in both ovaries in approximately ten to twenty percent. They have a very characteristic appearance on ultrasound. And what is this characteristic appearance? They may contain fat, hair, teeth and even bones. And of course, the teeth and the bones can actually be seen on the ultrasound as well."
64.919,134.608,"Even after removal, recurrence of the cyst can happen in about three to four percent of cases. And this is something every patient, every woman who is undergoing a dermoid removal needs to understand. Cancerous changes are very rare and can happen in less than two percent of cases and that too in women above the age of forty years and in cysts which are larger than five centimeters. So the cancer risk is really not very high and we can be rest assured about that. they should be removed when the size is more than five centimeters or they are growing at more than two centimeters per year remember they usually grow at about two millimeters a year so if the growth is more than two centimeters per year or are causing symptoms or there are features suggestive of cancerous changes then this dermoids just needs to be removed and of course removal is best done laparoscopically so now let's move on and see how a dermoid cyst can be removed laparoscopically and how does it look like when a laparoscopy is done"
135.108,182.312,"The surgeon holds up the left ovary, which contains the dermoid cyst, while visually identifying the right ovary and fallopian tube. The camera pans to show the upper abdomen, revealing the beating heart, left and right lobes of the liver, and the gallbladder. The view returns to the lower abdomen, displaying the left fallopian tube, left ovary, right ovary, and right fallopian tube, as the surgeon prepares to remove the dermoid cyst from the left ovary."
182.812,253.033,"The surgeon uses electric current to make a small incision in the dermoid cyst located in the left ovary. Gooey material, including fluid and solid parts such as hair, teeth, and bones, is visible emerging from the cyst. A surgical bag is used to contain these contents and prevent spillage into the abdominal cavity. The surgeon carefully separates the cystic part from the healthy ovarian tissue."
253.533,341.043,"The surgeon carefully separates the cyst on the right side from the left ovary, ensuring complete removal to prevent recurrence. Although the majority of the cyst has been extracted, some material remains within the ovarian tissue, requiring further dissection to ensure thorough removal."
341.543,381.936,"The surgeon carefully peels away the remaining part of the cyst from inside the ovary. After complete removal of the cyst, the surgical field is inspected for bleeding, revealing one blood vessel that requires sealing."
382.436,443.465,"The surgeon identifies a small bleeder in the ovary and uses a different type of electric current to seal the blood vessel. The meticulous cleaning process is shown, emphasizing the careful removal of cyst remnants to prevent spillage of contents into the abdominal cavity."
443.965,473.107,"Because if some parts of the cyst are left inside, if this is not done meticulously, the chances of infection are very very high. So silly as it may seem, this part is very important."
473.607,553.443,"Of course the tissue which we have removed, we are going to be putting it into a bag and removing it from the tummy. I am not showing that part in this surgery video. You have seen it before in our other surgery videos. We are still cleaning. This is really a very long part in Dermoid Cysts. We take a lot of time in doing this. Do watch our other videos. Subscribe to my channel so that you are aware whenever I post a video of any surgery. Do let me know if there are any particular procedures that you would like me to put up and I'd be happy to do the same. Please keep your comments and suggestions flowing. I'm really happy to answer all of them whenever I can."
553.943,573.101,I know I've really shown the cleaning part very long but this is how long and how many times we clean the tummy. I just wanted to reinforce that part to everyone. No corner should be cut when cleaning the tummy in any case and especially in a case of a dermoid cyst.
