start,end,text
0.807,24.084,"Hello, I'm sharing a case of a laparoscopic abdominal perineal resection. This is a patient with FAP who more than two decades ago had a subtotal colectomy with a iliorectal anastomosis. This was a hand sewn procedure, so there's really no identification on imaging where the anastomosis is."
24.584,34.431,"The surgical field reveals thick fibrous adhesions from a previous open operation, visible as dense, white bands of tissue."
34.931,66.735,"The surgeon attempts to elevate the small bowel from the pelvis to identify the rectum, amidst challenging adhesions that require extensive dissection."
67.235,115.362,"The surgeon navigates the right pelvic side wall, identifying the iliorectal anastomosis and attempting to find a dissection plane into the pelvis. Thick fibrous adhesions are visible, with the external iliac being drawn up onto the rectum, which the surgeon sweeps down and away, revealing no normal tissue plane."
115.862,149.368,"This patient did not have a leak after their iliorectal. They've never had radiation. It's unclear to me exactly why these adhesions are as bad as they are. The reason for the operation is that after this patient Had their iliorectal, they were kind of lost to follow up for decades, had developed some rectal bleeding and flexible sigmoidoscopy showed innumerable polyps in the rectum with a strong concern for cancer and in fact final pathology confirmed a cancer."
149.868,205.526,"The surgeon attempts to identify and dissect along the right lateral aspect of the rectum, aiming to access the retrorectal plane. The dissection is focused on navigating towards the space over the sacral promontory."
206.026,228.321,"The surgeon identifies the right ureter, which is visibly drawn up onto the rectum alongside the iliac vessel. The absence of ureteral catheters is noted as the ureter is carefully exposed in the surgical field."
228.821,297.037,"The surgeon gently sweeps tissue down to expose the right ureter, which is visible without the aid of stents or ICG. The surgeon continues to work downwards, attempting to locate the sacral promontory and identify any entry into the pelvis. The right ureter serves as a lateral boundary while the surgeon works anteriorly to determine if an anastomosis is present."
297.537,378.128,"The surgeon navigates the pelvis between the bladder and bowel, attempting to identify whether the bowel is small intestine or rectum. Despite expectations of no adhesions below the peritoneal reflection, significant fibrosis is observed in natural planes. The surgeon works around the left anterior side of the bowel, encountering a fused plane likely due to previous surgery, then returns to the right side, working higher over the sacral promontory where the ureter is visible."
378.628,490.206,"The surgeon identifies the rectal mesentery and uses the right ureter as a lateral boundary while working towards the pelvis. The dissection reveals the TME plane, which appears scarred. The surgeon notes the right common iliac artery and the bifurcation into the external and internal iliac arteries, as well as the left common iliac vein. The posterior window of the TME plane and the walled iris fascia are visible. The surgeon attempts to follow this plane down into the pelvis and anteriorly, with the bladder visible in the field."
490.706,566.253,"The surgeon works down the left-hand side, attempting to separate the retroperitoneum. The iliac artery is visible on the left side of the screen. A large wad of fat is observed between the bowel and the iliac, with no clear planes identified. The surgeon is uncertain whether the tissue is lymph node tissue or residual colon mesentery."
566.753,689.013,"The surgeon continues dissection along the anterior surface of the rectum, attempting medial to lateral dissection beneath the retrorectal space on the patient's right. The ureter is visibly pulled up in the air, indicating distorted anatomy. The surgeon identifies the mesorectal fascia and walled iris fascia posterior to the sacral promontory, with the hypogastric plexus nerves visible on the right side."
689.513,750.829,"The surgeon works posteriorly along the sacrum, developing a normal appearing plane. The dissection progresses laterally on both the right and left sides to facilitate easier lateral dissection. The surgeon continues in a medial to lateral fashion towards the left-hand side, aiming to create a window or locate the ureter to assist with the challenging lateral dissection."
751.329,867.698,"The surgeon navigates the posterior plane, visualizing the ureter elevated in the air, and proceeds with dissection on the right-hand side. A portion of the mesorectum is left on the right side wall to avoid proximity to the ureter as it approaches the bladder. The surgeon joins the posterior plane, moving closer to the lateral TME plane on the right, and performs an anterior dissection beneath the prostate and vesicles, encountering a fused plane."
868.198,1039.634,"The surgeon attempts lateral dissection on the left side of the rectum, encountering a large wad of fat that may be rectal mesentery, retroperitoneal fat, or residual sigmoid mesentery. The surgeon explores a plane between the bowel wall and the fat, aiming to connect with the previously dissected medial plane. The left common iliac vein and artery are visible, but the ureter remains elusive. A sponge is placed over the vessels to facilitate further dissection of the left-sided TME plane. The surgeon clamps proximal to the suspected anastomosis site, noting the sewn nature of the anastomosis and the presence of polyps filling the rectum, obscuring normal mucosa."
1040.134,1160.132,"The surgeon marks the area where polyps stop in the small bowel and places clips on it. The small bowel is tethered, requiring extensive laparoscopic lysis of adhesions. The anastomosis is exteriorized through a fan and steel incision to assist with adhesion lysis. The surgeon then proceeds with lateral dissection, finding a safe window into the retroperitoneum along the left-sided TME plane. The large wad of fat is removed with the specimen, while the ureter is identified and kept lateral to the iliac, ensuring safety during dissection. The thick, fibrous tissue requires multiple burns and cuts with the ligature to progress, with frequent checks on the ureter's position."
1160.632,1280.715,"The surgeon completes the dissection from the abdominal side, achieving better exposure for a perineal dissection. The procedure is performed in a lithotomy position, with the surgeon's partner working on residual lysis of adhesions through a Pfannenstiel incision. The ileum is disconnected at the level of the clip and exteriorized through the incision, with the end of the ileum suspended in the wound using a suture. The surgeon checks for hemostasis in the pelvic region."
1281.215,1334.782,"The surgeon confirms hemostasis in the pelvic region following the completion of the abdominoperineal resection (APR). Surgical gauze is visible from the perineal side, and the right ureter appears skeletonized but intact. The ileum is prepared for exteriorization to create an ileostomy."
1335.282,1379.491,"The surgeon pulls the end of the ileum through the right lower quadrant port site to create the ileostomy, ensuring there is no twisting of the bowel. The mesentery is checked for flatness, and the bowel is oriented with the mesentery towards the head and the bowel towards the feet."
