start,end,text
26.517,50.6,"The video shows the previous mesh, identified as a 3D Max mid, extra large, positioned slightly too high, contributing to the posterior recurrence of the hernia. Retroperitoneal fat is visible, suspected to have been left behind from previous operations."
51.1,73.09,"The surgeon uses a fourth robotic arm to explore the area, attempting to identify a plane between the peritoneum and the mesh. The mesh appears to be placed in the preperitoneal space, outside the retro-rectal space, which is easily dissected."
73.55,114.952,"The surgeon observes a folded mesh protruding slightly, indicating its anterior placement. The surgical field reveals multiple layers laterally, allowing for the identification of a plane without cutting through the transverse abdominus muscle."
115.452,178.209,"The surgeon performs dissection in a more anterior plane than previous attempts, avoiding injury to the inferior epigastric vessels by applying downward traction. The surgical field is wide open, allowing for aggressive and quick movements, with the fourth robotic arm aiding in retraction and manipulation of the mesh."
178.709,217.537,"The surgeon works medially, anterior to the mesh, ensuring the bladder remains dorsal to the mesh to avoid injury. Using tension and counter-tension, the surgeon carefully divides tissue layers while maintaining hemostasis for clear visibility of important structures. The dissection progresses smoothly, with the inferior epigastric vessels successfully separated."
218.018,255.206,"The surgeon proceeds to dissect deeper into the lateral portion, which is open due to the mesh not extending laterally or posteriorly. The dissection begins by identifying normal tissue planes and moving towards the scar tissue. The surgeon attempts to locate the testicular vessels early, but notes the presence of significant retroperitoneal fat, making the vessels difficult to find."
255.246,300.189,"The surgeon identifies the blue line from the 3D Max mesh, indicating the presence of additional mesh distal to this line. They proceed to work broadly with the soft tissue, being cautious of the nearby bladder. The surgeon carefully navigates the area, utilizing the abundant areolar tissue for dissection."
300.689,357.158,"The surgeon moves from a deeper dissection to a more superficial area, focusing on finding the plane along the anterior portion of the mesh. The dissection is performed cautiously to avoid injuring the inferior epigastric vessels, with visible fat and the transverse saliv sling medially. The surgeon uses cautery aggressively along the broad plane, ensuring no nerves are injured."
357.658,398.965,"The surgeon identifies a blue line on the mesh, indicating the amount of mesh left to dissect. The blue line is positioned about a third of the way from the posterior edge. The surgeon navigates laterally, entering a plane where the testicular vessel fat and peritoneum become visible."
399.365,462.475,"The surgeon identifies the posterior lateral edge of the mesh and begins peeling the fatty tissue off the peritoneum. A microfacial layer, referred to as the Shiozaki layer, is visible, which helps separate the testicular vessels from the peritoneum within the retroperitoneal fat. The surgeon works on this layer to remove the mesh while preserving the testicular vessels."
462.975,511.664,"The surgeon attempts to separate the retroperitoneal fat from the peritoneum, following the edge of the mesh. The mesh is lifted off as the plane between the mesh and the testicular vessels appears benign, allowing for easy separation. The surgeon navigates through multiple layers of fatty tissue, ensuring careful manipulation to avoid injuring the vas deferens."
512.164,578.63,"The surgeon carefully dissects around the mesh, mindful of the proximity to the vas deferens and testicular vessels. The mesh is peeled off the testicular vessels, revealing multiple layers of tissue. The surgeon considers removing a significant portion of the mesh, ensuring minimal damage to the surrounding tissue."
579.13,612.479,"The surgeon encounters a sticky section of mesh and inadvertently creates a small hole in the peritoneum. The dissection plane becomes challenging, prompting a shift in focus to separate the mesh from the inferior epigastric vessels, vas deferens, and iliac vein, aiming to remove the posterior middle portion of the mesh."
612.979,677.53,"The surgeon carefully inspects the bottom edge of the mesh, ensuring the vas deferens is not visible on the mesh. The surrounding tissue is soft and easy to work with, allowing for good visualization. The surgeon employs a meticulous hemostatic technique while continuing to search for the vas deferens, which is not yet visible."
