start,end,text
95.21,104.533,The surgeon makes a utility incision at the fifth intercostal space and inserts an Alexis soft tissue retractor to facilitate exposure of the surgical field.
105.033,119.689,"The surgeon places the camera port in the eighth intercostal space, positioning it just above the diaphragm and anteriorly, using internal vision for precise placement. The posterior port is also positioned under internal vision at the same height as the camera port."
129.951,143.415,"The surgeon positions the Articentral wristed instrument through the utility incision in the fifth intercostal space, ensuring ergonomic placement to prevent fatigue during the procedure."
143.915,153.324,"The surgeon examines the lower lobe area and identifies a calcified lymph node, which appears to have minimal stalk attachment."
153.424,160.471,"The surgeon identifies an area of abnormality after removing a calcified lymph node without using diathermy, which is sent to histology for further examination."
160.971,182.572,"The surgeon uses the Articentral Wristed Instrument through the utility incision, with a silastic sling clipped to the bed to stabilize the instrument shaft at the bottom of the incision."
208.399,231.668,"The surgeon uses a wristed Maryland dissector in the right hand to remove the inferior pulmonary ligament, lifting tissue beneath the area of abnormality. The dissection progresses upwards towards the inferior pulmonary vein, preparing for a wedge resection of the identified abnormal area."
232.168,238.857,"The surgeon performs a lymphadenectomy, removing lymph nodes from the surgical field while awaiting results from the wedge resection."
239.357,251.08,"The surgeon demonstrates the use of the Articentral Wristed Instrument, maneuvering it at various angles within the surgical field through the utility incision, showcasing its flexibility and ease of movement."
297.054,314.861,The surgeon completes the wedger section and uses a Maryland dissector to apply diathermy to a small section of tissue. The delicate nature of the diathermy setting is adjusted during the procedure.
339.084,361.723,"The surgeon uses a wristed instrument to dissect around the pulmonary artery, maintaining a parallel approach to avoid damaging the vessel. The pulmonary artery is kept under continuous visual observation during the dissection."
423.4,446.785,The surgeon gently dissects the sheath from the surrounding tissue using a bipolar instrument. The instrument is slightly open to allow effective transmission of electrical energy across its tips into the tissue.
447.285,459.67,"The surgeon uses an artisanal wristed instrument for dissection near the pulmonary artery, followed by a hook instrument to complete the dissection in a safer area beyond the artery. The segment six artery is visible in the distance."
460.03,477.361,"The surgeon performs a meticulous lymphadenectomy, removing the R-Eleven I lymph node located between the middle and lower lobes. The pulmonary artery is nearly prepared, and the middle lobe pulmonary vein is visible with additional small lymph nodes being addressed."
495.636,503.542,"The surgeon rotates the camera to a thirty-degree downward angle to visually inspect the station seven lymph node, adjusting the view for optimal visualization."
504.022,532.859,"The surgeon uses a sponge stick to bring the lung forward, enhancing visibility for a station seven lymphadenectomy. The assistant dissects along the bronchus intermedius, carefully manipulating the tissue."
533.359,548.643,"The surgeon identifies the esophagus and dissects along its length, centralizing the station seven lymph node. The station seven lymph node is then lifted and dissected off from surrounding tissues."
561.868,592.446,"The surgeon uses a ConMed energy generator set to thirty watts bipolar, creating visible sparks while dissecting around the station seven lymph node. The strength of the device is tested on a piece of pleura, demonstrating its effectiveness."
607.161,613.528,"The surgeon positions the instruments at an optimal angle to carefully dissect beneath the pulmonary artery, ensuring precise manipulation of the surrounding tissue."
658.556,680.025,The surgeon places a piece of string around the targeted structure and uses a Covidien gold tip stapler through the utility incision.
680.525,688.606,"The surgeon uses an artesanal wrist instrument to dissect the lower lobe, following the completion of artery and vein preparation."
688.906,702.429,"The surgeon identifies an inferior R-ten lymph node and proceeds to dissect around the middle lobe bronchus, tracing its path as it curves under the lower lobe bronchus."
702.469,727.582,"The surgeon cleans the tissue around the lower lobe bronchus, carefully dissecting the front of the tissue with precise angling. The bipolar instrument is used with reduced energy for gentle dissection."
748.99,763.808,"The surgeon uses a purple Covidien stapler from the posterior port to secure the lower lobe bronchus, achieving a precise angle for effective hemostasis."
780.795,803.272,"The surgeon completes the firing of the stapler on the bronchus, using scissors to finalize the dissection. The resected lobe is placed into a bag through the anterior utility incision, marking the completion of the lobectomy."
803.772,821.868,"The surgeon resumes the station seven lymphadenectomy, utilizing a wristed instrument for enhanced angulation to complete the dissection of lymphatic tissue."
822.368,856.114,"The surgeon performs a full lymphadenectomy, dissecting along the bronchus intermedius and up the esophagus, aiming to visualize the left main bronchus. The sucker is held against the opposite main bronchus, indicating precise dissection and anatomical orientation."
856.134,875.495,"The surgical team completes a full lymphadenectomy, visually confirming the presence of the esophagus, the back of the left atrium, and the carina at the top of the surgical field."
875.555,888.324,"The surgeon inspects the surgical site to ensure perfect haemostasis, checking for any bleeding or vascular issues."
940.81,1001.272,"The surgeon performs a final dissection to retrieve additional R-IV lymph nodes, completing the lymphadenectomy. The surgical field is checked for air leaks using an underwater technique, revealing a few small bubbles. The surgeon applies a tissue patch to ensure no air leaks remain before concluding the procedure."
