start,end,text
418.022,427.153,"So the camera is located lateral, and you can see how you can get all the way down to the diaphragm, and the visualization is great."
427.173,433.441,"Once the right cardiophrenic angle is cleared, we continue the dissection to the other side."
437.386,441.231,"Once we create a window and we can see the left pleural space,"
473.088,480.619,"We use a technique of clip and cut along the phrenic nerve, so we don't use energy when we're close to the phrenic nerve."
522.633,527.561,"Again here, as you can see, the visualization is great and you can hop the camera from the left to the right."
579.805,582.689,and we divided it on both sides.
589.979,602.557,"And lastly, we removed the specimen with an endocatch bag, which we believe is extremely important to avoid drop metastasis in the future, but you can see the fairly extensive resection and the visualization is excellent."
863.913,867.918,So the camera's in that fifth space.
875.167,879.532,"And then in the sixth space, we put a eight millimeter port more medially."
884.078,895.176,"And then we get in this plane between the pericardium and the thymus, and we work right up the phrenic nerve, taking the AP window tissue and nodes, staying at least a centimeter away from the phrenic nerve."
896.057,906.694,"And you can see where the mammary vein comes into the innominate vein, and we just identify the innominate vein there, take the thymocorn down."
906.674,909.642,and then just work from left to right over the innominate vein.
910.444,914.455,I take all the thymic veins with bipolar energy using the finish rate bipolar.
915.838,922.877,"And once we get as far as we can go that way, go down to the right side, go over from left to right on the pericardium,"
922.857,930.665,"In this nice plane, take the rest of the thymic tissue down from the chest wall and then work up."
930.985,932.286,And here we're going to get to the lesion.
932.326,937.211,"The lesion was stuck to the pericardium, so we just took a little piece of pericardium with the lesion."
938.392,943.257,"You can see the lesion through the pericardium, so we've got a reasonable gross margin on that lesion."
943.697,944.698,There you can see the lesion.
946.24,948.662,And then continue up.
949.132,967.208,"Then we'll get into the right pleural space and dunk all the tissue over there so we can really see where the innominate vein SVC junction is, staying on the pericardium here, working superiorly, taking another thymic vein with NRG."
969.888,971.571,And now we've gotten all the way over.
971.611,978.18,"And so they'll get the rest of that right thymocorn down, pull the specimen back into the chest."
978.2,983.028,"And then when you look down here, you can see that phrenic nerve right there."
983.408,988.656,And then we'll take the last bit one centimeter on our side of that phrenic nerve.
993.445,998.39,"put the specimen in a bag, and then pull it out through the air seal incision."
998.41,1002.314,"We usually have to make that a little bit bigger to get the specimen out, chest tube, and then reinflate."
1324.591,1326.593,So just getting the liver a little bit out of the way.
1327.314,1330.677,And then we place pleasure sutures.
1330.918,1336.844,And the reason for this for us is actually to help us pull down on the diaphragm and also to seal up the holes.
1337.684,1339.807,Because we actually have to have differential insufflation.
1343.41,1346.153,"Otherwise, you end up with this big massive belly during your operation."
1346.133,1348.376,So we get our ports in.
1348.396,1349.797,That's obviously the spleen.
1350.558,1355.604,And so we're pretty anterior to the anterior aspect of the diaphragm.
1355.624,1360.25,"Then we pull down on the sutures, which really helps create that intrathoracic space."
1360.27,1369.181,"And you can see from this view, which is through the posterior VATS port, we can see once the diaphragm's retracted, we can actually pull our robotic ports pretty far back."
1369.601,1371.223,And we really have a lot of space to work.
1371.784,1372.665,So this was the tumor.
1372.925,1376.089,"And then from that posterior port, we used those little"
1376.069,1377.05,I call them cigars.
1377.11,1383.857,"It's probably not a great term to use in thoracic, but nonetheless, we use that so we don't actually grab the tumor."
1383.957,1386.54,That's the phrenic nerve that the tumor was up against.
1387.48,1390.043,So we were able to kind of tease everything off.
1395.248,1398.351,And the tumor was able to easily peel right off of the pericardium.
1402.476,1404.878,Sorry for the bloody mess.
1405.904,1412.652,"And then transition, once this kind of flopped down, once we had that down, that tumor kind of just flopped over onto the left side."
1413.093,1417.118,We were able to get over it and get up towards the thymic superior mediastinal regions.
1417.899,1428.371,"We were able to clip the thymic horns up top and then even expose the innominate and the draining veins, which we actually clipped and divided."
1428.632,1429.953,And then this is just our final view.
1434.659,1437.703,And then the challenge always becomes how do you get the tumor out?
1439.005,1441.248,So that's going to be obviously the fun part.
1441.268,1442.369,And you can see the tumors here.
1442.389,1446.875,"Thankfully, we were able to get it all dissected without it rupturing or anything like that."
1447.336,1449.799,But you can see it really takes up quite amount of space.
1450.94,1452.242,So this is where it gets interesting.
1452.262,1456.107,We actually then connect our incisions between our two diaphragmatic incisions.
1456.748,1458.49,You're probably thinking in horror
