start,end,text
0.453,5.681,"Hello, I am sharing a RTAP ventral incisional hernia."
5.841,11.21,"The camera focuses on the area above the umbilicus, showing a port site from a previous laparoscopic surgery."
11.71,16.224,I like doing a tap for these. It is an acquired taste.
16.384,20.386,It takes a little while getting used to work with a thin peritoneum up in this location.
20.886,25.608,It can be unbelievably frustrating. I have gotten very comfortable with it.
26.108,29.81,And it is my go-to procedure for hernias just like you see here.
30.31,34.072,Three 8mm trocars are positioned along the patient's left side for the laparoscopic hernia procedure.
34.572,43.27,"The surgeon begins creating a flap ipsilateral to the camera, starting from the median fat pad, using precise dissection techniques."
43.77,54.638,"The surgeon develops a surgical plane by carefully performing blunt dissection and using focused cautery, taking care not to tear the thin peritoneum in the area."
55.138,65.185,"It's important to note that when you do these dissections, it's not really possible to have your flap equal on both sides, right and left of the defect."
65.386,72.551,And your flap will almost always have a larger pocket to the contralateral side. And that's okay.
73.051,85.04,"The surgeon dissects laterally to the opposite side to reduce tension on the flap, preparing to bring it ipsilateral to cover the mesh once placed."
85.54,92.045,"Despite the size of these hernias, I almost always exclusively will use a fifteen by fifteen mesh."
92.545,103.112,"The surgeon prepares a heavyweight proline mesh for placement in the surgical field, suitable for patients with higher BMI."
103.612,112.614,The surgeon reaches the median fat and continues the dissection bluntly across the falciform ligament to the opposite side.
112.654,116.735,This is akin to doing your crossovers in ETAP procedures.
116.775,124.796,"The surgeon points out the medial ligaments, including the teres and falciform ligament, to a medical student."
125.296,130.007,Doing a little thirty down when you're on the other side so that you can see.
130.507,136.572,"The surgeon performs blunt dissection to reach the contralateral side, moving laterally to the fat pad and approaching the peritoneum."
136.612,143.058,"It's important to be cognizant when you get to that area, it gets a little bit more sticky and you can tear the peritoneum."
143.558,149.163,"The surgeon pauses lateral dissection to focus on reducing the hernia contents, ensuring the hernia sac is emptied before proceeding further."
149.663,152.544,"The surgeon dissects both above and below the hernia defect, carefully separating tissue layers to expose the area for repair."
153.044,167.69,"It creates that volcano sign that Conrad has taught us a lot about, and I think it's a really useful tool to help with the flow of your operation and to keep the peritoneum intact to prevent further posterior holes."
168.19,183.933,"The surgeon performs an inferior dissection towards the contralateral side, carefully navigating around the anatomical structures to avoid tearing the peritoneum."
184.433,200.019,"The surgeon dissects down into the hypogastrium, carefully navigating the area to avoid tearing the peritoneum."
200.519,207.822,The video shows visible scarring from a previous incision in the surgical area.
208.322,211.618,"The surgeon begins to reduce the hernia contents, carefully manipulating the tissue to reposition it within the abdominal cavity."
212.118,216.822,"The surgeon observes a multi-lobed hernia defect, characterized by multiple protrusions within the surgical field."
217.322,224.647,"The surgeon attempts to dissect and reduce the hernia contents directly, focusing on the area marked by the volcano sign."
225.147,233.633,"The surgeon approaches an area prone to posterior defects while taking down the hernia contents, carefully dissecting to avoid creating additional defects."
234.133,241.015,"In this case, I was able to preserve everything."
241.515,248.679,"During the operation, right at this time, we were listening to the doors break on through to the other side, so I thought that was very appropriate."
249.179,254.36,"And now we're going to start our dissection on the other side. And again, as you see, when we get to the"
254.86,261.104,"The surgeon observes the lateral aspect of the fat pad on the patient's right-hand side, noting the thin appearance of the peritoneum."
261.604,270.69,"The surgeon begins dissection on the ipsilateral side, carefully maneuvering to enter the proper anatomical plane to avoid creating defects while taking down the hernia contents."
270.81,278.095,"The surgeon uses blunt dissection to enter a plane that facilitates easy tissue separation, similar to the technique used in a transversus abdominis release (TAR)."
278.595,284.278,"The surgeon attempts dissection superiorly, inadvertently creating a hole in the tissue, which will be closed later. The focus shifts to the inferior area for continued dissection."
284.778,290.642,The surgeon enters a favorable dissection plane where tissues are visibly separating smoothly and easily with blunt dissection.
290.842,301.148,"The surgeon continues posterior dissection within the peritoneum, maintaining the transversalis fascia intact. The dissection progresses smoothly as the surgeon follows the anatomical plane, resembling the methodical excavation of a cave."
301.648,314.563,"The surgeon continues to follow the established dissection plane along the length of the surgical field, moving laterally and then back superiorly, ensuring the tissue separates smoothly."
315.063,318.669,The surgeon creates multiple small holes in the tissue plane during the dissection process.
319.169,327.992,The surgeon prepares to close the previously made hole using a 3-0 Vicryl suture before concluding the procedure.
328.492,334.875,"The surgeon prepares a large pocket for the placement of a 15 by 15 mesh, manipulating the tissue to accommodate the mesh size."
335.156,345.281,"With my experience level, you could drop a ruler in and measure. I just always say to myself, as big as I think that the pocket is and that's good enough, I just keep dissecting more."
345.781,353.665,These procedures are taking me about forty-five minutes right now with about thirty minutes of console time.
354.165,362.62,The arcuate line is visible during the procedure.
363.12,369.645,"The surgeon continues to dissect the peritoneum, extending the dissection laterally to create a larger pocket for mesh placement."
