start,end,text
13.188,21.654,The camera view from the left upper quadrant reveals the omentum incarcerated within a supraumbilical recurrent hernia.
21.955,27.359,"The surgeon uses a ligature to reduce the omentum incarcerated in the super umbilical recurrent hernia, preparing the area for the placement of additional trocars."
27.859,34.765,The video shows previously placed mesh and multiple Swiss cheese hernia defects in the abdominal wall.
61.771,66.815,The surgical field reveals the tissue broadly adhered to the posterior surface of the bladder dome.
94.268,97.209,"The surgeon attempts to separate the colon from the bladder, which appears broadly adhered to the bladder's dome."
106.414,107.815,"The surgeon continues to separate the colon from the bladder, carefully maneuvering to detach the structures."
110.897,116.22,"The surgeon uses arm number one to lift the tissue while arm number two, equipped with a suction device, pushes down to separate the colon from the bladder."
116.72,130.423,"The surgeon uses scissors to carefully dissect between tissue layers, skiving towards the colon side. On multiple occasions, the scissors penetrate into the lumen of the colon, visibly entering the interior space."
130.923,136.784,"The surgeon carefully dissects to remove the mucosa from the posterior surface of the bladder, ensuring precise separation from surrounding tissues."
137.284,139.504,"The surgeon observes the thick and woody appearance of the tissues, indicating dense fibrous characteristics in the surgical field."
144.403,154.528,"The surgeon maneuvers instruments to navigate beyond the lumen of the colon, focusing on the right-hand side of the surgical field."
175.982,178.083,"The surgeon continues to manipulate the thick, woody tissues back and forth, focusing on the right-hand side beyond the lumen of the colon."
214.91,276.611,"The surgeon completes the lateral to medial dissection in the lower abdomen near the rectosigmoid junction, using scissors with cautery. As the procedure progresses towards the splenic flexure, the surgeon switches to a vessel sealer."
277.111,278.792,"The surgeon identifies the ureter, visible in the surgical field during the colectomy procedure."
295.199,298.36,"The surgeon continues dissection along the descending colon, progressing towards the splenic flexure."
298.4,303.594,"The surgeon switches to a vessel sealer to continue the dissection of the descending colon towards the splenic flexure, enhancing precision in separating tissue layers."
304.094,309.155,"The patient is positioned in a steep Trendelenburg with the left side elevated, as indicated by the altimeter."
314.036,325.639,"The surgeon continues to lift the descending colon mesentery off the kidney, gradually revealing the base of the pancreas with clear visualization."
333.65,338.451,The surgeon attempts to release as many of the remaining attachments of the descending colon mesentery as possible.
353.034,360.982,"The surgeon demonstrates the technique for taking down the white line of Toldt as they approach the splenic flexure, carefully separating the tissue along this anatomical landmark."
365.427,372.501,The surgeon marks the mesentery at the planned proximal margin using a vessel sealer.
383.331,387.355,"The surgeon encounters thick mesenteric tissue during the procedure, highlighting its dense appearance."
387.855,397.5,"The surgeon carefully fires the vessel sealer multiple times on the thick mesenteric tissue, ensuring proper sealing to prevent mesenteric bleeding."
398,400.721,"The surgeon attempts to create a window through the thick mesenteric tissue using the vessel sealer, aiming to reach the opposite side."
410.025,419.149,"The surgeon proceeds to the rectosigmoid junction, carefully cleaning the mesentery tissue in this area."
419.649,422.853,"The surgeon performs multiple firings of the surgical stapler to seal the mesentery, taking care to prevent mesenteric bleeding."
423.353,425.254,"The surgeon navigates areas where the colon tissue is visibly thick, focusing on creating a window through the dense mesentery."
425.294,435.741,"The surgical field appears bloodier than usual, with thick and fibrotic mesentery tissue visible during the colectomy procedure."
436.241,455.28,"The surgeon approaches the undersurface of the rectosigmoid junction, meticulously cleaning the mesentery from the area."
455.78,475.845,"The surgeon observes the mesentery at the rectosigmoid junction, noting its softer and more pliable appearance compared to previous sections."
483.382,486.063,"The surgeon uses a surgical stapler to secure the proximal end of the colon, ensuring closure of the tissue at the site."
498.47,515.453,"The surgeon staples the distal end of the colon, completing the resection process at the rectosigmoid junction."
515.953,526.5,"The surgeon positions the colon towards the right abdomen in preparation for a standard anastomosis, following the stapling of the colon ends."
527,530.222,"The surgeon joins the two posterior staple lines of the colon, aligning the stapled ends for anastomosis."
573.54,580.346,"The surgeon extracts the colon through the right lower quadrant trocar site, completing the procedure smoothly."
594.276,597.919,The surgeon has completed the colotomies and is now suturing the inner layer of the colon.
598.019,602.454,"The surgeon begins suturing in the middle of the incision, conventionally moving towards the patient's left side."
602.954,609.815,"The surgeon takes large, full-thickness bites of tissue between the staple line and the colotomies during suturing."
610.315,615.297,The surgeon places each suture precisely and adjusts the tension by pulling on the sutures to ensure proper alignment and closure.
636.832,640.114,"The surgeon begins suturing at the middle of the incision site, moving towards the patient's right side, ensuring precise placement of each stitch."
670.375,724.285,"The surgeon transitions to using a canal after maneuvering around the corner, continuing the procedure with visible adjustments."
724.785,731.369,"The surgeon brings both sutures towards the middle of the surgical field, avoiding tying them together near a corner."
731.869,745.396,"The surgeon adjusts the original left-sided suture, moving it towards the middle of the surgical field."
745.896,774.248,"The surgeon completes the suturing process by placing the right-sided suture, ensuring the closure is secure and symmetrical."
774.748,786.099,"The surgeon ties the two sutures together and then brings the original posterior suture, which aligned the staple lines, out and around to the anterior side."
817.413,861.552,"The surgeon takes the longer segment of the remaining suture and begins sewing it from one side towards the middle, where it meets the other suture."
862.052,871.236,"The surgeon ties the two sutures together, completing the connection between the staple lines."
871.736,873.336,"The surgeon performs a leak test on the newly sutured section of the colon, observing for any signs of fluid leakage from the staple lines."
886.862,891.465,"The surgeon inserts a nineteen millimeter proctoscope through the anastomosis site, visually inspecting the integrity of the surgical connection."
896.906,903.307,The surgeon prepares to perform a leak test on the bladder to check for any potential occult injuries.
905.088,908.488,"The surgeon injects over three hundred cc's of methylene blue dyed solution, likely to test for leaks or visualize structures during the procedure."
