start,end,text
0.571,20.192,This is a full movie for a total laparoscopic hysterectomy in simple case and we have the use to do this procedure in ambulatory procedure. The patient leaves the hospital twelve hours after his hospitalization.
20.692,50.87,The surgeon identifies an ovarian cyst and the left ureter visible below the posterior leaf of the broad ligament. The uterosacral ligament is also visible. A 5mm sealing device is used to begin the procedure by cutting.
51.37,81.116,"The surgeon opens the peritoneum between the left round ligament and the infundibulopelvic (IP) ligament, using traction to reveal the correct dissecting plane and widely expose the retroperitoneal area."
81.616,114.091,"The surgeon continues dissection laterally towards the descending colon and sigmoid, retracting the peritoneum cranially to create a space between the anterior leaf of the broad ligament and the isthmic uterine area, aiming to open the peritoneum safely."
114.591,151.736,"The surgeon continues the dissection towards the bladder, with the assistant cranially retracting the proximal part of the peritoneum. Small bleeders are controlled immediately during the vesico-vaginal dissection."
152.236,209.138,"The surgeon ensures hemostasis while using a uterine manipulator to push the uterus towards the sacrum. The peritoneum is opened in the right dissecting plane, guided by the gas, and cut towards the right round ligament. Hemostasis is maintained throughout the procedure."
209.638,240.213,"The surgeon approaches the right infundibulopelvic ligament, continuing lateral dissection adjacent to the ascending colon. The vesicovaginal dissection is performed with assistance cranially retracting the bladder."
240.713,324.594,"The surgeon cuts the medial aspect of the left bladder pillar, allowing the bladder to be pulled down toward the anterior valve of the uterine manipulator. The cervical vaginal vessel is visible, and hemostasis is ensured to maintain a dry operative field. The albin fascia is cut to reveal the anterior aspect of the vaginal valve, completing the anterior dissection."
325.094,402.712,"The surgeon confirms the sufficiency of the vesicovaginal dissection and ensures hemostasis. Attention is then directed to the left infundibulopelvic ligament, where the peritoneum is removed to apply sealing energy directly to the vessel. The ureter is visible and positioned away from the operative field. The posterior leaf of the broad ligament is opened, increasing the distance between the ureter and the infundibulopelvic ligament."
403.212,458.273,"The surgeon tracts cranially the adnexal structures and opens the posterior leaf of the broad ligament toward the ismic uterine area, repeating the procedure on the opposite side. The peritoneum is cut, revealing the ureter far from the operative field. The vessels are now free, allowing the application of sealing energy over a two-centimeter area to achieve hemostasis."
