start,end,text
175.892,183.359,"The surgeon has successfully removed the specimen, with no visible blood loss in the surgical field. The resection appears complete."
183.399,186.462,"The surgeon completes the resection, removing both metastatic lesions from the surgical field."
186.962,205.949,"The surgeon begins colonic mobilization, inspecting the colon thoroughly for vascular pedicles and any abdominal wall adhesions."
206.449,223.435,The surgeon observes that the splenic flexure of the colon is adherent to the parietal peritoneum.
223.935,241.926,The surgeon continues to use the existing ports from the hepatotomy procedure and considers placing an additional port to aid in the mobilization of the descending colon.
242.426,257.663,"The surgeon assesses the area around the port placements, visually inspecting for any signs of complications or adjustments needed."
258.163,286.641,The surgeon inserts a 5mm trocar into the abdominal cavity to facilitate further dissection.
287.141,314.428,"The assistant grasps the distal transverse colon and pulls it upward to expose the left colic vessels at their root, facilitating clear delineation of these vessels for further surgical intervention."
314.928,327.996,"The surgeon observes the pancreas protruding from the mesentery of the colon, identifying the root of the mesocolic vessels."
328.016,344.153,"The surgeon begins dissection by dividing the peritoneum at the level just above the duodenojejunal (DJ) flexure, using surgical instruments to separate the peritoneal layer."
344.653,372.346,The surgeon identifies a major vessel at the root of the left side of the mesocolon. The peritoneum and peritoneal attachments are carefully dissected layer by layer to minimize bleeding.
372.846,386.845,"The surgeon continues the dissection in a classical V pattern, carefully addressing the lymph nodes at the root of the mesentery."
407.123,457.841,"The surgeon identifies a vessel on the left side, which they aim to preserve during the procedure."
458.341,474.032,"The assistant provides continuous traction by grasping the area near the mass, either at the mesentery or the taenia of the colon, aiding in the dissection process."
474.472,483.775,"The surgeon identifies the middle colic vessel, visually confirming its location within the surgical field."
484.275,551.727,"The surgeon dissects around the root of the mesenteric vessels, focusing on a cluster of lymph nodes near the vein, which is characteristic of the disease being treated."
552.227,587.148,The surgeon identifies multiple vessels near the root of the mesentery and begins dissecting them individually. Lymph nodes and lymphatic tissue are being mobilized towards the specimen site for eventual clipping.
587.648,617.673,"The surgeon identifies the left colic vessel and the middle colic vessel in a thin-limbed patient. Several veins are visible, with one being held by Dr. Neeraj. The growth is identified, and the surgeon determines the margin to be taken around it."
618.173,629.658,The surgeon prepares to divide a vessel while noting the presence of multiple lymph nodes in the area. The nodes are being carefully dissected from the middle colic side.
630.119,679.976,"The surgeon identifies a bunch of lymph nodes near the mesenteric vessels and begins to dissect them, aiming to remove the lymph nodes along with the specimen."
680.476,742.105,"The surgeon identifies a Y-junction at the common origin of the middle colic vessels, discussing the preservation of this structure while planning to take the adjacent lymph nodes due to the stage four disease."
742.605,798.032,"The surgeon has completed nodal clearance on the specimen side, including nodes from the right side. The next step involves deciding and dividing a visible vessel, with a clip being prepared for use."
852.466,925.671,"The surgeon holds the vessel, identified as likely the left colic artery, near the pancreas, preparing to take it."
926.171,947.51,"The surgeon opens the lesser sac, revealing the pancreas within the surgical field."
948.01,992.189,"The surgeon exposes the base of the left colic vessels in a lean and thin patient, where the vessels are visibly pulsating due to the lack of surrounding fat cushion, requiring careful manipulation."
1200.913,1289.771,"The surgeon has taken the pedicle along with the inferior side of the pancreas, revealing lymph nodes and vessels in the surgical field."
1290.271,1325.288,"The surgeon identifies the superior mesenteric vein (SMV) and inferior mesenteric vein (IMV), preparing to secure them with a Hem-o-lok clip."
1356.912,1405.377,"The surgeon navigates along the anterior border of the pancreas, identifying the mesentery of the colon above and the pancreas below."
1477.275,1513.278,"The surgeon delineates the inferior border of the pancreas, identifying it as part of the mesocolon. The left colic vein is observed draining into the inferior mesenteric vein (IMV)."
1551.525,1590.957,"The surgeon completes the dissection and resection of the specified area, applying a Hem-o-lok clip on the root of the artery and vein. All lymph nodes have been cleared from the base."
