start,end,text
94.598,109.233,"We start with groin cannulation on the right, a small incision two to three centimetres in length, one centimetre below the inguinal ligament, minimising disruption of the lymphatics to expose the anterior border of the artery and vein for fibro purse strings."
111.435,120.324,We then move to the chest where a six centimetre incision is made over the superior border of the third rib with division through pec major and the intercostal muscles.
120.885,124.268,The right internal artery and veins are clipped and divided.
126.172,130.76,The ventilation is then suspended in the circuit open to allow placement of a moist pack over the lung.
131.341,147.808,"Then ventilation is restarted and the third rib is divided, not through the costal cartilage itself, but by placing a V incision into the adjacent sternum with an unguarded oscillating sore, which facilitates closure at the end of the procedure."
158.843,162.148,A soft tissue retractor and then mini thoracotomy retractor is then used.
162.348,169.678,"Mr. Yat prefers the doppelgelenk and the pericardial fat is excised, being careful to control any vessels encountered."
171.464,178.796,"Then the pericardium is opened anterior to the phrenic nerve, preserving the pericardial reflection on the distal ascending aorta, which helps with retraction."
195.565,196.847,The patient is then heparinized.
197.587,215.376,"And the bypass circuit is divided and then cannulation starts with the femoral artery via a traditional cell doing a technique making sure that the transits of your echo sees the guide wire and the descending thoracic aorta dilate up to the sides of the cannula, which is usually a 17 French."
223.525,233.702,"Very important to watch the curved tip of the guide wire pass into the SVC and then dilate up to usually a 25 French cannula, which may need to have its position adjusted during the case"
235.488,238.554,Bypass is then instituted and the patient cooled to 34 degrees.
239.476,245.868,The temperature can be dropped further if venous drainage is an issue to allow lower flows.
246.449,249.295,An LV vent is placed via the right superior pulmonary vein.
252.461,254.205,A cross clamp is then applied.
257.29,269.728,develop the pericardial reflection behind the aorta and then be careful to see that the jaws of the clamp extend beyond the aorta and that the clamp is placed as superiorly as possible.
307.926,312.492,"Standard a-autotomy, then proline retraction sutures,"
312.725,326.988,"If the aortic regurgitation is more than mild, you can give an initial root dose of Delnido just until VF or initial arrest and then open the aorta and give the full one litre dose into the coronary ostea."
327.669,336.623,"If the aortic regurgitation is too severe for this, then you can just open the aorta once the cross clamp is applied and give direct osteocardioplegia."
338.257,340.38,The aortic valve is then removed in a standard fashion.
340.46,347.05,Try to remove the valve leaflets and annular calcium on block to avoid extensive debridement.
348.892,360.369,Take extra care through a minimal access approach not to spill calcium debris because it's hard for the assistant to see that to suck it clear and it's hard to patch the aorta if you make a defect in the wall.
360.95,362.632,So be careful in that regard.
363.213,366.778,Size the valve and then place the annular sutures
367.197,374.121,"as is your routine, Mr Yap uses a 2O Etherbond plegated non-everting technique."
374.141,379.198,"And then the valve is inserted, placing sutures through the sewing ring as normal and then parachuting the valve into place."
381.912,388.02,It's very important to ensure the valve is well seated and you can't see that as easily through minimal access approach.
388.08,398.794,And so you can use snares to the nadir of two of the sinuses to hold the valve down once the valve holder is removed while you start fastening the sutures.
426.074,442.763,Then it's essential to place the ventricular pacing wires whilst on bypass and before the cross clamp is removed as it's very difficult once the cross clamp is removed to see the right ventricle even actually once you're astral on bypass and bleeding is likely if you try that.
444.767,449.415,Place the pacing wires through the ventricle now and you can bring them out of the chest wall later.
449.986,456.895,"Then de-airing, it's difficult to massage the heart through this approach and there's a risk of right ventricular damage if you attempt to do that with a sucker."
456.935,461.201,"So just the LV vent and the root vent on, steep head down and the cross clamp off."
466.228,467.129,Completely re-warming.
475.079,489.312,and then pull the drain tubing out through your incision which brings the pacing wire out with it and then externalize the pacing wire separately and secure it separately so that the pacing wire remains when you remove the drain.
490.393,497.739,That drain is then placed into the pericardial space and the second drain through the same incision is placed into the right pleural space.
498.24,503.044,Connect those two drains to separate drain bottles so that if there's any bleeding you can see where it's coming from
504.104,515.778,"Remove the LV vent, and it's a useful trick to secure that vent with a core knot to avoid having to put your fingers to secure the knots down over the right superior pulmonary vein."
516.679,522.346,"If the aortic root vent is still there, remove it at that point, and then when for bypass, check the aorta carefully for bleeding."
522.907,528.053,"Check the transducer echo for de-airing and valve function, and then test those protamine."
532.931,535.097,"Secure the purse strings, then over-sew with Fibropronene."
535.879,543.038,"Close the groin, being careful to close the lymphatic tissue immediately superficial to the femoral vessels, and then close the pericardium."
545.245,550.37,"Remove the retractor, being very careful not to move the pacing wires, and then check the chest wall for bleeding."
551.311,556.958,"Secure, again, the right internal memory artery and vein clips, because they often come loose."
557.578,573.295,"And then to fix the divided third rib back to the sternum, Mr. Yat uses a one-vicral in a figure-of-eight fashion through the sternum and then through the head of the rib twice, and then just tie it with some surgery cell in the gap."
575.401,578.727,"Close the incision, pick major, then the fat and skin as per routine."
579.107,591.128,"Intercostal nerve blocks are helpful, and the final result is very cosmetically good, but the main benefit in a patient such as this, of course, is avoiding division of the sternum."
