start,end,text
29.932,39.981,"Adhesions and reactivity of the gastric band are observed around the esophagus, with the band notably adhered to the patient's liver."
29.932,35.837,"Adhesions and tissue reactivity are visible around the esophagus, surrounding the lap band."
36.237,39.981,"The surgeon encounters the lap band adhered to the patient's liver, requiring careful dissection to separate the band from the liver tissue."
75.089,91.682,"The surgeon locates the ethebon sutures on the greater curvature of the stomach, which are used for gastropexy to prevent band slippage. The sutures are carefully dissected and removed."
75.089,87.099,"The surgeon inspects the greater curvature of the stomach, identifying ethebon sutures that secure the stomach around the top of the band to prevent slippage."
87.599,91.682,"The surgeon carefully removes the gastropexy suture from the stomach, which was previously used to secure the band in place."
92.182,100.805,"The surgeon identifies the band, which is free from surrounding adhesions and scar tissue in the area near the esophagus."
93.858,100.805,"The surgeon identifies the band, which is free from surrounding adhesions and scar tissue, in the surgical field."
101.305,111.414,"The surgeon uses robotic scissors to manipulate tissue, while the robotic camera provides a clear view of the anatomical structures involved in the gastric bypass procedure."
120.979,129.863,"The surgeon utilizes a Cartier or pro grasp instrument in the first robotic arm, positions the camera in the second arm, and employs a vessel sealer or scissors in the third arm to manipulate and dissect tissue."
130.363,135.748,"The surgeon uses surgical instruments to take down the vessels along the greater curvature of the stomach, with the video footage sped up to show the process more quickly."
131.864,135.748,"The surgeon uses a robotic system to take down the vessels along the greater curvature of the stomach, carefully dissecting and sealing them."
136.248,147.499,The surgeon uses a robotic vessel sealer to carefully dissect and remove adhesions around the greater curvature of the stomach.
136.248,138.57,"The surgeon utilizes a robotic vessel sealer to take down the vessels of the greater curvature of the stomach, providing a clear view of the anatomy."
147.9,161.517,"The surgeon carefully maneuvers along the greater curvature of the stomach, staying close to the stomach wall to prevent bleeding and avoid accessory vessels, using robotic instruments for precise dissection."
147.9,161.517,"The surgeon carefully dissects along the greater curvature of the stomach, staying close to the stomach wall to prevent bleeding and avoid accessory vessels in the area."
173.106,189.95,"The surgeon encounters a lap band obstructing the placement of the bougie. The short gastric vessels are carefully taken down, and once the lap band is freed, the bougie is successfully placed."
173.106,178.631,The surgeon encounters difficulty placing the bougie due to the presence of a lap band around the patient's stomach.
178.731,185.108,"The surgeon begins to take down the short gastric vessels using the robotic vessel sealer, carefully dissecting around the greater curvature of the stomach."
185.608,189.95,"After freeing the lap band, the surgeon places a bougie into the stomach, ensuring proper positioning for the procedure."
248.215,258.78,"The robotic surgical system is used to meticulously take down adhesions to the spleen and separate the angle of His, demonstrating precise control and visualization in this area."
251.797,258.78,"The surgeon carefully dissects and removes adhesions from the spleen, while separating the angle of His, which is located at the junction of the esophagus and stomach."
259.28,279.964,"The robotic approach allows for reduced blood loss and clear visualization of the anatomy. The lap band is visible, protecting the esophagus, with noticeable scar tissue surrounding the esophagus and gastroesophageal junction."
271.359,279.964,"The surgeon observes scar tissue surrounding the patient's esophagus and gastroesophageal junction, noting its protective role for the esophagus."
280.464,302.943,"The surgeon loosens the lap band around the patient's stomach, inserts a bougie, and then removes the band, placing it to the side."
280.464,302.943,"The surgeon loosens the lap band around the patient's stomach, inserts a bougie, and then removes the band, placing it to the side."
312.429,320.275,"The surgeon visually inspects the band for any discoloration, which could indicate erosion or leakage from the stomach."
320.775,348.976,"The surgeon inspects and divides adhesive bands around the esophagus to ensure there is no significant stricture, performing circumferential dissection for clear anatomical visualization. The bougie is placed, and the robotic stapler is prepared to initiate the sleeve gastrectomy procedure."
320.775,335.41,"The surgeon closely examines the adhesive bands around the esophagus and GE junction, occasionally dividing them to ensure there is no significant stricture."
335.91,341.573,"The surgeon performs circumferential dissection around the esophagus, carefully inspecting the area to ensure clear anatomical visualization."
342.073,348.976,"The surgeon places the bougie inside the esophagus and begins the sleeve procedure using a robotic stapler, preparing to create a gastric sleeve by stapling along the stomach."
349.476,367.831,"The surgeon uses a green load stapler to provide the initial fire, with the robotic technology sensing tissue thickness and indicating the necessary pressure duration."
349.476,353.487,"The surgeon prepares to use a robotic stapler with a green load cartridge, typically chosen for its suitability in stapling thicker tissue during the procedure."
353.987,354.967,"The surgeon prepares to initiate the first firing of the robotic stapler, positioned to begin the sleeve procedure."
368.171,385.268,"The surgeon prepares to fire the stapler on the thickest part of the stomach, transitioning to a blue load for optimal stapling."
381.895,385.268,"The surgical team transitions to using a blue load stapler, suitable for thinner tissue during the procedure."
385.768,398.995,The surgeon carefully inspects the staple line after firing to ensure there are no staples that could interfere with future stapling.
385.768,398.995,"The surgeon carefully inspects the staple line after firing, checking for any staples that may interfere with future stapling."
399.495,417.116,The surgeon adjusts the position of the bougie slightly and continues to staple along the proximal portion of the patient's stomach.
399.495,413.355,"The surgeon adjusts the bougie, retracting it slightly, and continues to advance along the proximal stomach, ensuring proper alignment for the procedure."
417.596,440.145,"The surgeon uses robotic arms to hold the stomach flat, returning it to its normal anatomical position. The staple line is cleaned before firing an additional stapler, with typically four or five staple fires used depending on the stomach's unique anatomy."
430.721,440.145,The surgeon uses robotic arms to hold the stomach flat and reposition it to its normal anatomical position.
440.645,465.907,"The surgeon aligns the stapler along the flattened stomach, gently hugging the bougie to avoid extra tension. The stapler is fired for the last few times, with visible scar tissue present but not interfering with the stapling process. The area is cleaned, and the stomach appears healthy and viable."
440.645,453.114,"The surgeon aligns the stapler along the flattened stomach, gently hugging the bougie to ensure proper positioning without extra tension, before activating the stapler."
453.614,455.455,"The surgeon prepares to perform the final few staple firings on the stomach, ensuring the staple line is clean and aligned with the bougie."
455.515,461.159,The surgeon observes some scar tissue in the surgical field but notes that it does not significantly interfere with the stapling process.
461.52,465.907,"The surgeon cleans the area around the staple line and assesses the stomach tissue, ensuring it appears healthy and viable before proceeding with further stapling."
466.407,488.196,"The surgeon positions the stapler at the gastroesophageal junction, ensuring the stomach is properly aligned and clearing the staple line before completing the final stapling sequence."
466.407,473.334,"The surgeon positions the stapler at the gastroesophageal junction, preparing to fire staples at this critical anatomical location."
473.834,476.996,"The surgeon clears the staple line, ensuring the area is free of obstructions and ready for the next step in the procedure."
477.397,488.196,"The surgeon positions the stomach appropriately and completes the staple line, ensuring the stomach is aligned correctly for the final stapling."
501.762,509.15,"The surgeon carefully aligns the staple line adjacent to the bougie, focusing on precision during the final staple applications."
509.65,552.948,"The surgeon has separated the stomach and positioned it to the side. Anesthesia is removing the bougie. The surgeon observes torsion in the stomach and applies a vical suture to pexy it to the peripancreatic fat, ensuring the stomach lays flat without excessive tension."
509.65,512.732,"The surgeon completes the separation of the stomach, ensuring the staple line is clear and the stomach is positioned correctly."
515.435,517.937,"The bougie is being slowly removed by the anesthesia team, visible alongside the staple line in the surgical field."
518.437,522.74,"The surgeon observes a slight torsion of the stomach, which may be visible as a twist or rotation in the stomach's orientation."
564.393,582.392,"The surgeon uses a vessel sealer to suture the area, followed by performing an intraoperative gastroscopy to visually inspect the stomach for any torsion or leaks."
573.196,582.392,"The surgeon performs an intraoperative gastroscopy, visually inspecting the stomach for any signs of torsion or leakage."
582.892,602.377,"The surgeon ensures the anatomy of the gastric sleeve is smooth, applying fibrin sealant robotically to achieve hemostasis. A portion of the patient's omentum is placed over the staple line for additional coverage."
582.892,602.377,"The surgeon applies fibrin sealant robotically to the staple line of the gastric sleeve, ensuring smooth anatomy and hemostasis. A portion of the patient's omentum is placed over the staple line for additional reinforcement."
