start,end,text
0.965,23.205,"Welcome to this series of videos about posterior approach vatsalabectomy. These are a series of videos performed by Professor Tristan Yang who works at the Royal Prince Albert Hospital in Sydney and Australia. And he was taught by Bill Walker, just like myself, Joel Dunning, Edinburgh."
23.705,45.525,"The camera view is positioned just behind the tip of the scapula, showing the upper and middle lobes at the top of the screen and the lower lobe at the bottom. The fissure between the lobes is clearly visible."
46.025,76.37,"A utility incision is visible with a peanut retractor inserted through it, alongside a more posterior and inferior port. Two peanut retractors are positioned closely together. Tristan inserts a diathermy device, demonstrating a fissure-based approach starting from the posterior and working forward."
76.83,100.409,"The surgeon uses lymph node holding forceps to lift and identify the midpoint of the fissure, beginning the dissection from a posterior to anterior approach."
100.909,137.975,"There are a few interesting things about Posture Approach. Firstly, it doesn't need any specialist instruments. This is just a lymph node holding forceps, normal Roberts with a peanut, normal Rampleys, nothing specialist needed. This is a ten mil straight camera. You don't even need thirty degrees. It's quite easy for your cameraman. They just point straight. at the fissure they're quite far away from you so there's no clashing they're closer to the head and you're closer to the feet and obviously you're both standing behind the patient posteriorly not anteriorly with the camera anteriorly"
138.342,163.719,"The surgeon exposes the pulmonary artery and the fissure, providing a clear view. An instrument is introduced along the oblique fissure, lifting anterior to the pulmonary artery. The instrument is carefully passed through to prepare for stapling the anterior oblique fissure."
164.139,193.311,"The surgeon uses instruments to carefully feel and navigate anterior to the pulmonary artery, with the tips of the instruments visible close to the camera, ensuring precise manipulation without risking damage to nearby vessels."
193.391,221.248,"So one other thing I would just like you to draw your attention to in this video is there is absolutely no editing at all. You'll see no cutaways. This hasn't been sped up. This is genuinely a ten minute right lower lobectomy. And yeah, you can do quick, fast lobectomies by other approaches, but that certainly is impressive in its rapidity and reproducibility."
221.748,252.479,"The surgeon passes a purple-sixty-cavidian tristapler through the anterior oblique fissure, completing the anterior part of the fissure and separating the middle lobe from the lower lobe along the staple line. The camera provides a view similar to that of a robotic surgeon, focusing on the fissure."
252.519,294.859,"The surgeon identifies the pulmonary artery and examines the interlobal lymph node while preparing to complete the posterior oblique fissure. Lymph node holding forceps or Ramplies are used for retraction, providing a clear view of station seven, the subcarinal station. An instrument is passed posterior to the pulmonary artery."
295.359,329.365,"The surgeon ensures the instrument is positioned above the segment six artery leading to the apical segment of the lower lobe. The bronchus is visible, and the instrument passes just above it. Under clear visualization, the stapler is used to complete the anterior and posterior fissure in a stapled manner, promoting effective aerostasis."
329.865,352.082,"As I said at the start of this video, we're indebted to Bill Walker, who designed this technique and did it since from nineteen ninety two, only retiring in twenty twenty. So almost thirty years of vats lobectomy when everybody else was all doing open lobectomy. He's doing a great service to his patients many, many years ahead of his time in many ways."
352.582,383.002,"The surgeon uses the 'kissing peanut' technique to gently separate tissues around the pulmonary artery, providing a clear view of the artery and the sheath. The instruments are carefully maneuvered to pass under the vessel, ensuring visibility of the tips emerging on the opposite side, which is crucial for safety during this part of the lobectomy."
383.502,416.403,"The surgeon carefully passes an instrument around the back of the pulmonary artery under clear visualization, ensuring the middle lobe artery is not compromised. A TAN-Forty-Five stapler is then passed safely."
416.903,452.698,"The surgeon uses a Covidien Tri-Staple device to fire staples straight behind the pulmonary artery without articulation. The bronchus is visible below the pulmonary artery. The surgeon then uses ramplies to gently grasp and lift the lung, preparing to address the vein."
453.198,505.433,"The surgeon uses a gentle grasper to safely manipulate the lung, providing a clear view of the ligament and nearby anatomical structures. The esophagus is visible below the ligament, and the dissection proceeds towards the inferior pulmonary vein. A sponge stick is positioned for safety in case of excess bleeding during the posterior approach."
505.933,521.188,"The surgeon uses a metal suction device to clear the area, providing a direct view of the subcarinal station, facilitating straightforward access for further dissection."
521.688,600.882,"The surgeon carefully maneuvers the tips of the instrument around the apical segmental vein, ensuring safe passage below the bronchus. The TAN-Forty-Five tri-stapler is aligned with the fissure and fired with minimal articulation. The subcarinal station is visible, and the camera remains stable, providing a clear view of the surgical field, including the anterior utility incision and the Alexis port."
601.382,640.719,"The surgeon completes the lobectomy by firing the stapler around the bronchus, ensuring it is not inadvertently clipped. The bronchus is clearly visible, and inflation is performed to confirm its integrity. The procedure is executed swiftly, with the final firing occurring at ten minutes and twenty-five seconds, followed by lymph node removal."
641.219,655.389,Is it interesting? Is it something you'd want to try? Can you do just the same job anterior? Let us know below in this video or in the comments. Thank you very much for watching and look out for all the other videos showing all the other lobes in this series.
