start,end,text
11.937,21.999,The surgeon places proximal and distal stay sutures approximately eight centimeters apart on the fully mobilized colon. The anti-mesenteric border of the small bowel is opened.
22.499,34.782,"The surgeon uses both cautery and cutting techniques to create a sufficient window on the specimen side, facilitating the navigation of the stapler into the channel."
35.282,55.151,"The surgeon opens the medial or mesenteric side of the colon at the midline, preparing for the navigation of the stapler through the right lower quadrant twelve millimeter port. The colon is opened on the specimen side to ensure ample space for stapler passage."
55.651,69.881,"The surgeon holds the proximal stay suture and performs a practice run with the stapler using the left hand, demonstrating the angles and wrist movements required for proper orientation."
70.381,85.799,"The surgeon inserts the stapler, rotating it so the green side faces the colon. The plastic lip edge of the stapler is used to navigate into the colonic lumen, preparing for the anastomosis."
86.299,110.877,"The surgeon uses stay sutures to align the anastomosis, repeatedly opening the stapler to allow the mesentery to fall away while lifting the anastomosis anteriorly. The colonic side is observed to fall away as the surgeon reaches underneath the stapler to pull it upward, checking the stapler's position within the lumen by opening and closing it."
111.377,126.082,"The surgeon tests the tip of the stapler, observing that the tissue on the small bowel side appears thicker than expected. The colon visibly falls away as the stapler is positioned."
126.582,153.675,"The surgeon carefully manipulates the stapler to confirm its position within the colonic lumen. The bowel on the colonic side is visibly falling away, creating redundancy and hindering proper approximation."
154.175,162.453,"The surgeon removes the stapler from the surgical field, preparing to change the methodology for the ileocolic anastomosis."
162.953,201.363,"The surgeon uses stay sutures to manipulate and control the colon and small bowel, navigating the stapler into the lumens with precise visualization. The stapler is opened to allow the mesentery to fall away, improving tissue alignment and approximation. Firefly imaging is used to confirm perfusion of the anastomosis before firing the stapler successfully."
