start,end,text
111.001,114.333,"After the diagnostic laparoscopy, the pathology was identified."
114.754,118.648,"As you can appreciate, the pelvic entomb was entering into the chest wall."
120.282,138.102,"Whole of the gastric volvulus was confined in a sac-like structure, so the pseudo-sac around the content was excised after taking care of all three important structures, that is, spleen, left gastric artery, and G-junction, because injury to any of the structure may lead to disaster."
138.943,143.267,Complete mobilization of the stomach was done from all four sides.
143.287,147.572,"It's anterior wall, posterior wall, greater curvature, and lesser curvature."
148.16,151.143,Any remaining adhesions left is again excised.
156.79,166.401,"After the excision of Pseudosec, the derotation and reduction is planned but it was a very difficult task because of multiple reasons."
167.182,171.607,The stomach was grossly dilated and it had a tendency to stay back in the chest.
172.047,174.69,So it was going again and again into the chest wall.
175.97,179.218,There were a lot of additions between the content and the stomach.
179.479,187.158,"So it was really a difficult task, but with the help of gentle manipulation and traction, we could achieve it."
188.161,190.266,But it took us almost 45 minutes.
198.734,217.688,"After the reduction and derotation, the stomach was decompressed by the nasogastric aspiration and to prevent recurrence, the stomach was fixed at 2.1 by placing three sutures between the fundus and the parietal wall with the help of 2-0 Vicryl."
235.69,244.063,Second point fixation was done at the greater curvature by doing gastrostomy with the help of 24 French Foley's catheter.
260.429,266.899,Then the greater curvature was incurred to the parietal wall by placing the sutures.
276.192,285.947,"After that, the normal position of the stomach is confirmed by checking the G-junction, greater curvature, lesser curvature, and pyloric interim."
290.078,297.751,Pyloric interim is confirmed that it is lying at its normal position near the gallbladder.
347.42,358.582,"After the diagnostic laparoscopy, again the pathology was identified as the pelvic entomb was entering into the chest and whole of the content of volvulus was confined in the sac."
358.602,363.471,"So, the sac was excised before planning for the reduction."
363.451,366.456,"Again, the reduction was very difficult because of all three reasons."
366.536,368.941,The stomach was grossly dilated.
369.421,375.091,"It had a lot of adhesions all around, and it had a tendency to stay back in the chest."
375.753,379.219,"But with the help of gentle manipulation and traction, we could achieve it."
380.401,387.433,"But this patient had big diaphragmatic defect, and there were a lot of adhesions between the diaphragm and the content."
387.97,393.819,"So after exercising the adhesions, the stomach was completely mobilized, derotated and decompressed."
401.431,405.557,"The diaphragm was very thin, so it's reinforced with the mesh."
411.123,414.988,"To prevent recurrence, again the two point gastropexy was done."
415.349,430.229,"One, by placing sutures between the fundus and the parietal wall."
430.249,431.511,Three sutures were placed.
442.78,451.731,Second point fixation was done at the greater curvature by placing gastrostomy tube.
451.771,468.993,24 French catheter was used for gastrostomy.
469.013,471.977,The stomach is anchored to the parietal wall.
473.611,476.998,And the normal placement of the stomach is confirmed.
