start,end,text
41.791,71.599,"Three small incisions are visible in the upper abdomen, through which robotic instruments and a scope are inserted. The robotic arms are connected, and the surgeon begins the operation by making a transverse incision in the smooth peritoneum, the inner abdominal layer covering the muscles."
71.779,99.17,"The surgeon opens the peritoneum and creates a pocket in the preperitoneal space, carefully separating critical structures with precise dissection, resulting in minimal bleeding."
99.67,123.273,"The surgeon separates the testicular vessels from the peritoneum at the back of the abdomen. The incarcerated fat is evaluated and completely removed, revealing the hernia defect on the right upper side of the surgical field."
123.773,136.082,The surgeon excises a portion of fat from the hernia defect and completes the creation of the preperitoneal pocket.
136.582,169.04,"The surgeon uses cautery and scissors to perform dissection in the left groin region, creating a pocket for mesh placement. The epigastric artery and vein are visible at the top of the surgical field, serving as important landmarks."
169.54,196.967,"The surgeon continues the dissection in multiple directions, separating the testicular vessels from the peritoneum. The vas deferens, a bright structure, is visible on the right lower side of the field."
197.467,224.528,"The surgeon mobilizes the fat adhered to the hernia defect area to ensure smooth placement of the mesh. After completing this step, the surgeon attempts to remove the fat from the hernia defect."
225.028,257.123,The surgeon identifies preperitoneal fat stuck in the hernia defect and proceeds to remove it. The hernia is visible on the right upper side of the surgical field. The fat is completely excised and subsequently removed from the abdomen.
257.623,264.312,"The surgeon places the mesh into the completed preperitoneal pocket, ensuring it is positioned without wrinkles."
264.812,332.302,"The surgeon changes instruments and enlarges the preperitoneal pocket, then unrolls and places the mesh behind the muscle, spreading it like a carpet. The mesh is precisely sized to fit the pocket, preventing movement and ensuring it sits without wrinkles. The mesh is fully tucked underneath the peritoneum to cover it from intra-abdominal structures."
332.802,358.688,"The surgeon uses a non-absorbable suture to secure the mesh inferiorly to the Cooper's ligament, ensuring the mesh remains stable in the area without movement."
359.188,393.048,"The surgeon applies bio glue to secure the mesh to the abdominal wall, aiming to reduce postoperative bleeding and facilitate adhesion between the mesh, peritoneum, and muscle. The absorbable glue temporarily holds these structures together until scar tissue integrates the mesh into the abdominal wall."
393.548,437.75,"The surgeon closes the peritoneal defect in two layers to completely bury the mesh behind the muscle, ensuring it is not exposed to intra-abdominal structures. This step is critical to prevent future complications."
492.933,534.363,"The surgeon closes a small area of the peritoneal defect to ensure the mesh is not exposed to intra-abdominal structures. Using a laparoscopic technique, the surgeon removes the needle and excises pieces of fat that were previously incarcerated in the hernia defect."
