start,end,text
6.891,17.529,"Thank you very much for the opportunity to present. If we can pull up the video, please."
18.029,28.495,"So as mentioned in somewhat of a long title, we'll be presenting a case of robotic pouch gastrectomy with esophageal jejunosomy for a failed Roux-en-Y using fluorescent angiography."
28.936,44.796,"So our patient's a forty-nine-year-old male. He, fifteen years prior, had had a Nissen fundoplication for reflux with a collis gastroplasty. This had failed a few years afterwards and it was converted to Roux-en-Y gastric bypass. Both of these procedures were done at an outside facility."
45.296,60.04,"He had presented to our facility with ongoing dysphagia, poor PO tolerance, and so we worked him up further for revisional bariatric surgery. Our workup showed a stricture at the gastroesophageal junction, which had recurred after multiple endoscopic dilations."
60.54,82.43,The endoscopic view reveals severe esophagitis and dilation in the lower third of the esophagus. An esophagram shows a stricture at the gastroesophageal junction with minimal contrast passing through the narrowed area.
82.93,92.117,"The surgeon begins the procedure by encountering dense adhesions in the abdominal cavity, resembling the texture and appearance of bubble gum as they are carefully peeled away from the abdominal wall."
92.477,102.003,"The surgeon begins by taking down the gastric remnant from the retrogastric, retrocolic Roux-en-Y configuration, aiming to reach the right crus of the diaphragm."
102.483,115.15,"The surgeon navigates the surgical field in a revisional surgery, following the anatomical plane between the liver and the inferior vena cava (IVC) to locate the right crus, after taking down the gastric remnant."
115.65,125.695,"The surgeon continues with the dissection around the right crus, carefully extending the esophageal length into the abdomen."
126.175,138.508,"The surgeon proceeds to the left side of the gastric remnant, identifying the roux limb marked by staples, and continues to locate the left crus."
139.008,149.543,"The surgeon continues with anterior mediastinal dissection after identifying the left cruz, carefully removing any previous surgical alterations."
149.623,153.966,The surgeon encounters sutures from the hiatal closure and begins to remove them.
154.466,165.493,"The surgeon identifies the Nissen fundoplication that was not taken down during the patient's previous conversion to Roux-en-Y, preparing to remove it."
165.713,182.698,"The surgeon continues the mediastinal dissection, focusing on clearing anterior esophageal length before moving posteriorly to gain additional esophageal length."
183.198,196.573,"The surgeon removes previously placed sutures around the esophagus, using a surgical drain for retraction due to the patient's latex allergy."
197.073,227.508,"The surgeon uses robotic scissors to perform a combination of sharp and blunt dissection, carefully following tissue planes. The blunt dissection visibly opens up the tissue layers, revealing the anatomical structures beneath."
228.008,240.293,"The surgeon continues to take down the previous fundoplication, ensuring complete mobilization of the Roux limb into the mediastinum. An endoscopy is performed to confirm the anatomical structures."
240.313,264.352,"The surgeon staples the distal section first, followed by the proximal section through the esophagus. Fluorescent angiography with ICG is used to assess perfusion, revealing clear perfusion in the proximal part while the distal part shows less perfusion. Under white light, the perfusion differences are less apparent."
264.852,280.382,The surgeon marks the transection line with a silk suture and tags it to the diaphragm for positioning within the abdomen. The anastomosis is performed manually using absorbable monofilament sutures in two layers.
280.882,333.668,"The surgeon performs an anastomosis over a fifty French bougie, taking big, full-thickness bites to ensure adequate tissue purchase. The bougie helps maintain the esophagus's diameter and position within the abdomen during manipulation."
334.168,372.889,"And anyone that works with the robot knows the dexterity, the bimanual dexterity available or possible with the robot is pretty clear. And it's especially beneficial in these more difficult cases."
373.389,383.933,"The surgeon uses indocyanine green (ICG) fluorescent angiography to confirm adequate perfusion of the surgical site, showing well-perfused tissue within the abdomen."
384.433,403.845,"The postoperative esophagram shows prompt passage of contrast through the anastomosis, indicating successful surgical outcome."
404.345,404.587,Thank you.
