start,end,text
77.227,101.108,"The surgeon uses a suprapubic trans-fascial suture to hitch up the uterus, taking a bite onto the fundus to facilitate anterior exposure during the procedure."
101.608,104.331,"The video shows the rectal growth, which is visible within the surgical field."
104.831,115.04,The surgeon identifies the rectal growth located in the upper third peritonealized part of the rectum on the anterior wall.
115.54,131.213,"The surgeon holds the inferior mesenteric artery (IMA) in traction while incising the medial peritoneal fold at the base of the rectosigmoid, entering the plane of loose areolar tissue located behind the IMA."
131.713,135.518,"The surgeon navigates within the holy plane of the total mesorectal excision (TME), a crucial anatomical space for precise dissection during the low anterior resection procedure."
136.018,143.649,"The hypogastric nerves are visible below the dissection plane, covered by fibro-fatty tissue."
144.149,149.736,"During the medial to lateral dissection, the surgeon carefully pushes down the ureter, which is visible in the surgical field."
150.225,165.408,"The surgeon develops the total mesorectal excision (TME) plane caudally for a short distance, tenting up the vessels in continuity before transecting the inframuscular carotid artery."
165.908,177.937,"The surgeon navigates the avascular TME plane, with visible caution to avoid injuring the hypogastric plexus, which is tented up during the dissection."
178.437,180.68,"The surgeon applies upward traction on the rectum, facilitating the dissection within the heels plane of the total mesorectal excision (TME)."
181.18,226.046,"The surgeon identifies the lucid tissue at the superior aspect behind the mesorectum within the TME plane, carefully preserving the fibro fatty layer covering the hypogastric nerves."
226.546,229.329,"The surgeon focuses on ligating the inferior mesenteric artery (IMA), preparing to secure it as part of the dissection process."
229.729,235.975,"The left colic artery is visible, arising from the inferior mesenteric artery (IMA) and traveling in a cephalad direction."
236.475,248.582,"The surgeon identifies the inferior mesenteric artery, a major vessel arising anteriorly from the aortic surface, located between the duodenum and the iliac bifurcation."
249.082,258.928,The surgeon considers two options for ligating the inferior mesenteric artery (IMA): high ligation at its aortic origin or ligation distal to the left colic artery.
279.343,293.342,"In the standard low anterior resection, the surgeon performs low ligation of the inferior mesenteric artery below the left colic artery, approximately four to five centimeters from the anal verge."
293.842,302.487,"The surgeon performs a low ligation of the inferior mesenteric artery (IMA) distal to the left colic artery, preparing for resection of an upper rectal growth."
302.987,306.229,"The surgeon clears the fibrofatty tissue surrounding the inferior mesenteric artery, revealing the artery's structure within the surgical field."
306.729,311.831,"The surgeon excises the lymph nodes located at the origin of the inferior mesenteric artery (IMA), including them with the surgical specimen."
319.838,335.17,The surgeon clips the inferior mesenteric vein (IMV) at the duodenojejunal (DJ) flexure to relieve tension on the rectum during pelvic anastomosis.
335.67,350.941,"The surgeon divides the inferior mesenteric artery (IMA) at the level of the aorta to relieve tension, allowing the rectum to reach the pelvic anastomosis."
351.441,363.956,"The surgeon skeletonizes the inferior mesenteric artery (IMA), removing surrounding fibro-fatty tissue and pushing lymph nodes at the IMA origin upwards to accompany the specimen."
364.456,460.366,The surgeon places two clips on the fully cleared inferior mesenteric artery (IMA) and then divides it.
460.866,480.092,"The surgeon uses a gauze piece placed anterior to the ureter as a guide to divide the lateral peritoneal fold of the sigmoid colon, freeing it from surrounding tissues following the medial to lateral dissection."
480.592,484.089,"The surgeon makes an incision on the lateral peritoneal fold, continuing the dissection to further mobilize the sigmoid colon."
484.589,496.237,"The surgeon extends the flap in a cephalic direction, mobilizing the descending colon and sigmoid colon up to the splenic flexure in a lateral to medial fashion."
512.672,516.034,"The surgeon continues the dissection from lateral to medial, focusing on mobilizing the sigmoid colon by dividing the lateral peritoneal fold."
516.534,534.601,"The surgeon uses the previously identified ureter as a guide while observing the white line of Toldt, which separates the colonic mesentery from the retroperitoneal fascia and Gerota's fascia."
538.278,572.48,"The surgeon performs blunt and sharp dissection along the white line of Toldt, visibly mobilizing the descending colon up to the splenic flexure."
572.98,580.443,The surgeon completes the lateral to medial mobilization of the splenic flexure and shifts focus to the supracolic compartment.
580.563,616.119,The surgeon separates the omentum from the distal transverse colon and divides the gastrocolic and splenocolic ligaments to complete the mobilization of the splenic flexure.
616.619,660.105,The surgeon completes the mobilization of the splenic flexure by dividing the linocolic ligament and separating the splenic flexure mesentery from the underlying gerota fascia.
660.605,670.89,"The surgeon demonstrates the completely mobilized descending colon and splenic flexure, showing the separation of these structures from surrounding tissues."
671.39,675.052,"The surgeon continues rectal mobilization along the total mesorectal excision (TME) plane, carefully dissecting the rectum from surrounding tissues."
675.552,690.318,"The surgeon begins with the posterior mobilization of the splenic flexure, followed by a posterolateral approach before dividing the lateral tissues."
690.818,693.382,"The surgeon divides the left lateral peritoneal fold, continuing the mobilization process in the abdominal cavity."
693.882,740.531,"The surgeon demonstrates the completed posterior and posterolateral mobilization along the TME plane, showing clear separation from the ureter and hypogastric nerves."
741.031,750.294,"The hypogastric nerves are visible at the seven o'clock position, covered by loose areolar tissue, within the surgical field."
750.794,774.42,"The surgeon continues the posterior dissection, maintaining proximity to the mesorectal fascia. The loose areolar tissue over the presacral fascia and hypogastric nerves remains intact, visible in the surgical field."
774.92,778.083,"The surgeon continues the sequential stepwise approach, maintaining the dissection plane close to the mesorectal fascia while preserving the integrity of the hypogastric nerves and surrounding areolar tissue."
778.203,847.145,"The surgeon performs posterior dissection, followed by division of the posterolateral tissues, and completes the lateral release, ensuring separation of these tissue planes."
880.052,883.216,"The surgeon navigates below the tumor, maintaining proximity to the mesorectal fascia while preserving the surrounding areolar tissue and hypogastric nerves."
883.636,895.905,"The surgeon joins the peritoneal incisions on both sides in the cul-de-sac and continues the dissection into the rectovaginal space, carefully navigating the anatomical structures."
896.405,931.317,"The surgeon carefully dissects in the rectovaginal septum, noting the thin mesorectum anteriorly and bulky mesorectum posteriorly. The dissection is performed close to the posterior vaginal wall, ensuring the mesorectal fat remains on the anterior rectum while avoiding injury to the posterior vaginal wall."
931.817,943.31,"In a thin patient, the anterior mesorectum appears flimsy, with visible delicate mesorectal fat on the anterior rectum."
943.81,949.976,The surgeon uses a harmonic scalpel to divide the lateral ligaments after completing the posterior and anterior dissection.
950.476,953.068,"The surgeon continues to divide the lateral ligaments using the harmonic device, focusing on the structures contained within these ligaments."
953.568,955.229,"The surgeon identifies and prepares to dissect the middle rectal vessels within the rectovaginal space, ensuring careful separation from surrounding tissues."
955.729,973.916,"The surgeon carefully divides the lateral ligaments using a harmonic device, maintaining proximity to the mesorectum and avoiding the lateral pelvic wall to prevent injury to the nerve plexus."
974.416,1001.145,"The surgeon uses a harmonic device to divide the right-sided lateral ligaments, taking care to avoid the lateral pelvic wall and nerve plexus."
1008.428,1060.481,"The surgeon divides the mesorectum five centimeters below the lower border of the tumor, exposing the rectal wall in preparation for transection using an endo-GIS stapler."
1060.981,1071.844,"The surgeon meticulously transects the mesorectum five centimeters below the tumor, carefully avoiding injury to the rectal wall during the dissection."
1072.344,1087.663,"The surgeon carefully exposes the rectal wall from the anterolateral side, noting the thin anterior mesorectum and bulky posterior mesorectum, and proceeds with dissection towards the posterior mesorectum."
1088.163,1120.28,"The surgical field shows the site of rectal transition, five centimeters below the tumor, completely cleared of mesorectal tissue, prepared for the application of the EndoGIS stapler."
1120.78,1136.658,The surgeon identifies a point of transection in the sigmoid colon approximately ten centimeters proximal to the tumor. The sigmoid mesentery is visibly divided in preparation for further surgical steps.
1137.158,1138.699,"The surgeon reaches the colon wall, preparing for further surgical manipulation."
1139.199,1146.501,"The surgeon assesses the blood supply to the sigmoid and descending colon, which is now reliant on the left colic artery and the marginal artery following the dissection."
1152.503,1164.65,"The surgeon carefully performs the transection of the sigmoid mesentery, ensuring not to approach too closely to the colon wall."
