start,end,text
0.671,35.014,"One of the most dreaded complications of undergoing an esophagectomy is to injure the thoracic duct and have a chylothorax. The most important way to avoid such complication is to confront it and not avoid it like the Voldemort. So to avoid such injuries, we should know the anatomy well of a thoracic duct in the thoracic cage. So let's see the anatomy of thoracic duct."
35.514,78.965,"If a patient is lying upright, unlike this case where the patient is in prone position, the anatomy would look something like this, where the number one is the ozygous vein and six is the aorta and between the two, the yellow is the thoracic duct. However, in our case, We perform esophagectomy in a prone position wherein the azagus will be lying up and the aorta behind it and between the two will be the thoracic duct. Remember the heart and the lungs are down and the vertebral body and the vertebra are up at the twelve o'clock position."
79.465,110.214,"In PIP mode, the surgical team is visible with the laparoscopic apparatus positioned on the left of the patient. The surgeon identifies the mediastinal pleura and locates the vagus nerve, marked by a red arrow."
110.714,179.472,"The surgeon continues cranial dissection by incising the first layer of the mediastinal pleura, carefully dissecting outside the vagus nerve. The dissection progresses towards the azagus vein, marked by a red arrow, while the yellow arrow indicates the right main bronchus. The mediastinal pleura is cut close to the azagus vein to ensure the surrounding fat is included with the esophagus in the specimen. The thoracic duct lies between the azagus vein and the aorta."
179.972,230.014,"The surgeon holds the azagus vein and carefully dissects it from surrounding tissues. The vein is clipped on both sides, towards the superior vena cava and the vertebral side, before being cut using laparoscopic scissors."
230.514,250.339,"The surgeon clips and cuts the ozygous vein using laparoscopic scissors. Behind the ozygous vein at the level of D-IV, the thin bronchial artery is visible running across."
250.839,283.967,"The surgeon hooks the azygos vein and places a suture across it using Prolene, securing it with Mochi's needle. The needle holds both ends of the suture and elevates the azygos vein, facilitating dissection along its anterior border while maintaining proximity to the vein."
284.467,324.477,"The surgeon carefully dissects the thoracic duct, ensuring all surrounding fat is included with the esophagus in the specimen. The intercostal branches from the aorta, running just behind the thoracic duct, are identified. The red arrow indicates the aorta and its adventitia, as the dissection reaches the prevascular fascia."
324.977,366.86,"The red arrow highlights the intercostal artery branching from the aorta. The dissection proceeds in the plane of the prevascular fascia. The mesoesophagus consists of two layers: the prevascular fascia and the outer mediastinal pleura with its fascia. The mediastinal pleura and the first layer of fascia are close to the azygos vein. All fatty tissue, including the thoracic duct, is being incorporated into the specimen. The second layer of the mesoesophagus is adjacent to the aorta."
367.36,411.745,"The surgeon dissects both layers of the mesoesophagus, coagulating and cutting the segmental arteries between the branches of the aorta that supply the esophagus. The prevascular fascia is dissected to expose the aorta, aiming to reach the avascular prevascular plane for safe thoracic duct dissection."
412.245,443.029,"The surgeon dissects along the aorta in the prevascular plane, exposing the white adventitia of the aorta and the entire aortic wall, free of any overlying fatty tissue or fascia. This step is crucial for safely dissecting the thoracic duct."
443.529,508.837,"The surgeon retracts the esophagus and thoracic duct, continuing dissection in the prevascular plane. The thoracic duct is visible as a wide, glistening transparent tissue lying between the mediastinal pleura and prevascular fascia. Colored arrows indicate anatomical layers: blue for mediastinal pleura, green for prevascular fascia, and yellow for the thoracic duct."
509.337,548.149,"The surgeon incises the outer layer, the mediastinal pleura, revealing the thoracic duct hanging between the two layers of the mesoesophagus. The thoracic duct appears as a white, glistening structure situated between the mediastinal pleura and the prevascular fascia."
548.649,594.381,"The esophagus is positioned downward while the aorta is upward, covered by a yellowish layer of fat. The prevascular fascia remains intact, distinguishing the white sheen of the aorta from the yellow hue of the fat layer. Dissection is performed towards the left mediastinal pleura, revealing the thoracic duct hanging vertically."
594.881,665.171,"The surgeon exposes the mediastinal pleura on the left side, ensuring all fatty tissue is included in the specimen. The thoracic duct is visible hanging down, ready for ligation. At the twelve o'clock position, the aorta is seen with a white sheen devoid of fat on the right side of the thoracic duct, while the yellowish sheen indicates the fat layer of the mesoesophagus. The thoracic duct is identified at the level of the inferior pulmonary vein and is gently clipped."
665.671,721.25,"We should always remember not to use any energy source at the level of the thoracic duct. to coagulate the thoracic duct because the thoracic duct does not contain much of muscle muscular tissue and hence it cannot be coagulated because the proteins need the proteins have to be denatured for coagulation and hence the most effective way to tackle the thoracic duct is by clipping it with metal clips We do not use hemlock clips to ligate or clip the thoracic duct with the fear of injuring it with the hemlock clips. With this, we come to the end of our video on how to identify the thoracic duct and safely ligate it."
721.75,738.173,"The important takeaways are that we should always try to identify the thoracic duct, in order to do a radical esophagectomy to have a clear radial margins as well as to avoid the injury to the thoracic duct. Thank you very much."
