start,end,text
1.013,16.081,"Robotic Stapleless Natural Orifice Sigmoidectomy in Morbid Obesity with Mesentery Splitting. We present a case of a thirty-year-old male with recurrent diverticulitis times three, ASA score three, and a BMI of forty-four."
16.581,29.375,"Four 8.5mm ports are placed in a straight line in the left lower quadrant, utilizing the X-eye system for single docking."
29.875,72.379,"The surgeon explores the donor cavity, carefully taking down adhesions. The distal transection line is identified towards the recto-sigma junction, and the proximal line is marked using a vessel sealer to mobilize the descending colon, following the line towards the splenic flexure."
72.879,86.41,"The surgical view shows the spleen and the tail of the pancreas, indicating the anatomical orientation and proximity of these structures during the procedure."
86.91,125.233,"The surgeon uses a bipolar energy device to transect the distal margin, avoiding the use of a stapler. After identifying the proximal division line with proper retraction, the mesentery is divided, followed by the division of the lumen of the descending colon."
125.733,159.759,"The surgeon introduces a dilator of sizes twenty-nine and thirty-two, attempting to extract the bulky specimen trans-anally using ring forceps. Due to the specimen's size, the extraction is unsuccessful, leading to the decision to split the mesentery using a bipolar energy device to separate it from the colon in this benign case of diverticulitis."
160.259,195.523,"The surgeon splits the mesentery using a bipolar energy device, enabling the extraction of the specimen transanally. The specimen is divided into pieces with the ring forceps after mesentery division."
196.023,237.755,"The surgeon separates the mesentery from the colon, facilitating the transient extraction of the colon. Another piece of the mesentery is removed, concluding with the extraction of the final specimen."
238.255,252.726,"The surgeon places a 3-0 absorbable suture, each measuring nine inches in length, within the surgical field."
253.226,321.436,"The surgeon performs a simple running suture starting from the middle, with each suture extending in opposite directions. The fourth arm is used for exposure and retraction. After completing the posterior line, the surgeon switches to a canal suture technique, demonstrating the 'outside in, inside out' method with clear visualization in the pelvis."
321.936,363.948,"The surgeon uses indocyanine green (ICG) to evaluate the blood supply to the ends of the anastomosis, administering 1.5 cc of ICG and checking the vascularization within one minute. This process is repeated twice during the procedure to ensure adequate blood supply."
364.448,398.51,"The surgeon completes the anastomosis reconstruction without using staplers, employing ICG to visualize the blood supply, which appears as fluorescent green on each end of the anastomosis."
399.01,441.708,"After completing the suturing, each suture is crossed and looped backward twice before being divided. The surgeon checks for leaks by insufflating air through a sigmoidoscope, followed by suction irrigation. The anastomosis is visually inspected to ensure there is no tension or twisting of the mesentery."
442.208,452.615,"Operative time, minimal blood loss, fifty cc's, patient was discharged within forty-eight hours, and this is post-op picture. Thank you."
