start,end,text
14.527,29.195,"The surgeon performs a laparoscopic lavage, visible as irrigation fluid is introduced into the abdominal cavity to address diffuse inflammation and pockets of fluid."
29.695,48.751,"The surgeon uses blunt dissection to take down adhesions between the small bowel and the abdominal wall, as well as from the medial aspect of the sigmoid colon."
49.251,77.026,"The surgeon uses three 5mm laparoscopic ports to break up loculations within the abdominal cavity, manipulating the tissue to separate adhesions."
77.526,100.669,"The surgeon carefully maneuvers the small bowel out of the pelvis to gain a clear view of the potential perforation site, assessing whether the hole is identifiable for suturing or requires resection."
123.987,146.752,"The surgeon performs a laparoscopic lavage, reaching the pelvis anteriorly over the sigmoid colon and inspecting laterally. The left pelvic side wall is visible as the surgeon ensures no additional areas require drainage or breaking up."
164.838,178.601,"The surgeon has separated the small bowel from the medial aspect of the sigmoid colon and begins performing lavage without antibiotics, using irrigation to cleanse the area."
179.101,193.867,"The surgeon carefully explores deeper into the pelvis, inspecting for any abscesses or adhesions, particularly near the bladder, due to the patient's symptoms of urinary pressure and dysuria."
194.367,223.24,"The surgeon highlights the medial aspect of the sigmoid colon, which is visibly attached to the right pelvic sidewall, indicating a challenging area for the subsequent elective resection."
223.74,257.159,"The surgeon cleans up fibrinous exudate in the pelvic area, ensuring that all dominant areas have been adequately drained, with no visible pus present."
257.659,286.087,The surgeon takes a sample for culture and performs a final inspection of the surgical area to ensure no other problematic areas are visible.
286.587,335.957,"The surgeon inspects the small bowel for any inadvertent injuries following blunt separation, ensuring the integrity of the tissue. The omentum is then positioned into the pelvic area."
362.254,387.634,"The surgeon isolates the superior hemorrhoidal artery just distal to the takeoff of the left colic artery in the right pelvis, where additional phlegmon is observed."
406.467,440.552,"The surgeon performs medial dissection, revealing the ureter. Indocyanine green (ICG) is used to enhance visualization of the ureter, aiding in its identification during the procedure."
441.052,474.068,"The surgeon approaches the area in the right pelvis where the appendix is drawn up and adherent to an abscess cavity. Careful dissection is performed to preserve the appendix, but ultimately the decision is made to remove it due to its adherence."
474.568,505.85,"The surgeon ties off a structure using a silk tie, followed by a second silk tie, instead of using a staple load."
506.35,534.035,"The surgeon returns to the right side wall, attempting to bluntly separate the adhered tissue. Visible pus indicates a residual phlegmon and a possible sinus from a previous perforation."
534.535,563.156,"The surgeon carefully navigates near the iliac vessels and the right ureter, using suction in the left hand to clear blood and debris while retracting tissue. Dissecting scissors are held in the right hand for precise tissue manipulation."
563.656,589.625,"The surgeon attempts to break through the residual rind of the abscess cavity to peel the rectus sigmoid away, encountering difficulty and opting to proceed with a dissection along the right rectal area, similar to a total mesorectal excision (TME), while leaving the abscess cavity on the sidewall."
590.125,600.893,"The surgeon lifts the rectosigmoid colon, now free from adhesions, into the air and proceeds with lateral dissection."
621.008,651.236,"The surgeon continues the medial dissection towards the splenic flexure, opting not to mobilize the flexure in this case."
677.528,706.396,"The surgeon completes the mobilization of the rectosigmoid, preparing for transection. The rectosigmoid is isolated, and the division is made slightly lower, at the upper rectum, to avoid the phlegmon and ensure the anastomosis is positioned away from the area of adherence."
706.896,731.781,"The surgeon is dissecting the rectal mesentery, followed by mobilizing the rectum below the peritoneal reflection to ensure adequate length for the procedure."
748.595,776.074,"The surgeon takes the proximal mesentery, following the initial markings towards the planned margin. The area of demarcation is visible a few centimeters proximal to the marked margin."
776.574,806.155,The surgeon identifies a more proximal location than initially planned and makes a new mark on the tissue.
806.655,833.588,"The surgeon performs a lower transection of the rectum, which appears inflamed due to a chronic abscess. The decision is made not to proceed with transrectal extraction to avoid potential tearing."
849.171,883.967,"The surgeon places the sigmoid colon into the right fossa and prepares for a hand-sewn anastomosis by aligning the staple lines. The mobilized rectum is visible below the peritoneal flexion, allowing it to be positioned upward in the pelvis."
884.467,892.255,"The surgeon performs a proctotomy and colotomy using scissors, followed by an application of indocyanine green (ICG) to assess the mucosa, which appears healthy."
892.755,921.233,"The surgeon begins suturing at the center of the anastomosis site, extending the suture outward towards the far corner. The technique involves starting from the middle and working in both directions to ensure closure, addressing visibility concerns."
921.733,937.367,"The surgeon observes the wide diameter of both the rectum and sigmoid, resulting in a visibly wide open anastomosis. The anastomosis appears larger compared to typical cases, where it might visually seem smaller despite clinical effectiveness."
937.867,971.589,"The surgeon transitions to suturing the anterior canal, using a right-hand forehand technique to stitch from the near corner outward, connecting to the other suture across the surgical site."
972.089,1001.434,"The surgeon ties two sutures together for security, ensuring closure on the opposite side. Using a 3-0 V-Loc suture, the surgeon sutures over the top to invaginate the anterior suture line."
1020.473,1049.452,"The surgeon performs a leak test using rigid proctoscopy, inserting fluid posteriorly to help release air bubbles. The scope is advanced below, revealing a wide open anastomosis with no visible bleeding or leakage."
