start,end,text
1.651,8.682,"In this video, we demonstrate right uniportal vats ligation of the thoracic duct."
9.564,21.744,Now you are seeing the division of the parietal pleura posterior to the esophagus and anterior to the azicus vein along the spine.
23.366,27.473,Now the dissection is going cranial towards the head of the patient.
29.022,39.724,and is of course posterior to the hilum now dissection is downwards towards the patient feet and we are dividing widely the parietal pleura
41.02,62.91,to have access to the most important part of the procedure which is identifying the fascia that is overlying the spine and that is the anatomical space where the thoracic duct is contained and this is the fascia that you need to divide to have access to this structure
71.497,88.043,Now you can already have a view of the thoracic duct is this structure going longitudinally along the incision which has this light grey blue colour.
90.907,97.217,Dissection is performed carefully to avoid injuring the oesophagus and
98.885,110.7,It's important to detach the thoracic duct for a length of 3-4 cm to allow a good positioning of the clips.
128.618,138.754,We chose for this case Grena clips that have a good grip to structures.
141.418,152.635,The thoracic duct is a particularly slippery anatomical structure covered in fat tissue.
158.926,167.232,Two clips per side are applied and the thoracic duct is divided with endoshears.
186.652,199.463,"The specimen was sent to histology, but the most important clinical outcome was that the patient went from having a 1.5 litres Kyle leak from her neck dissection to zero output."
