start,end,text
0.912,33.622,This is a video presentation of endocyanin green fluorescence guided robotic-assisted transthoracic esophagectomy to evaluate the role of ICG-INR fluorescence imaging in real-time identification of thoracic duct during surgery and also to assess gastric cardiovascularity. The dose of ICG used is two point five milligram per mm. For thoracic duct identification site of injection is either first web space of bilateral lower limb or bilateral superficial inguinal lymph node. For gastric cardiovascularity intravenous injection is used.
34.122,47.232,"Under ultrasound guidance, the surgeon identifies the bilateral superficial inguinal lymph nodes and injects 1 ml of indocyanine green (ICG) into each node."
47.732,127.537,"The patient is positioned prone as the surgeon begins anterior infra-esophageal dissection, allowing the esophagus to hang from above. The inferior pulmonary ligament is divided, and dissection proceeds to the diaphragm's crura and lower gastroesophageal junction. The subcarinal lymph node is carefully dissected to prevent thermal injury to the right and left main bronchi. Posterior dissection follows, with the thoracic duct identified using ICG Firefly technology."
128.037,159.455,"Under fluorescence guidance, the surgeon completes the infra-esophageal dissection, utilizing the enhanced visualization provided by the ICG fluorescence imaging."
159.955,248.152,"The surgeon commences dissection in the supra-azygous region, carefully dissecting right paratracheal lymph nodes while preserving the right recurrent laryngeal nerve. Station six lymph nodes are cleared. Dissection proceeds on the left side with identification and dissection of the left recurrent laryngeal nerve. The thoracic duct is identified using ICG fluorescence, aiding in its preservation and avoiding injury due to its close proximity to the left recurrent laryngeal nerve."
248.652,292.676,"The surgeon performs a careful dissection of lymph nodes over the subclavian vessels in the supra-azygous region, taking precautions to avoid thermal injury to the membranous trachea."
293.176,316.348,"The surgeon clips and divides the azygos vein, confirming the intact thoracic duct. The intrathoracic esophagus is fully mobilized."
316.848,342.913,"The patient is positioned supine for the interabdominal dissection. The surgeon incises the lesser omentum and continues the dissection up to the diaphragm, revealing the anatomical structures in the abdominal cavity."
343.413,381.843,"The surgeon divides the gastrosplenic ligament containing the short gastric vessels using a vessel sealer. The peritoneal capsule is opened, and station eight and twelve lymph nodes are dissected."
382.343,406.613,The surgeon seals and divides the left gastric vessels at their origin. The DII dissection is completed with the clearance of station XI P and XI D lymph nodes.
407.113,447.972,"The surgeon carefully divides the greater omentum while preserving the gastroepiploic arcade. A gastric conduit is created using a stapler, and intravenous dye is injected to confirm the vascularity of the gastric tissue."
448.472,460.045,"The surgeon performs a side quadrangle esophagocastric anastomosis in the neck using a powered stapler, joining the esophagus and gastric conduit."
460.545,472.84,"In our series of one sixty eight patients, anastomotic leak rates were two point nine percent and chylic rates were one point eight percent. Use of ICG fluorescence is easy and safe method for real time identification and preservation of thoracic duct."
473.22,478.426,It also helps in assessing gastric conduit viability to avoid anastomotic leak. Thank you for watching this video.
