start,end,text
273.656,281.205,When I get in I think the most important thing to reinforce to you is that the reason that you're doing this operation primarily is for a hematologic disorder.
327.035,330.961,Sometimes it can be seen at the base of the mesentery or along the left gonadal vein.
346.202,349.487,Next thing you do is take down the short gastric vessels.
349.527,351.81,"And, you know, the thing about this is that,"
352.229,357.254,"A lot of this operation is very similar to some of the other operations we do, like a ."
357.294,359.116,So taking down the short gastric are important.
359.156,360.997,It allows you to identify the splenic hilum.
361.518,369.906,And it also will allow you to look very carefully to look for an accessory spleen along the splenic artery.
369.926,378.694,"If you want to ligate the splenic artery early in the case to decrease the size of the spleen, which is helpful in this case of splenomegaly, that can be done."
379.014,381.797,"It's not easy to do actually, but it can be done in that situation."
384.764,387.829,Now the next thing that I talk about here is posterior mobilization.
387.849,392.156,Now this is again depends on how things are going and how things are presented to you.
392.217,403.476,"You can see here that we're mobilizing laterally and posteriorly so that now we've taken the short gastric immediately, we mobilized laterally and then the only thing that's really going to be holding this thing in place is really the hilum of the spleen."
403.836,407.262,I tend to leave the superior most attachments or the superior pole
407.579,410.242,diaphragm intact so that the thing doesn't flop around.
410.323,411.784,It's anchored in two places.
412.365,414.989,And so this posterior mobilization is easy to do.
415.77,427.084,"And when I first started doing these operations, I did the posterior mobilization first, but the spleen flopped over and then I had a hard time taking the short gastrics and identifying things in the lesser sac."
427.124,429.187,And so that's why I changed my orientation.
429.888,433.573,"But Dr. Brunt speaks after me, I believe, and he's going to talk about adrenalectomy."
433.593,436.877,This is part of a left adrenal right here that you're doing as well.
437.178,441.083,"If you do a nissen or if you do adrenal, you know, you've got half of the spleen down already."
443.326,448.092,"Now, the next step is obviously is taking your hilar structures."
448.152,458.745,"And what I show here is if you're hugging close to the spleen, you can actually get branches of the artery and vein that you can take individually."
459.266,466.915,"And sometimes that will provide better exposure and allow you to identify the things like the pancreas, which you can see right here very nicely."
467.165,474.431,And so dissecting these things out and taking these things individually actually allow us to avoid injuring the tail of the spleen.
477.915,484.18,"And then last thing, obviously, is the division of the splenic hilum."
484.2,487.043,And I use an endoscopic stapler to do this with a vascular load.
487.743,491.527,"And again, people often ask me, well, how do you know you're not getting the tail of the pancreas?"
491.967,493.749,I try to see it as best I can.
493.809,494.63,Sometimes I don't.
495.11,496.311,"If you hug the spleen,"
496.713,498.675,You'll be okay.
499.036,506.063,"The other thing is with these articulating staplers, one of my fellows used to be from Arkansas, and he called it bend duration."
506.123,516.115,"If you put a little bend in the scalpel and hug along the spleen, you should avoid the tail of the pancreas, but also avoid injuring the spleen."
517.356,519.118,And then the last thing is extraction.
519.518,525.505,"And I can't emphasize, this is, you know, at the point of the case where you want to start clapping and patting yourself on the back."
525.873,527.555,This is where you have to be really careful.
528.216,529.558,You can't crack the spleen.
529.578,530.639,You can't spill cells.
531.079,538.789,"You want to make sure you get it into an endobag, that you get the mouth of the bag outside of the abdomen before you open it up and start morcellating the spleen."
539.35,543.194,"By and large, you can morcellate the spleen because this is for benign disease."
543.595,554.108,"But if you're doing something for potentially a question of a tumor, in my experience, I've actually taken one spleen out for a metastatic deposit that we wanted to examine the spleen hole."
554.408,562.059,"You have to make a specimen extraction, and your choice for that could be lowering the abdomen wherever it's easiest for you."
562.359,565.684,"But again, the extraction is not a time to lose your focus."
565.724,575.078,"You really got to, because you could do a great operation, and if you crushing the spleen up and spill cells in the abdomen, they'll get recurrent disease if they have ITP, for example."
