start,end,text
1.246,49.558,"The surgeon uses a robotic eight millimeter trocar in the left upper quadrant to develop the retroactive space, followed by blunt camera dissection. After creating sufficient space, a middle port is placed using a finder needle guided by the semilunar line. The left lower quadrant port is established, and the ipsilateral retrorectus space is fully dissected before initiating a crossover."
50.058,97.628,"In the lower abdomen, the surgeon initiates a limited crossover below the arcuate line in the space of Retzius. Returning to the upper abdomen, the surgeon attempts a crossover above the falciform ligament, leaving a visible lip of fascia on the ipsilateral side for closure. Care is taken to avoid perforating the peritoneum."
98.128,159.201,"The surgeon assesses the size of the hernia and the width of the rectus muscles, noting the appropriateness for a Reeve-Stopa repair. The video shows the reduction of the peritoneum, with two small holes visible in the thin peritoneum, which the surgeon carefully avoids enlarging to prevent exposure of the mesh to the abdominal cavity."
159.701,247.775,"The surgeon continues to open the posterior sheath on the ipsilateral side, progressing down to the lower abdomen and below the arcuate line. This area becomes confluent with the space of Retzius, where a limited crossover was previously initiated. The surgical field is well-exposed, allowing for further dissection in this location."
248.275,329.223,"The surgeon identifies the arcuate line on the right side of the patient and begins a bottoms-up approach to open the contralateral posterior sheath, exposing the right retro-rectus space. Due to challenging angles with the right arm, the surgeon returns to reduce more of the hernia and the peritoneum visible in front."
329.723,455.435,"The surgeon expands the working space in the upper abdomen, enhancing the visual field for efficient dissection. The posterior rectus sheath is opened on the right side to develop the right retro-rectus space. Entry into the retro-rectus space is initiated in the high upper abdomen, while further dissection in the lateral preperitoneal plane is deemed unnecessary."
455.935,549.601,"The surgeon carefully uses cautery on the pseudosac anteriorly while avoiding the posterior peritoneum, occasionally switching to cold scissors for precision. Upon reaching the lateral side of the hernia, the posterior rectus sheath is dropped, eliminating the need to continue dissection in the preperitoneal plane."
550.101,640.841,"The surgeon carefully reduces the peritoneum without causing injury, working on the lateral side of the hernia defect at the junction of the medial edge of the right rectus. The posterior sheath is taken down, making the entire right retro-rectus space accessible, and the space is developed out to the semilunar line."
641.341,760.198,"The surgeon creates additional space in the upper abdomen to ensure adequate mesh overlap above the hernia defects. The posterior holes are closed with reduced pressure for suturing, focusing on the anterior sheath due to higher tension. The hernia size is estimated using an instrument, and the defect closure begins at the top. Proper port placement is emphasized, with trocars entering lateral to the semilunar line to maintain visibility during closure."
760.698,886.412,"The surgeon begins suturing from the bottom, imbricating the pseudosac to reduce dead space and minimize seroma risk. As stitches are placed closer together, the surgeon selects the suture with the best angle and visibility, tying them for security. A large piece of mesh is then inserted to fill the space, ensuring it lies flat without folding or bunching."
886.912,908.504,"And in this case, um, I did decide to leave a drain. I don't usually, if I don't do a tar, but in this case I did just due to the size of the space, making sure that everything sits flat. And that's the end of the case done as an outpatient. Patient did very well. I hope you enjoy."
