start,end,text
1.492,9.193,"Okay, welcome. This is Dr. Andrea Vidali and... Dr. Joseph Rukuya. And we're looking at a case Dr. Rukuya did."
9.213,12.834,"This is a... Joe, you want to describe what's going on, what we're looking at?"
12.854,16.535,It's a colon cancer in the sigmoid colon.
16.535,23.616,"The video shows a puckered area of tissue within the sigmoid colon, indicative of the cancerous region, as it moves back and forth."
23.636,28.82,"Yeah, exactly. So what we do, the first part..."
29.32,52.697,"A five French open-ended catheter is inserted into the right ureter, with IC green dye being injected to enhance visualization of the ureter's path."
52.697,61.481,"It's something that we do pretty much on every case. Any comment on that, Joe? No, it's excellent visualization of the ureters during the operation."
61.981,77.5,"The surgeon lateralizes the sigmoid colon, demonstrating the technique's effectiveness in repositioning the colon. The video is sped up for presentation purposes."
78,99.578,"The surgeon uses infrared light to visualize the ureter, which appears as a green structure, enhancing its identification during the procedure."
100.078,123.696,"In this case, we like to use two robotic arms and two non-robotic laparoscopic ports. It does save money in terms of using less arms, but also, most importantly, it's much more mobile, so your whole field is very fluid. Joe, you want to comment? You're using the bipolar now."
124.196,152.016,"You want to comment when do you decide to use the bipolar for small vessels, for the size of a vessel, and when do you like to clip? Do you have a set rule? No rule. If the vessel looks big, I'll usually clip it, but usually the arteries, not so much the veins. Like you just saw there, that was a venous branch that was easily desiccated with the vessel sealer."
152.516,165.529,"And this is obviously a cancer case, so you want to go deep. You want to go to the inferior mesenteric artery and make sure that you get enough lymph nodes in the sample for adequate staging."
166.029,182.726,"Any comment of... Have you noticed any difference between using the robotic... The robotic... GIA compared to the handheld. Have you noticed any differences? No, I think they're both equally efficient."
183.147,202.588,"It's just that with the robotic one, it's all intercorporeal and you control it versus doing the robot and having your assistant control it. But I think the robotic one is better for the robot because it's easier to use, but one is not better over the other technically."
203.088,228.018,"The surgeon ensures a margin of at least five centimeters distal and proximal from the cancerous tissue, excising a generous portion of mesentery extending to the inferior mesenteric artery to obtain sufficient lymph nodes for staging."
228.518,258.837,"The surgeon exposes the inferior mesenteric artery, completing the dissection of the mesentery. Due to the artery's size and inability to be desiccated properly, it is clipped."
259.337,271.879,"The surgeon has completely removed the specimen, revealing a redundant section of the colon suitable for a side-to-side anastomosis. The splenic flexure was mobilized earlier in the procedure."
271.959,293.701,"The surgeon notes the lesion's position approximately twenty-six centimeters from the anal verge, highlighting the mobilization and redundancy of the colon that facilitates achieving an adequate margin. The surgeon performs a hand-sewn intracorporeal anastomosis."
294.201,313.426,"The surgeon is working on the posterior serosal layer of a two-layered anastomosis, using interrupted sutures to secure the back row of the anastomosis."
313.666,357.106,"However, I believe that the running sutures will cause a vascular compromise. I'm not saying that it's something that would... It's completely acceptable, but this is a technique I do in open, and it just goes to show you that the robot can do any technique that you like. If you're more comfortable, for example, using staplers and doing a stapled anastomosis, or if you're more comfortable doing an extracorporeal anastomosis or a small incision, you could do that, but I think here is a very good example of how you can just do robotic surgery and do exactly what you do in Open Technique."
357.606,381.166,"The surgeon begins suturing the mucosal layer, the innermost layer of the anastomosis, using a running stitch technique. Vicryl sutures are used for this layer, and canal stitches are applied at the ends and edges."
381.226,400.482,"The surgeon uses a 3-0 Vicryl suture on an SH needle to perform a hand-sewn repair, employing robotic assistance to replicate the technique used in open or laparoscopic procedures."
400.982,431.569,"Do you feel that there's, is there any evidence or studies that doing a hand sewn as opposed to a stapled end-to-end side-to-side anastomosis, is there any data on that on terms of leakages? No, I think it really depends what you're most comfortable with. I mean, there are some people that feel that doing a stapled technique probably has less of a leak rate, but I think there's enough evidence information to also refute that because it really depends on the user and the technique."
431.989,459.164,"I think quite frankly with a stapled anastomosis you'll essentially get most often a static type of anastomosis where it will be more standard. But once you do anything by hand, I think it's just as good if you're used to doing it. I don't think you should do this if you're not used to doing hand-sewn anastomosis."
459.664,480.875,"But unfortunately, everybody is relying on instruments to do things these days, so we've kind of gotten this off the shelf. And the canal suture is like obviously outside in, inside out, right? Right, outside in, inside out on both sides, and that's how we do the corners. Some people actually canal the whole anastomosis. I don't do that."
481.235,519.95,I only do when the corners meet so they co-opt and come together evenly. And then I just do a running over and over once the linear portion of the anastomosis corner is completed so for you guys watching canal suture would be uh outside in then inside out inside out outside in inside out outside in and uh that's a way that you'll sort of bury your suture you're not going to have any and now here you'll see i start going across some people do canal all the way through but it's the same exact technique uh as we do with uh an open procedure doing hand sewn
520.45,556.222,"Um, do, uh, do, um, sorry guys, we're recording. People came into the room. Um, so you're going to run this part, right? Right. And then we'll interrupt it. Um, the cirrhosis layer after this. Um, any comments? So like once you, once you, you close, you close your mucosal layer, uh, any comment on the, um, When you're going to do your serosal layer, how important is it to get some of that fat overlying your incision? Is that so important? Because some people denude it completely, other people."
556.722,617.108,"Ironically, I think a lot of surgeons that do hand sews try to completely remove all that fat. I look at that fat like omentum. And, you know, there's a significant subclinical leak rate with all anastomosis, regardless of whether it's stapled, hand-sewn. I mean, a subclinical patient's never going to declare that they've leaked a little. And I think that the little epiploic fat, like omentum, acts as a barrier when you're doing the anastomosis. So I myself don't mind catching some of the epiploic fat to include that into the anastomosis on the serosal side. layer. Plus, that also helps with coagulation and helps with... Well, if you understand tissue thromboplastins also, if there's any bleeding, I mean, not that it's going to be significant, but yeah, I think it's essentially... a good part of the procedure."
617.168,665.748,"Also fat brings blood supply and if there's little even subclinical leaks I do believe that it will be beneficial. And again your serosal layer here is interrupted. Any thoughts Joe about running this one as well? Again I have this idea about vascular occlusion and I think it comes from doing work especially doing esophageal anastomosis with the stomach, where the blood supply there is very linear and fragile. And I think any kind of disruption of the blood supply, the perpendicular blood supply, let's say the bowel at the end, might compromise it. And although I think that's more of a theoretical belief, this is where I come from from doing this technique. All right, guys."
665.768,676.45,"Well, thank you very much for watching. Sorry about the interruptions. We were in the OR and people walking by. But, yeah, thank you and talk to you soon. Dr. Vidali and Dr. Joseph Rucuia."
