start,end,text
4.745,16.968,"This operation was technically very challenging. This patient presented to the emergency department with pain for less than seventy-two hours, but chronic symptoms had been present for years."
17.468,34.912,I began this operation as a single incision cholecystectomy. The inflammatory rind of the gallbladder was dense and was very difficult to manipulate. The IC green was not illuminating through the inflammation. I had already encountered bleeding at closed node.
35.412,60.665,"The surgeon converts the procedure to a multiport cholecystectomy, placing two additional ports to the left and right of the single incision port. The camera and assist port remain positioned at the umbilicus through the single incision port, allowing the use of aggressive graspers and wristed instruments, including a wristed suction irrigator."
61.165,82.578,"The surgeon uses a suction irrigator for blunt dissection, making progress in separating tissue posterior to the gallbladder."
83.078,131.991,"The surgeon isolates the cystic artery, which terminates on the gallbladder wall, and clips it with three clips before transecting it using an electrocautery device. Progress is made slowly and carefully around the critical view as the cystic duct comes into view amidst significant inflammation. Due to the inflammation, the surgeon plans to proceed with a subtotal cholecystectomy."
132.491,147.97,"The surgeon identifies a safe point at the infundibulum and another posterior to the gallbladder, then transects the gallbladder along a line connecting these two points as part of a subtotal cholecystectomy."
148.47,174.905,"Despite clips controlling the cystic artery, some bleeding is visible. The surgeon resumes dissection along the gallbladder fossa after passing through the back layer of the gallbladder. A small fragment of the gallbladder remains, with minimal mucosal surface exposed, and the cystic duct is located approximately half a centimeter from the transected infundibulum."
175.405,197.703,"The surgeon uses a Proline suture to over-sew the remaining segment of the gallbladder, starting at the far end. The running suture co-opts the edges of the mucosa and helps control minimal bleeding at the gallbladder wall edges."
198.203,231.618,"The surgeon runs a suture superficially over the stump of the gallbladder, ensuring the needle passes through each end of the mucosal surface to avoid narrowing the common hepatic duct. The suture is run back to its origin, creating a two-layer closure."
232.118,259.938,"The surgeon assesses the closure of the cystic duct, ensuring it is secure to prevent leaks. The area is thoroughly irrigated, and hemostasis is achieved as needed. The gallbladder is then prepared for removal from the liver bed, with optimal exposure maintained."
260.438,291.866,"The surgical bed is copiously irrigated following gallbladder perforation and subtotal cholecystectomy. A drain is placed through an eight millimeter port and positioned adjacent to the suture line. The gallbladder is removed from the abdomen. The fascia is closed with PDS sutures, and the skin is closed with interrupted monocryl sutures and steristrips."
292.366,305.034,"With the advantage of robotic multiport cholecystectomy, an open operation was not necessary. The patient was discharged home on post-op day two with normal LFTs."
305.534,306.415,Thank you for watching.
