start,end,text
8.151,12.074,"The video shows a thick liver, prominently visible in the surgical field."
12.574,26.87,"The surgeon completes the sleeve gastrectomy, noting the larger size of the stomach compared to when performed as a single-stage procedure."
27.37,36.534,"The surgeon carefully dissects and removes the fundus of the stomach, ensuring complete separation from surrounding tissues."
37.034,47.258,"The antrum of the stomach is visibly retained, measuring more than four centimeters in length."
47.758,70.148,The body of the stomach appears much wider compared to the typical size seen in a single-stage sleeve gastrectomy.
70.648,88.783,"The surgeon adjusts the liver retractor to the right, elevating the right lobe of the liver and the falciform ligament to prevent obstruction during the procedure."
89.283,97.219,"The surgeon performs both blunt and sharp dissection of the duodenum, followed by division of the duodenum."
97.719,100.88,"The surgeon measures approximately four centimeters from the pylorus, marking the location for further surgical intervention."
101.38,104.501,"The surgeon identifies the cecum, visually distinguishing it from surrounding structures in the abdominal cavity."
105.001,116.325,The surgeon identifies the ileocecal junction using the appendix as a visual marker.
116.825,127.413,"The surgeon measures the terminal line from the previously dissected duodenum, extending it to a length of 205 to 300 centimeters."
127.913,142.286,"A stray suture is inserted to fix the first part of the duodenum to the loop of ileum, securing the connection between these two structures."
153.721,164.012,"The surgeon lifts the anastomosis site, bringing it into clear view for further manipulation and inspection."
164.512,169.237,"The surgeon uses a two-relock PDS suture to secure the anastomosis, ensuring precise alignment of the bowel segments."
169.257,182.731,"The surgeon uses PDS relock sutures to secure the anastomosis, ensuring precise alignment and stability of the bowel segments."
195.921,217.993,"The surgeon applies the first layer of V-Log PDS sutures to the anastomosis, reducing tension and providing a secure hold along the suture line."
266.12,275.45,"The surgeon opens the duodenum and ileum using a diatomic hook, with the option to use a harmonic device for this step."
347.017,375.825,"The surgeon continues the anterior suture line, ensuring it is watertight as the first layer of the anterior suture is applied."
376.325,415.658,"The surgeon makes a single cut to ensure the lumen remains patent, avoiding closure of both sides."
416.158,453.521,"At the corner of the wound, the surgeon uses submucosal sutures to invaginate the wound, without applying cornel stitches."
454.021,474.326,"The surgeon places a couple of sutures at the corner of the wound, transitioning from a backstitch technique to a standard suturing method."
483.802,510.514,"The surgeon lifts the stay suture, creating tension along the suture line, and completes the suturing process rapidly and efficiently."
512.99,539.031,"The surgeon extends the suture beyond the opened ends of the ileum and duodenum, securing it with one or two locking stitches to prevent slippage."
539.531,582.46,"The surgeon continues the first posterior layer of suturing as the second anterior layer, ensuring the corner of the suture line is covered to prevent any defects."
582.96,602.611,"The surgeon inserts a 20 Robinson tube, which is positioned for drainage and kept in place for twenty-four hours. The excised portion of the greater curvature of the stomach is removed from the surgical field."
