start,end,text
37.809,45.075,"The patient is positioned with legs open, while the surgical assistant stands between them. Trochars are visibly placed in the abdominal area, as demonstrated in the video."
45.575,49.198,"Upon entering the abdominal cavity, a large hiatal hernia is visibly observed."
49.698,52.896,The surgeon uses graspers to manipulate and reduce the herniated portion of the stomach back into the abdominal cavity.
53.396,56.719,"The surgeon begins the procedure by dissecting the right crus, using laparoscopic instruments to carefully separate the anatomical structure from surrounding tissues."
57.219,76.855,The surgeon uses a latex band for esophageal traction to facilitate the reduction of the abdominal esophagus during the laparoscopic robotic-assisted Roux-en-Y gastric bypass and hiatal hernia repair.
77.355,105.793,"The surgeon uses a hook instrument for mediastinum dissection, utilizing its fine design and full robotic articulation to carefully separate tissue within the surgical field."
106.293,126.012,"The surgeon closes the hiatus using Effibon stitches, carefully calibrating the sutures to ensure proper closure of the hiatal hernia."
126.512,141.317,The surgeon dissects the lesser curvature of the stomach and uses a tri-stapler with a 60mm suture and preloaded mattress material to horizontally create a gastric pouch.
141.817,170.065,"The surgeon uses a thirty-six French bougie for calibration, followed by the vertical knitting of two sixty millimeter sutures."
170.565,183.996,The surgeon performs a side-to-side anastomosis between a 60-centimeter biliopancreatic limb and a 150-centimeter alimentary Roux limb using a 60-millimeter tanned cartridge.
184.496,190.301,"The surgeon performs a hand-sewn terminal lateral gastrojejunum anastomosis, connecting the stomach pouch to the jejunum."
190.801,274.649,"The surgeon performs two planes of running sutures using PDS material, securing the tissue layers in place."
