start,end,text
1.688,10.192,Welcome to another installment of robotic hernia videos. Today we're going to be talking about efficiency with inguinal hernia surgery.
10.692,27.749,"Many people wonder whether or not robotic inguinal hernia repair can be an efficient endeavor. And so we'll talk about room setup, port placement strategies, and instruments, and then review a very basic case from my outpatient inguinal hernia practice."
28.249,32.983,"I think that inguinal hernia surgery can be efficient, but it's all about setup."
33.483,37.266,"So let's start with the room setup. In general, less is more."
37.766,60.758,"When I proctor individuals who are in their early learning curve, they will oftentimes have robotic, laparoscopic, and sometimes even open inguinal hernia setups opened up in terms of trays in the back table. I think it's really important to make it lean, make it efficient, make it strategic for your operating room team and your scrub tech."
61.258,68.741,"I like to optimize everything, including my mesh availability. This is a picture of our mesh cart that we have in all of our venues."
69.241,75.224,"That patient setup, again, trying to be consistent can help your other team members do well."
75.724,85.3,I always have the anesthesiologist place an OG. We always tuck the arms and we always place it fully. The abdomen and groins are trimmed and prepared.
85.8,92.947,And then we have our sutures ready to be placed at the beginning of the case already on a needle driver.
93.447,99.653,Strategic placement is important. I like to avoid umbilical and midline access.
100.153,114.066,"The surgeon gains entry into the abdomen in the upper quadrants using a gasless optical trocar. Upon entry, the groins are assessed to determine the appropriate mesh for placement."
114.566,126.451,"Mesh decision-making. I think it's important to know your mesh products. I use Bard, three D max, typically either mid-weight or heavyweight selectively with some lightweight materials."
126.951,140.513,"Mesh materials don't make a huge difference in long-term outcomes, though there is. Some data suggests that a heavyweight mesh performs better for larger hernias and mid-medial hernias."
141.013,154.463,"We talked about strategic port placement. Figure A here, this is actually a figure from a book chapter that's about to come out that I wrote. So these are port placement strategies. Figure A is my standard setup."
154.963,172.425,"Gas enters the upper quadrant as the surgeon triangulates three 8-millimeter ports towards the groin of interest. The central port is positioned off midline, while the other ports are placed in a non-transverse orientation."
172.925,183.087,"The surgeon places ports for bilateral inguinal access, positioning the central port off midline and arranging the other ports transversely to avoid collisions."
183.587,195.869,"The surgeon prepares to insert a heavyweight mesh using a twelve millimeter trocar, as the mesh cannot fit through an eight millimeter trocar. The fascia will be closed appropriately at the end of the procedure."
196.369,205.197,And then rarely will I use a twelve millimeter port through the umbilicus. I think it's really important to dock it and get it done.
205.697,218.784,"Upon placing your ports, you want to place your mesh, your suture, dock your robot, and get to the console. I tell my team that the cut to console time is critical, and it can serve as a surrogate for efficiency."
219.284,233.938,"My main hospital, where I do a lot of teaching, we usually can't get more than three of these done in a day. We have an eleven minute cut to console time. And in my non-teaching facility, it's about four minutes, and we're able to knock out cases as you see on the right side."
234.438,260.554,"So for today, I wanted to actually review a straightforward case from my outpatient surgical practice. These inguinal hernias, you see the patients in clinic, they have a symptomatic groin, they have a relatively small hernia. I think if you see enough for these patients, you can really set your outpatient center up for success and perform between four and seven of these in a given day."
261.054,283.057,"The surgeon identifies an indirect inguinal hernia upon entry in a female patient, with a visible lipoma in the canal that is being reduced."
283.557,307.267,"The surgeon begins medial dissection to establish the critical view of the myopectenial orifice, crossing the midline to enhance visibility of the anatomical structures."
307.767,326.616,"The surgeon performs retropubic dissection between Cooper's ligament and the bladder, using the obturator foramen as a visual marker. Fat is reduced from the obturator area to ensure proper dissection."
327.116,337.162,"The surgeon performs a transection of the round ligament to facilitate the placement of mesh, followed by lateral dissection in the inguinal region."
337.402,356.522,We knew it was going to be that way. And now we'll finalize this dissection.
357.022,371.377,"The surgeon observes retroperitoneal fat in the surgical field, indicating readiness for mesh placement."
371.877,395.499,"This is an unedited video at three X. The console time for this case was thirteen or fourteen minutes. Our average console time for our outpatient surgery center where I quote unquote cherry pick our cases. will usually be, it's around to twenty five to thirty minutes."
395.839,450.121,"The surgeon places the mesh over the hernia site, ensuring good circumferential coverage. The mesh is adjusted into position, and the flap is closed using a 3-0 V-lock suture. Selective fixation of the mesh is performed based on the perceived risk of hernia recurrence."
450.621,496.808,"During flap closure, the surgeon identifies a small fenestration and proceeds to close it using a six-inch suture. Another small hole is visible to the right, but the surgeon decides not to close it."
