start,end,text
0.81,40.755,"We present to you a video on robotic retroperitoneal adenlectomy for large adrenal lesion, its feasibility and outcome. Robotic adenlectomy is becoming the treatment option of choice for large adrenal tumors. However, there is a risk of capsular disruption, incomplete removal and the associated technical difficulties. The retroperitoneal route provides a direct approach with no bowel handling. We present to you the perioperative outcomes of robotic adrenalectomy over a period of three years and we present a video of such a case."
41.255,63.611,A fifty-one year old female patient was found to have a right adrenal mass during evaluation for palpitations. A CT scan showed a seven point five centimeters enhancing mass in the right adrenal gland. The functional study was suggestive of a pheochromocytoma and she was planned for a robotic retroperitoneal adenlectomy after adequate preparation.
64.111,96.72,"The patient is positioned in the left lateral position at the edge of the surgical table. The surgeon makes the initial entry point just below the twelfth rib near the mid-axillary line using a visiport, carefully accessing the retroperitoneal space through the fat and muscles while avoiding entry into the peritoneal cavity."
97.22,123.655,"The surgeon uses a zero-degree camera in a sweeping motion to expand the retroperitoneal space, followed by the insertion of the first robotic port."
124.155,180.351,"The surgeon uses bipolar forceps to create additional space for inserting two more robotic ports. A 12 mm assistant port is placed between the first two ports, completing the final port placement with four robotic ports and one assistant port visible."
180.851,212.03,"The DaVinci XI robotic system is docked, and the surgeon performs dissection cranially along the psoas muscle, using robotic instruments to carefully separate tissue in the retroperitoneal space."
212.53,254.296,"The surgeon identifies the adrenal tumor and performs dissection around it, separating it from the underlying psoas muscle and its fascia. Bipolar cautery is used to ligate small feeding vessels supplying the tumor."
254.796,289.048,"The surgeon carefully avoids excessive handling of the adrenal tumor to prevent blood pressure fluctuations. A dissection plane is created and further developed between the upper pole of the kidney and the tumor, separating these structures."
289.548,343.284,"The surgeon uses a retroperitoneal approach to dissect the upper part of the adrenal tumor away from the peritoneal lining over the liver. A portion of the tumor is seen coursing beneath the inferior vena cava (IVC), which is carefully dissected. This approach allows safe access to feeder vessels located behind the IVC that supply the tumor."
343.784,383.835,The surgeon performs further dissection to identify the main adrenal vein. The vein is clipped with wax clips and then cut. The surgical team communicates with the anesthetist following the clipping of the adrenal vein.
384.335,411.434,The surgeon releases and cuts the remaining attachments of the adrenal tumor using monopolar cautery. The specimen is then placed into an endo bag for removal.
411.934,425.917,"The video displays the floor of the dissection, revealing part of the adrenal gland extending behind the inferior vena cava (IVC). The resected right adrenal specimen is visible."
430.341,455.395,We had a total of five cases with the mean age being fifty years. The average tumor size was six point four six centimeters. All were right-sided tumors. Four had a pheochromocytoma and one was a ganglioneuroma. The mean blood loss was only a thirty mL. The average stay was two point five days and none of the patients had any intraoperative or postoperative complications.
455.895,464.297,"To conclude, robotic retroperitoneal adrenalectomy is feasible, safe and associated with good outcomes in large adrenal tumors."
