start,end,text
18.905,29.7,We performed the surgery and used the DaVinci platform X-Eye with three ports for the robotic arms and one inferior port for the systems.
32.212,38.061,We began the surgery by opening the mediastinal pleura just above the phrenic nerve.
47.936,54.827,Progressing a qualche clockwise dissection by opening the heteroesternal mediastinal pleura
104.183,116.337,"After progressing the upper dissection, we went on what we thought to be the internal mammary vein, looking forward for a plan to dissect the brachiocephalic vein."
153.627,170.337,"At this time we couldn't know what was tumor and what was the brachiocephalic event, so we turned on the firefly and injected green indocyanin and the venous, but what we thought it was the tumor highlighted before the vein."
183.192,187.363,So we proceed to meticulous dissection of the vein.
215.947,222.117,"And after a complete dissection, we repair the brachiocephalic vein with a vessel loop."
235.878,241.667,"At this time, after controlling the vein, we proceed the dissection just above the pericardium."
265.947,272.295,We proceed on the dissection plane between the tumor and the terminal portion of the brachiocephalic vein.
312.05,322.77,"After complete release of the vein, we proceed to dissection of the upper part of the tumor, identifying and dissecting tributary veins of the mass."
325.755,329.282,We use the electrical thermal bipolar vessel sealer.
344.77,353.278,"And for the internal mammary vein, we use the pneumoclip and the bipolar vessel sealer for the ligature."
373.542,381.848,"After the critical part of the dissection of the upper part of the vein, we proceed to the terminal portion by sealing the thymic veins."
420.674,427.528,"Completing the upper portion of the dissection, we can see the thymic lobe and its unrelatedness to the tumor."
461.09,469.868,"At this time, we decided not to perform a complete timectomy by sealing and dividing the right and the left timeclopes."
508.087,513.861,"At this moment, we finish the vascular part with the sealing of the last thymic tributaries."
529.889,539.157,"As the patient had no sign of myasthenia and the origin of the tumor was not timid, we do not perform the complete emptying of the pericardial fat."
567.537,571.337,"By the end, we just put an hemostat on the tumor's side."
596.41,601.088,and the hose specimen was removed by the assistant part.
