start,end,text
121.979,136.474,"The surgeon begins medial to lateral mobilization, identifying the inferior mesenteric artery within the surgical field."
136.974,147.916,"The surgeon carefully identifies and protects the left ureter during the procedure, ensuring it is not damaged during the surgical steps."
148.416,168.483,The surgeon clips the inferior mesenteric artery after the origin of the left colic artery to preserve optimal blood supply for the colon during the resection of diverticular disease.
168.983,201.341,The surgeon staples the inferior mesenteric artery and continues with the medial mobilization of the colon.
201.841,209.63,"The surgeon performs lateral mobilization of the colon, continuing the dissection process initiated medially, while maintaining awareness of anatomical structures and variations."
210.13,236.603,"The surgeon carefully dissects and removes adhesions between the uterus and the left ovary, separating these structures from each other."
237.103,248.911,"The surgeon proceeds with the upper rectal mobilization within the total mesorectal excision (TME) plane, carefully separating the rectal tissue from surrounding structures."
249.411,272.156,The surgical team prepares to staple the rectum using an Echelon stapler with green cartridges. The da Vinci system's Firefly imaging is utilized to confirm the level of the anastomosis before stapling.
272.656,301.505,"The rectal stump is observed to have good blood supply, indicated by its green coloration. The surgeon staples the rectum and uses scissors to cut along the staple line."
302.005,318.155,"The surgeon removes the specimen from the abdomen through the anus. Once the specimen is outside, the anvil is inserted, and a purse string suture is applied to secure the anastomosis."
318.655,336.655,The surgeon returns the bowel into the abdomen in preparation for the colorectal anastomosis. The purse string suture is performed outside the abdomen to address bacteriological concerns and optimize operative time.
337.155,365.656,"The surgeon removes the injured rectal cuff, visually detaching it from surrounding tissues."
366.156,403.261,"The surgeon inserts a 31mm circular stapler through the anus to create an end-to-end colorectal anastomosis, connecting the bowel segments."
403.761,410.327,"The surgeon performs a leak test on the colorectal anastomosis to ensure its integrity, marking the completion of the operation."
