start,end,text
253.342,255.124,It's not going to go anywhere.
255.525,258.289,It is a testimony to his skill and to the technique.
258.269,269.005,"And therefore, the concept that less is more really is shown to prove in this patients who went minimally invasive mitral and aortic valves."
269.605,277.577,And it really becomes a no-brainer when it comes to comparing this kind of incision to something obvious than that.
357.42,364.106,"We started with four, and then gradually we went to three and two, and we're doing more complex and complex interventions."
367.349,369.314,And this is the only thing that the patient had.
369.935,370.917,Or something like this.
371.539,377.934,"And this is all full scope of intrathoracic pathology, which is now being approached with uniportal VADs."
421.332,427.984,"It works because we can start with the simplest of them, and that is the left lower lobectomy."
428.465,432.592,You can see that visualization is practically superb.
433.514,436.019,Our operation is done in very anatomic fashion.
436.64,444.454,"All the vasculature is controlled under direct vision, and most notably, we don't use disposable instruments."
444.67,447.94,We use regular instruments to dissect the vessels.
447.98,451.109,"Yes, we use the staplers, but so we can use the sutures."
451.711,454.981,Inferopulmonary vein was divided in an anatomic fashion.
455.522,458.832,"So was pulmonary artery, and so is the bronchus."
459.335,464.701,And this allows us to significantly cut down on patients' mobility.
465.341,470.427,It allows us to do all the adjuncts necessary to any other thoracic surgery.
470.547,475.832,"And more and more, we do see these adhesions, especially when we don't expect them."
475.852,479.476,And this is all approachable through one single incision.
479.777,481.218,There is no reason not to do this.
481.819,486.844,"We can do one of the most difficult lobectomies in thoracic surgery, which is left upper lobectomy."
486.824,496.278,"And we all know who do this kind of work, that there is always one more branch of pulmonary artery to the left upper lobe than you think."
496.298,499.282,And this has been proven and proven and proven over again.
499.743,506.352,"And yet, nevertheless, we can identify those branches, we can safely mobilize them, and we can divide them"
506.332,512.787,one by one without compromising patients' well-being and without compromising surgical techniques.
512.807,514.551,Everything is compromised on the other word.
514.831,515.854,There is no control.
515.874,516.976,There is no proximal.
516.996,517.838,There is no distal.
518.099,519.482,I cannot get my hands in there.
519.883,524.273,The only thing I can do is put a sponge stick if I enlarge my incision.
524.253,525.315,But this is not the goal.
525.375,534.488,"The goal is to do this operation in sound, anatomic way, which preserves all the oncological principles under the circumstances."
534.988,543.721,"The branches of the pulmonary artery are easily torn, and we all know it's much more difficult to sew PA than to sew vein of the artery."
544.142,546.164,"And nevertheless, it allows us to do this work."
546.525,552.133,"It allows us to do this in very anatomic fashion, and actually not to have"
552.113,556.337,CPKs of the surgeon to skyrocket after this operation.
556.917,564.444,The operation is actually teachable because we have a fellowship program and the graduates are now equipped with this skill.
564.904,570.85,"Not necessarily used it in their own practice, but nevertheless, they are much better equipped."
570.87,581.479,"We take the lymph nodes, we dissect them from the AP window, we dissect them from the main pulmonary artery, we removed the specimen from the chest,"
581.459,588.625,"plays the chest tube, lung re-inspirants, and this is all the trauma which was given to this patient."
588.645,597.754,"We don't do just lobectomies, we can do some fancy stuff, and this is a little more intelligent intervention where we are doing anatomical segmentectomies."
598.414,606.642,And the gurus of thoracic surgery really could do this during thoracotomy with no air leaks postoperatively.
606.662,611.466,"They did not have the staplers, they did not have electrocautery, and yet they could do it."
611.446,627.51,"I certainly am not a guru, but nevertheless, it allows us to do this in sound anatomic way and follow the borders of the pulmonary segments, which it helps to know where they are, and anatomically separately divide the vessels."
627.79,629.493,This is not a big wedge resection.
629.934,636.964,"This is a division of the pulmonary artery branch to the superior segment, in this case of the left lower lobe,"
636.944,647.76,"This is identification, dissection, and division of the pulmonary vein to the superior segment, and obviously the bronchus is taken down separately."
648.22,657.754,This allows to remove the segment again in a very anatomic fashion in somebody who was not a good candidate for long resection to begin with.
657.734,665.295,"His FEU1 was just over 1 liter, and he would probably not tolerate a lower lobectomy under the circumstances."
665.817,666.799,The lesion came out.
667.281,669.126,It was tolerated well.
669.527,672.756,"He went home the following day, which is not uncommon."
676.723,685.358,"It's not uncommon for us to take the chest tubes out in recovery room and allow patients to go home the same day, especially if the intervention was smaller."
685.378,693.613,And I'm talking about wedge resections of open lung biopsy patients and so on and so forth.
705.653,709.279,And there is no major bleeding.
710.04,715.99,Now we have experience of over 400 lobectomies with no conversion to the open catheter.
715.97,718.596,technique because of the bleeding or complications.
718.937,724.649,And every case which was planned as a uniportal VATS was completed as a uniportal VATS.
724.99,735.413,This is how the specimen is taken out of the chest and this is why I have to record it and show to my colleagues because a lot of my friends don't believe me that this is done.
735.393,743.064,"This is a lingual sparing left upper lobectomy, also somewhat challenging and yet very intelligent way to do lung surgery."
743.465,750.535,I understand that I'm preaching to a choir and there is a lot of people here who would like to convert into thoracic surgeons.
750.575,751.817,You're obviously more than welcome.
752.257,753.72,But this is something which we do.
753.74,754.421,We do it for a living.
754.941,765.096,"I do it in conjunction with my cardiac colleagues, especially when it's a sternotomy and I need to get to the right lower lobe, which is next to impossible to do through the same incision."
765.076,774.252,"This is something which we practice when my friend Dr. Grever wants to do his minimally invasive valve, and there is frozen chest."
774.812,781.043,"There is multiple adhesions, and there is very minimal access to the superior pulmonary veins,"
781.023,786.591,"pericardium, especially to the placement of the vents, clamps, and so on."
786.972,793.2,But we have to perform full lung pneumolysis just to be able to expose the pericardium.
793.541,800.15,"This is done through a single incision, which later will allow for the placement of the chest tubes."
800.711,805.478,And this is all doable and approachable.
805.458,810.228,"Heparin doesn't scare us anymore, so we don't get scared by Plavix."
810.609,818.125,"We operate on patients after cardiac stents who are actively on Plavix, and I insist on not stopping them."
818.145,825.981,"We can deal with this bleeding, we can pack it, we have other agents, but this is how the surgery is performed."
825.961,832.809,"The only thing which we use which is disposable are the staplers, which are used in any other open thoracotomy as well."
833.329,841.859,"And this is something which allows us to do this in a very anatomic fashion, allows us to preserve pulmonary parenchyma when we don't do, when we don't need to report it."
842.6,854.753,at Cornell is running a prospective randomized study now if segmentectomy is equivalent to a lobectomy in the management of patients with lung cancer.
854.733,855.994,We can remove the lymph nodes.
856.014,866.444,"We can appropriately stage the patients so they can receive adjuvant chemotherapy, which they can receive much faster after this kind of operation versus that being a thoracotomy."
866.764,871.068,"And in my book, one incision hurts less than four, three, or two."
871.488,881.537,"The lymph nodes are removed, but they'll use cautery in the area of recurrent laryngeal nerve, lung re-expense, and this is the lingula, and its operation is completed."
882.458,884.74,The lingulas
884.72,889.188,"with the preservation of the remainder of the lobe done, done through the same incision."
889.769,892.134,"We don't operate just on the left side of the chest, so you know."
892.174,901.311,"We do go on the right side, and on the right side, we also are stuck with the malignancies, and this is one of those cases where we have to do the full scope of the procedure."
901.291,903.655,And that involves the lobectomy.
904.015,905.738,"In this case, it's right upper lobectomy."
906.199,907.601,The blood vessels are identified.
907.641,911.027,They are mobilized and divided again using the same staplers.
911.828,914.793,The pulmonary artery branches are taken separately.
915.494,917.798,The most
917.778,923.164,"challenging, probably, part of this operation is dealing with the superior pulmonary vein."
923.184,929.27,"Because of the angles to approach that structure, it becomes a little more difficult."
929.29,941.943,"And often, I would divide the pulmonary artery, and then divide the bronchus, and then go to the pulmonary vein, because it's easier to rotate the lung, and that allows us for a better angle to approach this."
942.584,946.688,"The surgical bleeding, when it happens, is controlled surgically."
946.668,955.216,"And especially in this case, when we divide the bronchus like we normally do, and then there is a little hemorrhagic phenomenon."
955.236,956.077,It's nothing crazy.
956.137,957.379,This is not a ruptured aorta.
957.739,959.341,"But nevertheless, it's pumping."
959.801,960.902,And it's pumping quite well.
960.982,962.003,So we can't leave it alone.
962.343,964.406,"And therefore, regular cautery controls it."
964.766,966.588,We don't need to go crazy.
966.828,967.729,We don't need to open.
968.029,976.017,We can control most of these bleedings in the same manner as we would do in any other operation.
976.402,993.746,"continue the dissection, the recurrent posterior branch to the upper lobe, which often gets injured, is identified, preserved, until we're ready to divide it, so there is no torque, no tension, and major and minor fissures are developed in a very anatomic manner."
994.267,1002.679,"This pulmonary artery branch is divided, and then we will proceed with the dissection of the mediastinal lymph nodes."
1002.794,1013.932,"In a thoracic world, unfortunately, and this is STS data, only 30% of lobectomies are done with appropriate mediastinal lymph node dissection."
1013.972,1015.555,You can see the trachea there.
1015.996,1022.266,"You can see the subcarinal space with the esophagus and the airways, and all this is performed through this single incision."
