start,end,text
14.847,19.187,Welcome to this video on uniportal robotics surgery.
19.437,48.111,right now at the outset I just want to let you know this is not a how to do it video this is a investigative video where we're trying this out for the first time I really believe that we all need to share our experience in all novel procedures and this is no exception I think there's going to be a huge amount of interest in uniportal robotic surgery but we've all got to learn together so please do share your experiences with videos let's learn it off each other let's not make
48.496,77.625,the same mistakes and let's make it work so you've already seen that initially I did a five centimeter incision in the very usual uniportal position fifth space I marked it out as five centimeters and then I I really like co2 for my robotic operations so I really wanted to have a go with the gel port and put co2 in the chest as you'll see a bit later this didn't work out quite so well so I did take this away right now going to dock the robots
77.858,81.527,It was a very straightforward docking procedure with the X-eye.
81.888,88.505,I'm sure with an X you could also come from behind the patient but obviously the advantage of the X-eye you can go in any direction.
88.545,91.513,I thought we should face
91.713,119.627,this direction at about 45 degrees we've been to 90 degrees to the vertical so I'm putting the robotic ports through the gel port because I did want to maintain a co2 seal initially and then I'm first docking the camera port camera port was really number two and I was just going to use one and three and not have any arm for it was draped but I wasn't going to use it
120.029,126.523,"So I thought a key part was to get this camera portal right at the back of the uniportal incision, just as you do for uniportal vats."
127.845,132.355,I then put the two arms below the camera.
132.375,136.283,"I think in our next iteration, we're going to try and have the camera in between"
136.263,165.865,the two instruments just to separate them more but we went camera then instrument then instruments I then put the camera in one of the free ports just to try and get the remote center perfect I think this is going to end up quite important for uniportal robotics getting the remote center right at the apex of that single incision I did spend a little bit of time getting this right looking through the other ports at the camera port
166.773,179.728,"Then in terms of docking and remote centering, I kind of thought that this was about the right angle for the robot, about 45 to 80 degrees from the vertical."
180.249,184.755,"You may have some different ideas, but it worked pretty well for us, as you'll see."
185.215,193.225,So you can see we're right on the fissure and we were just seeing how much movement we could get to the top and the bottom.
194.046,195.227,"And then initially,"
195.663,222.598,I remote centered but it was maybe a little bit too high I thought the boom was swinging a bit too high to the top so I brought the camera a little bit lower so that the boom would swing round a little bit more it is good to remote center just so it can get the distances and the heights of the arms correct for you
226.578,253.108,there we go that's about 45 degrees from the vertical I think and then just having a look to see if you can see all the way from the top all the way to the bottom I was very impressed with this and then all the way to the front there's the there's the mammary artery in fact and the anterior hilum so I was quite impressed with the view we were getting we were right on the fissure which was nice so that looked great to me so we docked up the other arms and
253.645,283.028,and ready for instrument approach I put a fourth port initially into the gel port so I could have an assistant port so now looking through the other ports I wanted to make sure that each remote center was at the correct height right at where the ribs are and you can see the ribs very easily here so I thought that was quite a good idea and then we've got an assistant port already put in so now I can see all three intuitive ports
283.261,291.837,lined up there's all three lined up and i just thought it's quite important to get these remote centers all lined up next to each other that was my initial thought
292.357,295.681,Further thoughts are that we could maybe separate them with a bit more distance.
296.521,302.948,"Of note, I did absolutely the biggest uniportal incision I thought I could justify just to give us the most amount of space."
303.509,306.652,And I think I could very safely reduce this in size in the future.
307.253,310.977,Now just trying the arm movement to see how they look.
310.997,312.959,See what the clashing might be or not.
313.059,316.563,And they did seem to move fairly well there next to each other.
316.583,321.148,I didn't seem to think that they were going to interfere too much with each other.
321.787,345.617,and then just having a little look for the camera port looks fairly nice to me there really a little bunch of three just at the far posterior end of the incision so now we're going to just insert the instruments just for just for the start I thought I'd have two Maryland style instruments one Maryland one
