start,end,text
2.14,19.789,이번에는 마지막 동영상이 될 거예요.
19.809,19.949,응용편이에요.
19.969,21.752,지금까지 이걸 어떻게 사용하고 이건 어떤 때 쓰고 이런 걸 설명했는데 옛날 그런 걸 머릿속에 갖고 있어봤자 진짜 어떻게 쓸 줄을 모르면 응용을 하면 안 되겠죠.
21.732,44.296,이게 하일라 다이섹션 하는 거 지금까지 말씀드렸던 기구 3개 있죠?
44.316,45.658,요거 요거 요거 요 3개 그리고 필요함에 따라서 다른 추가 기구를 이용해서 하일라 다이섹션 하는 거를 이제 보여드릴게요.
45.678,46.459,이제 하일라 롱 캔서 이 환자분은 라이터 포로브 롱 캔서 환자분이에요.
46.479,46.559,어딨죠?
46.579,47.74,요기 쪽에 여기 롱 캔서가 있고 이제 티슈 다이아몬드 쓰시면 되는 분이어서 로벡토미 하면 되는 분이세요.
47.72,66.456,런캔서 하이라이트 아이섹션은 키는 림프노드 아이섹션이죠.
66.476,66.957,뱃을 짜르고 이런 거는 사실은 심플하거든요.
66.977,68.52,비나인 수술 로벡톰 해보면 알겠지만 너무 심플하기 때문에 간단한 거고 런캔서 하이라이트는 항상 림프노드를 깨끗하게 떼내는 게 하이라이트다.
68.54,68.8,그렇게 생각하시면 돼요.
68.78,88.898,그래서 포스 바이플러를 이렇게 들어서 할 때도 있고 필요에 따라서 이렇게 할 때도 있고 자기가 시야를 보면서 조정을 해서 하면 되는데 지금은 얘를 뗄거에요 11번 인터로벌링 모드에서 얘를 떼려면 얘를 약간 이렇게 하는게 보기가 좀 좋죠
88.878,110.509,그렇고 메릴랜드를 갖고 잡는데 보통은 저는 이렇게 림프 노드를 보면은 여기 파이브 티슈 이렇게 컨렉션 된 티슈들이 있잖아요.
110.529,110.829,이런 데 잡는 걸 좋아해요.
110.849,111.21,이렇게 얘를 잡으면 찢어지거든요.
111.23,111.51,찢어지면 별로 안 좋아요.
111.53,112.251,이때는 이거를 잡고 고비로 이렇게 살살살살 벗겨내는 거 좋아해요.
112.271,112.372,벗겨내기.
112.392,112.692,그리고 약간 벌리고 벗겨내고
112.672,130.398,그러면 임파틱스로 간 베슬들이 이렇게 커넥션 되는게 보여요.
130.418,131.299,얘네들을 살살 컨트롤해주고 다시 벗기고 이런식으로 떼어내는 것을 저는 선호해요.
