start,end,text
11.458,22.502,"Hello, I am Carl Lowe Jr. of Carolina Surgical and I'm going to walk you through a live laparoscopic gallbladder surgery. Let's get started."
23.002,33.105,"The surgeon makes an incision at the umbilicus and inserts a trocar, followed by placing a laparoscopic camera through the trocar to visualize the abdominal cavity."
33.605,42.45,"After inserting the camera through the umbilical trocar, the surgeon inflates the abdomen with carbon dioxide, creating pneumoperitoneum. The skin is then numbed in preparation for making three additional incisions."
42.95,59.957,"The surgeon inserts the third and fourth trocars through the abdominal wall, completing the placement of all trocars necessary for the laparoscopic cholecystectomy."
60.457,68.222,"Multiple trocars are visible inserted through the abdominal wall, providing access for surgical instruments to be placed in and out of the abdomen during the laparoscopic cholecystectomy."
68.722,77.105,"The surgeon grasps the gallbladder and retracts it upward, revealing gallstones floating inside the gallbladder."
77.605,101.045,"The surgeon gently teases away the surrounding fat near the cystic duct, gradually revealing the duct that connects the gallbladder to the common bile duct."
101.545,119.311,"The surgeon carefully identifies the cystic duct as it connects to the gallbladder, ensuring it is not mistaken for other anatomical structures during the procedure."
119.811,136.522,"The surgeon identifies the pulsatile cystic artery behind the cystic duct, which supplies blood to the gallbladder, as it comes into view."
137.022,155.364,"The surgeon applies clips to the clearly identified cystic artery and cystic duct, preparing to divide these structures without causing bleeding or bile leakage."
155.864,167.589,"The surgeon divides the cystic duct and cystic artery after applying clips to these structures, ensuring no bleeding or bile leakage occurs during the cholecystectomy procedure."
168.089,203.642,"The surgeon uses an electric cautery device to dissect the gallbladder from the liver, with visible smoke generated by the device as it cauterizes bleeding points during the dissection."
204.142,230.329,"The surgeon continues to dissect the gallbladder from the liver using an electrocautery device, progressively freeing the gallbladder from the liver bed until it is completely detached."
230.829,244.856,The surgeon places the detached gallbladder into a retrieval bag for removal from the body after successfully separating it from the liver.
245.356,270.8,"The surgeon inspects the area under the liver, confirming that the cystic duct and cystic artery are securely clipped with no leakage or bleeding. The liver is also checked for any signs of bleeding."
271.3,295.453,The surgeon grasps the string attached to the retrieval bag containing the gallbladder and pulls it out through the upper incision.
295.953,320.245,"The surgeon cuts open the gallbladder, revealing golden-colored stones inside. One stone is approximately one centimeter in size, visible within the opened gallbladder."
320.745,324.13,"Well, I hope you enjoyed the surgery. Thank you."
