start,end,text
41.975,68.068,"The surgeon performs gentle adhesiolysis to carefully liberate the loop of small bowel from adhesions, minimizing traction to avoid serosal damage. Various instruments, such as a cold knife or laparoscopic shearer, may be used for precise dissection."
68.568,105.724,"The surgeon carefully dissects the rectus sheath adjacent to the adherent loop of bowel, creating free margins to liberate the bowel. Blunt dissection is used to gently separate adhesions between loops of bowel."
106.224,143.788,"The surgeon uses a cold knife to carefully separate adhesions between loops of the bowel, minimizing separation between the bowel and ensuring liberation of the bowel loops."
144.288,208.048,"The surgeon uses scissors to perform both blunt and sharp dissection to separate the adherent bowel, focusing on the adhesions at the mesentery level."
208.548,247.252,The surgeon uses a laparoscopic shearer to apply traction while scissors perform cold dissection to gently separate the bowel infiltrated inside the rectus sheath due to a previous burst abdomen. The aim is to separate the entire loop of the intestine without causing serosal damage.
309.511,382.673,"The surgeon carefully creates windows through the loops of bowel to facilitate further dissection, navigating the spaces with a 30-degree camera system to maintain clear visualization and prevent bleeding due to neovascularization in the fibrotic plane."
383.173,449.603,"The surgeon releases adhesions between the loops of bowel using a cold knife, with the laparoscopic shearer providing traction. The bowel loop is observed to be rotated along the mesentery and adherent to the anterior abdominal wall. The mesentery serves as a guide for dissection in the correct plane."
450.103,527.012,"The surgeon uses the laparoscopic shearer for traction and a cold knife for dissection, demonstrating gentle hand movements to separate bowel loops from the rectus sheath. The scissors are utilized for various types of dissection, maintaining a bloodless field by staying within the correct plane. Some rectus sheath is left attached to the bowel loops to preserve serosal integrity."
527.512,608.097,"The surgeon dissects a 0.5 cm margin of the rectus sheath, carefully liberating it from the anterior abdominal wall using cold dissection techniques."
608.597,695.08,"The assistant adjusts the camera to face the anterior abdominal wall, aiding in the reverse-direction adhesiolysis. The surgeon uses a shearer for blunt dissection to gently separate a large adherent section of bowel from the anterior abdominal wall."
695.58,767.37,"The surgeon carefully dissects below the anterior abdominal wall, revealing the bladder adhered to the bowel. The dissection is performed closer to the bowel to preserve the surrounding fat, which is visually identifiable as belonging to either the bladder or the large intestine."
767.87,884.068,"The surgeon encounters a firm adhesion of the loop of ileum to the anterior abdominal wall. The camera is tilted to enhance visualization. The laparoscopic shearer is used to perform quick dissection in this fibrotic plane, preserving the serosal aspect of the ileum while sacrificing part of the sheath. The loop of bowel is seen slightly above the sheath as the shearer separates it."
944.723,1005.236,"The surgeon liberates a section of the anterior abdominal wall from the loop of ileum. The uterus remains obscured, but part of the ovary is visible along the right lateral pelvic wall. Dissection continues to separate the right colon, including the cecum and appendix, from adhesions. The appendix is not yet visible, but the bladder is seen adherent to the bowel, covering the uterus, with its peritoneum lost due to previous maneuvers."
1005.736,1045.818,The surgeon identifies the uterine fundus and uses the ovary as a reference point. Further dissection is performed to separate the colon from the loops of ileum using blunt traction. The ileocecal junction and appendix are identified as important landmarks during the procedure.
1046.318,1086.455,"The surgeon continues the dissection, revealing the under aspect of the sigmoid mesentery, which shows signs of previous tampering and adhesion formation. The dissection progresses to identify the appendix, which appears to be entering the pelvis and may be adhered to the ovary or uterus due to dense endometriosis."
1086.955,1137.098,"The surgeon uses the Bissinger bipolar to provide gentle traction while the shearer performs sharp dissection. The appendix is now visible as it enters the pelvis, and the ileocecal junction is identified as adherent to the ovary. The uterus remains obscured, with plans to demonstrate its identification and subsequent hysterectomy in the next part of the video."
