start,end,text
68.718,71.787,"With the collapsed lung, the first rib is recognized."
96.067,101.385,Parietal pleura is open with electrocautery in the entire length of the rib.
142.591,148.68,Dissection with ligra in the sapirosteal space to avoid damaging vascular nervous structures.
149.361,163.262,Dissection extends from the contrasternal side to the costotransverse joint along the edges of the rib.
163.282,165.065,Street control of hemostasis.
165.826,167.829,Then we start with the most previous part.
168.41,171.535,Section with the small gouge of the costal cartilage.
183.243,193.032,"Once the rib of the anterior part is released, the ligra is used again to separate the bone from the musculoskeletal structures, which fix it at the level of the operculum."
203.281,207.745,"Within these structures are the scalene muscles, always close to the rib."
208.226,210.988,"The rib is increasingly separated downward,"
225.633,228.445,visualizing the vascular elements and the plexus.
229.108,235.896,"Blunt dissection and section of remaining ligaments carefully, either with electrocautery or other energy."
266.369,271.801,It is important that this maneuver reaches backward past the posterior limit of the brachial plexus.
272.683,280.581,"Once we recognize this limit near the costotransverse joint, we proceed to disarticulate or cut the rib with costotome."
293.133,300.508,"It is extracted and the anatomy of the thoracic outlet is checked with the vein, artery and nerves already released."
301.39,305.218,Plural drainage is left which is removed at 24 hours.
