start,end,text
142.344,149.536,"The transanal port is shown, containing three ports for robotic arms and an additional air seal port for the bedside assistant."
150.036,154.904,"The surgeon inserts the gel point path port following the placement of anally verting sutures, preparing the surgical site for robotic-assisted colorectal surgery."
155.404,157.889,"The surgeon inserts the camera through the transanal port, revealing the lesion positioned at the six o'clock position within the colorectal region."
158.389,161.872,"The surgeon inserts the appropriate instruments into the operative field through the transanal port, utilizing the robotic arms for precise manipulation."
162.372,167.115,"The video shows the tattoo marks placed distal to the lesion by the gastroenterology service, visible on the intestinal tissue."
167.615,172.419,"The surgeon uses monopolar scissors to demarcate the initial margins of resection around the identified lesion, visible within the transanal port setup."
172.919,175.841,"The surgeon utilizes a resection margin of five millimeters around the identified lesion, ensuring precise removal of the affected tissue."
176.341,179.743,"The surgeon begins the resection of the identified lesion, progressing from the caudad (tail) end towards the cephalad (head) direction within the operative field."
180.243,184.052,"The surgeon uses monopolar scissors to mark the lateral resection margins, following the same steps as previously shown for the initial margins."
184.552,190.478,"The surgeon uses graspers to apply counter-traction, exposing the tissue plane and ensuring dissection occurs within the correct anatomical layer."
190.978,196.404,"The surgeon performs a full thickness excision, carefully maintaining hemostasis throughout the procedure."
196.904,205.641,"The operative field is shown in a picture-in-picture view, with the assisting surgeon positioned at the foot of the operating table, providing assistance through the air seal port."
206.141,211.685,"After excising the polyp, the surgeon places it in the proximal rectum and proceeds to repair the defect in the tissue."
212.185,214.967,"The surgeon evaluates the defect created by the excision, deciding whether to leave it open or suture it closed, with visible options for closure or leaving the tissue exposed."
215.467,219.59,"The surgeon withdraws the monopolar scissors and introduces a robotic needle holder into the operative field, preparing for suturing or repair of the defect."
220.09,224.191,"The surgeon thoroughly washes all remaining instruments in preparation for wound closure, ensuring cleanliness and readiness for the final surgical step."
224.691,230.074,"The assistant inserts a V-lock suture into the operative field, which is mounted on the robotic needle holder by the operating surgeon."
230.574,239.419,"The surgeon places a V-lock suture at the proximal apex of the defect, running the needle through a loop at the end of the suture thread to secure it."
239.919,242.18,"The surgeon secures the resulting knot snugly using the robotic needle holder, completing the suture closure of the defect."
242.68,246.323,"The surgeon repairs the remainder of the defect using a continuous suturing technique, employing a robotic needle holder to guide the suture through the tissue."
265.107,273.271,"The surgeon assesses the bowel lumen following primary repair, checking for any signs of stenosis and confirming that the lumen remains patent despite the large defect."
273.771,278.253,The assistant cuts the suture to an appropriate length and removes the suture needle from the surgical field.
278.753,283.635,"After repairing the defect, the surgeon retrieves the specimen and brings it to the transanal port for extraction."
284.135,291.691,"The assistant uses an atraumatic grasper to retrieve and extract the specimen from the surgical field, preparing it for fresh histopathological analysis."
292.191,298.133,"The surgeon removes the robotic instruments and transanal ports under direct vision, ensuring hemostasis in the surgical area."
