start,end,text
1.111,9.016,"Hello, I'm sharing a ETEP-Revstopa for a large infra-umbilical hernia."
9.176,20.743,"This was a patient who had a hand-assisted sigmoid colectomy by another surgeon for diverticulitis and less than a year later, she had a very large symptomatic hernia."
20.763,31.032,I chose to do ETEP because the hernia was completely reducible and I wasn't concerned for any adhesions of bowel up into the hernia.
31.532,36.977,"The surgeon begins blunt dissection on the left side to develop the majority of the surgical space, using a camera for visualization."
37.477,50.568,"The surgeon inserts additional ports, guided by ultrasound markings of the semilunar lines, positioning the trocar to enter medially to the semilunar line for optimal lateral access."
51.068,55.332,"The surgeon performs additional dissection towards the space of Retzius, expanding the surgical field for the hernia repair."
55.832,65.67,"The surgeon inserts a port into the left lower quadrant, preparing for further surgical access in the hernia repair procedure."
66.17,94.583,The surgeon has docked the robot on the left side and is cleaning the medial aspect of the linea alba and the medial aspect of the left retrorectus space.
95.083,109.997,"In all of these cases, I always intend on just doing three unilateral ports, but depending on how the dissection goes and the angles, sometimes I will add an additional contralateral port, and you'll see in this case that's what I ended up doing."
110.497,131.317,"The surgeon initiates a crossover dissection above the falciform ligament, ensuring the area remains intact following the previous colectomy."
131.817,144.94,"The surgeon uses cold scissor dissection on the left-sided posterior sheath, focusing on the area where it inserts into the linea alba, to improve visibility."
145.44,167.703,"The surgeon inadvertently creates several holes in the tissue while maneuvering at a challenging angle, with additional holes visible as the procedure continues."
168.203,190.017,"The surgeon begins to create additional space by entering the right retrorectus space, preparing to expand the surgical field."
190.517,198.746,The surgeon enters the right retroactive space and considers placing a trocar in the right upper quadrant to facilitate an upper docking approach.
199.246,203.751,With the two upper quadrants and then the left middle quadrant port.
204.251,210.016,"The surgeon approaches the hernia located below the umbilicus, preparing to dissect around the hernia site."
210.516,219.422,The surgeon creates additional space in the right retroactive area to accommodate the insertion of a trocar.
219.922,235.609,I really wanted to avoid making as many holes as I possibly could in the posterior elements because I was not planning on doing it hard in this case for this patient.
236.109,252.48,The surgeon assesses the space near the right costal margin to determine if there is sufficient room to place a nitro car.
252.98,256.902,The surgeon positions the trocar in the surgical field and prepares to switch to an upper dock for further access.
257.402,266.647,"I find that these angles are really, really nice to just be able to dissect with a very good view looking straight down."
267.147,280.827,It did lead me to need to re-dock one more time when I was closing the anterior sheath just because I couldn't do it from this position with the upper portion of the closure.
281.327,286.592,"But for this part of the resection, the view and the angles were just perfect."
287.092,295.761,The surgeon inspects the surgical area to ensure there is no bowel present within the field.
296.261,306.713,"The surgeon carefully dissects around the hernia defect, aiming to preserve the posterior peritoneum to avoid performing a transversus abdominis release (TAR)."
307.213,312.538,The hernia defect is visually measured to be approximately nine centimeters wide and seven centimeters long.
313.038,319.523,But she had a very compliant abdominal wall because she had lost a bunch of weight in between the colectomy and now.
320.023,328.25,And that's why I selected to do a reef stopa.
328.75,356.447,"But as you know, if you end up making too many holes or a very large posterior defect that doesn't come together without tension, Often a unilateral tar or bilateral is necessary to take the tension off in order to get it closed."
356.947,365.677,"The surgeon points out the umbilicus, with the hernia defect visible below it."
366.177,377.78,The surgeon carefully manipulates the tissue to preserve as much of the peritoneum as possible during the hernia repair.
377.84,385.563,"Initially it was going okay, but as often as the case, eventually it just gets so thin you can't save it at all."
386.063,395.169,"The surgeon transects the peritoneum at the site of the hernia defect, preparing to assess the type of closure achievable at the end of the procedure."
395.189,423.531,"The surgeon reveals the incarcerated omentum within the hernia defect, showing the omentum trapped and unable to move freely."
424.031,428.622,"The camera view focuses on the interior of the hernia defect, revealing the surrounding tissue structures."
429.122,488.8,"The surgeon attempts to remove all of the incarcerated omentum from the hernia defect, focusing on clearing dead fat tissue from the area."
489.3,492.503,"The surgeon has removed the omentum, revealing the hernia defect clearly visible in the surgical field."
493.003,512.86,"The surgeon continues to dissect around the posterior sheath, focusing on the area surrounding the hernia defect."
513.36,526.651,The surgeon carefully preserves the peritoneum as it is gently separated and comes down easily from the hernia defect area.
527.151,565.049,"The surgeon navigates across the midline within the preperitoneal space, taking care to avoid injuring the linea alba."
565.549,595.194,"The surgeon approaches the junction of two retroactive spaces, with the right-sided epigastric vessels visible. The posterior sheath is being taken down to further expose the surgical area."
595.694,616.105,"The surgeon navigates to the level beneath the arcuate line, joining the space of Retzius on one side and then on the other, with visible anatomical landmarks guiding the dissection."
616.605,655.583,"The surgeon exposes the pubic tubercle, which becomes visible as the dissection progresses in the mid-hypogastric region."
656.083,666.53,"The surgeon examines the hernia defect and begins closing the anterior sheath, aiming to reduce tension on the posterior sheath for subsequent closure."
666.77,672.815,I have the insufflation reduced to eight for this part. I'm still in my upper dock.
673.315,703.448,"The surgeon uses an 18-inch zero V-lock absorbable suture to plicate the hernia pseudosac, aiming to reduce the dead space and minimize the risk of seroma formation."
703.948,740.424,"The surgeon uses an 18-inch suture to close a large hernia defect, taking multiple throws and cinching tight to reduce redundancy in the suture line."
740.924,764.025,"The surgeon begins placing a second suture from a more cephalad position, targeting the upper midline diastasis. The suture is placed at an angle that provides optimal access from the upper docking position."
764.525,786.84,"The surgeon shifts to a left-sided dock to continue closing the anterior sheath of the hernia defect, ensuring proper alignment and tension relief for the subsequent closure of the posterior sheath."
787.34,819.628,"The surgeon ties two sutures together to close the hernia defect with minimal tension, then runs the superior suture inferiorly to secure the closure."
820.128,833.705,"The surgeon returns to the left-sided docking position and proceeds to close the posterior sheath, manipulating the tissue to achieve closure."
834.126,854.847,"The surgeon bisects the heart-shaped defect, visually dividing it into two sections."
855.347,869.291,"This part was a little bit annoying because I was so close to the camera that the instruments were having a little bit of a hard time with some collisions, but with a little bit of patience I was able to get it done."
869.791,884.138,"The surgeon closes the remaining limb of the posterior defect, ensuring the closure is achieved without excessive tension on the tissue."
884.638,915.755,"The surgeon proceeds to close the diastasis in the upper midline, focusing on the left side of the surgical field."
916.255,929.701,"The surgeon runs a suture down to the point where two previous sutures meet, tying them together to close the defect."
930.201,940.425,The surgeon undocks the robotic instruments and transitions to a laparoscopic approach to measure the defect and the dissected space at the end of the hernia repair procedure.
940.925,976.321,"The surgeon cuts a piece of heavyweight mesh measuring approximately 30 by 17 cm, rounding the corners for placement. The mesh is positioned superior to inferior and laterally within the surgical field, chosen due to the patient's large size despite recent weight loss."
976.821,989.412,I did not leave a drain in this case and this was a same day discharge.
989.912,1011.604,"It really does amaze me how well these patients do with minimal discomfort, no narcotics. I do advise them to wear an abdominal binder, but they tend to do really, really nicely. And that was the case in this patient."
1012.104,1017.435,I will desufflate. And that's the case. I hope you enjoyed.
