start,end,text
0.907,87.823,The surgeon applies medial traction to the fundus while using a harmonic scalpel to separate the omentum and clear the short gastric vessels. The hiatus hernia is visible in the left upper corner of the surgical field. The left crus and adjacent peritoneum are being carefully dissected.
88.323,147.645,"The spleen is clearly visible. The surgeon has dissected the pars flaccida, revealing the caudate lobe of the liver. A fan retractor is used to maintain exposure, as Nathanson's retractor was ineffective. The right crus is also visible in the surgical field."
148.145,208.496,"The surgeon continues dissection near the right and left crura, using a harmonic device in the right hand for better control. The peritoneum over the right crus is being carefully dissected, while the anterior vagus nerve is visible embedded in the esophagus. Controlled entrolateral and entromedial traction is applied to the fundus to facilitate the dissection."
208.996,278.11,"The surgeon performs posterior mobilization of the esophagus, creating a window while ensuring the vagus nerve remains close to the esophagus. The hernia sac is visible and enters the posterior mediastinum when the stomach is released."
278.61,369.842,"A window is created in the surgical field, allowing the grasper to be maneuvered from the right to the left side without entering the mediastinum or damaging the left crust. The posterior mediastinum is further mobilized, and the posterior mobilization of the esophagus is visible. A clear space is created through which the stomach can be extracted for fundoplication."
370.342,427.843,"The surgeon carefully manipulates the anterior wall of the fundus of the stomach, ensuring it is not pulled excessively. The fundus is moved from the left side to the right side, demonstrating the 'shoe shine effect' which indicates a successful fundoplication. The floppy fundus is visible, reducing the risk of dysphagia associated with a tight wrap."
428.343,487.868,"The surgeon performs crural approximation, creating anterior and posterior buttocks of the stomach for traction over the esophagus. A bite is taken and sutured, ensuring a space of five to eight millimeters between the esophagus and the suture."
506.522,530.707,"The surgeon begins suturing using a surgeon's knot technique. The needle is carefully handled to avoid overshooting or piercing unintended areas. The needle is dropped, and the suture is tightened manually to secure the knot."
531.207,623.867,"The surgeon performs crural approximation using an athi bond number one non-absorbable suture. The technique involves ligating the second and third knots, with the option to use a tumble square knot for cases with a large hiatus hernia and muscle tension."
624.367,691.756,"The surgeon performs the final step of the procedure by suturing the stomach to itself in a wrap formation. Initially, only the stomach is sutured, avoiding the esophagus. In subsequent sutures, the esophagus is sandwiched between two layers of the stomach, ensuring only the muscular layer is pierced to prevent perforation."
692.256,730.693,"The surgeon ties a surgeon's knot using a two-one-one technique, starting with a double wrap followed by two alternating wraps, securing the suture in place."
731.193,843.189,"The surgeon ties the second knot, incorporating the muscular layer of the esophagus, ensuring it is sandwiched between two layers of the stomach without penetrating deeper tissue."
843.689,967.168,"The surgeon applies the second and third knots to secure the last suture, creating a wrap posteriorly with a floppy fundus visible. The suture length is small, but precise, choreographed movements are used to tie the surgeon's knot effectively."
