start,end,text
74.193,85.535,"Upon entering the abdominal cavity, the surgeon observes a dilated stomach and duodenum, along with a high-riding cecum located in the right upper quadrant."
86.035,97.311,"The surgeon lyses adhesions between the right colon and the lateral abdominal wall using a combination of countertraction and thermal energy, visibly separating the adhered tissues."
97.811,108.82,"The surgeon reflects the colon medially to expose the duodenum and pylorus, revealing their anatomical positions within the abdominal cavity."
109.32,135.114,"The surgeon mobilizes the duodenum and performs a partial Kocher maneuver. The duodenum is observed to be positioned on the right side of the abdominal cavity, lacking its normal C-shape."
135.614,144.224,"The surgeon uses sharp dissection and a harmonic scalpel to lyse adhesions between the colon and duodenum, carefully separating these structures."
144.724,185.86,"Ladd bands are visible in the right upper quadrant, adhering the base of the cecum to the abdominal wall."
186.36,199.305,"The surgeon runs the small bowel distally, systematically freeing adhesions encountered along its length using surgical instruments."
199.805,230.86,"The surgeon encounters a thick fibrous band between the small bowel and mesentery, which is carefully dissected using sharp instruments."
231.36,259.182,"The surgeon identifies a thick fibrous band as the culprit adhesion causing obstruction. After performing adhesiolysis, the duodenum and jejunum are visibly unobstructed, allowing the mesentery to broaden."
259.682,305.849,"The surgeon performs an appendectomy, ligating the mesoappendix with a harmonic scalpel. The appendix is removed using two endo loops, and the appendiceal stump is cauterized and secured with a PDS suture."
306.349,332.211,The surgeon places the cecum in the left lower quadrant of the abdominal cavity while ensuring the duodenum remains positioned on the right side.
