start,end,text
21.732,30.949,"A small nick incision was given in the mediastinal purula from the edge of azygous vein, which allow the pneumo to enter and dissect itself."
31.631,36.72,We continue our dissection till the diaphragmatic purula just along the thoracic aorta.
59.971,66.139,Now we turn along the arch of aegis to incise the mediastinal pleura on the medial aspect.
84.363,88.408,We can see a avascular angels here like fascia.
91.358,95.967,We can see an avascular angels here like facial projection.
96.909,99.173,We follow the principle of mesoisophagus.
99.814,109.553,We can see here glistening white angels here like digitization of mesoisophageal fascia that inter-digitized between aorta and oesophagus.
151.501,156.74,We dissect till the exposure of parietal pleura of contralateral lung without breaching it.
157.523,161.578,Dissection is continued remaining and respecting the avascular plane.
238.475,247.843,"Slowly at the base of arch of aorta, we can encounter direct arterial branch from aorta that is gently coagulated using bipolar country device."
302.65,308.783,We can see the plate of the tissue that is formed between oesophagus and aorta which we are incising now.
309.184,312.611,This perpendicular sheet of tissue is known as mesoesophagus.
312.631,321.469,We can see the perpendicular sheet of tissue like a plank or the sheet of the tissue can be seen between oesophagus and aorta which is known as mesoesophagus.
344.163,350.815,"We can see diaphragmatic hiatus, finally, infrahizogous part of esophagus is being completely mobilized."
402.567,410.08,Now we move towards the supra-asagus part of esophagus where we perform left recurrent laryngeal lymph node dissection.
434.478,437.316,We incise the pleura laterally and medially as before
475.923,478.488,We restill the pleura of contralateral lung.
478.829,487.848,Here we must be very cautious to prevent the collateral damage of membranous trachea and recurrent laryngeal nerve by thermal devices.
494.241,497.087,We can visualize the recurrent laryngeal nerve here.
516.035,519.758,We do not use energy devices here to prevent the collateral damage.
520.079,534.712,Instead we dissect sharply by scissor and direct the dissection by suction joint.
534.732,538.035,Now esophagus is separated from membranous trachea.
538.435,544.0,It is very hazardous and could lead to worst consequence if we injure the membranous trachea.
607.058,610.743,Now oesophagus is left unmobilized at aegis portion.
611.104,627.647,"Traction, counter traction is applied to separate the oesophagus from arch of aorta, contralateral left membrane gus and aegis vein respectively."
630.812,636.019,Now we go to the prevascular fascia that is covering the aorta.
645.348,647.958,The pre-vascular fascia is yellowish in color.
648.721,655.105,We incise the pre-vascular fascia till we see the whitish adventicia of aorta.
694.572,698.271,Doing so the thoracic duct envelope is taken down.
707.735,721.68,"Identifying the thoracic duct and clipping with metallic clip, we conclude our esophageal mobilization, recurrent laryngeal, nerve lymph node dissection as well as thoracic duct ligation."
722.661,724.324,Thank you very much for your patience.
725.346,729.854,In later video we will see abdominal phase and neck phase.
730.275,732.038,Thank you very much.
