start,end,text
0.682,12.492,"Hi everyone. Although sometimes used interchangeably, the words sigmoid colectomy and high anterior resection points toward different parts of the left colon."
12.992,24.882,Today's video presentation is a collage of three sigmoid colectomies stroke high anterior resections to take you through this procedure step by step.
25.382,31.556,Step number one is the proper positioning of the patient. This is our usual port positioning.
32.056,41.204,Make sure you comply with the ergonomics of laparoscopic surgery to protect yourself and do the surgery in an efficient manner.
41.704,51.755,We normally put the patient in steep head and down position so that the pelvis can be emptied properly.
52.255,62.439,"The surgical team tilts the operating table side to side, causing the small bowel to shift to one side of the abdomen, revealing a clear view of the aorta and the duodenum."
62.939,70.615,The surgeon identifies the inferior mesenteric artery and vein as essential landmarks to begin the dissection.
71.115,84.552,"The assistant pulls the sigmoid colon upward, allowing the surgeon to begin dissection. This maneuver makes the inferior mesenteric artery visibly prominent, especially in a slim patient."
85.052,100.009,"The surgeon begins the dissection by splitting the peritoneum over the sacral promontory. The correct plane allows CO₂ to inflate the retroperitoneal space, facilitating easier subsequent dissection."
100.509,112.971,"The surgeon extends the dissection down to the upper part of the total mesorectal excision (TME) plane, indicating that for a sigmoid colectomy with high anterior dissection, further dissection is not necessary."
113.471,126.578,"The surgeon continues to split the peritoneum between the bifurcation of the common iliac vessels, progressing towards the inferior mesenteric artery, with clear visualization of the anatomical structures."
127.078,134.362,"The surgeon reaches the root of the inferior mesenteric artery (IMA), taking care to avoid the superior hypogastric plexus visible in the surrounding area."
134.862,144.966,There is a separate video about this if anyone is interested finding out the anatomy of these plexus.
145.466,162.293,It's not always essential to take the dissection right down to the root of the IMA as literature is divided regarding the high or low dissection of this artery.
162.793,174.777,"Nonetheless, lymph node yields are shown to be consistently high if arteries are taken at their origin, especially for cancer surgery."
175.277,231.386,"The surgeon exposes the ureter, which is visible beneath a thin layer of fascia, indicating that the dissection is in the correct tissue plane."
231.886,243.714,"Of course, we are not always fortunate enough to find our patients having a low BMI. The principles of surgery stay the same in patients with high BMI."
244.214,255.278,"The surgeon carefully manipulates friable adipose tissue in an elderly obese patient, proceeding cautiously to minimize bleeding risk during the colectomy."
255.778,269.148,"The surgeon begins the dissection at the sacral promontory, progressing towards the top of the total mesorectal excision (TME) plane, maintaining consistent tissue planes."
269.648,289.743,"The surgeon identifies loose areolar tissue at the top of the total mesorectal excision (TME) plane, confirming dissection in the correct anatomical plane."
290.243,302.886,"The surgeon continues the dissection up to the top of the total mesorectal excision (TME) plane, revealing the inferior mesenteric artery (IMA), which appears short, stubby, and surrounded by fat."
303.386,316.029,"The surgeon attempts to skeletonize the vessel, carefully dissecting surrounding tissue to expose it fully. If the vessel remains bulky, a vascular stapler is used to divide it instead of clips."
316.529,329.832,"The surgeon begins a medial to lateral dissection after dissecting the inferior mesenteric artery (IMA) and sometimes the inferior mesenteric vein (IMV), carefully separating tissue layers in the abdominal cavity."
330.332,352.619,"The surgeon joins the medial to lateral dissection with the dissection at the top of the TME plane by taking down adhesions, facilitating the completion of the surgical procedure."
352.639,371.536,"The surgeon separates the mesocolon from the retroperitoneal structures, ensuring to stay in the correct dissection plane, which is visually higher on the mesocolon than anticipated."
372.036,396.057,"The surgeon temporarily enters the incorrect plane, revealing the source muscle and tendon. Adjusting the grasper to hold the peritoneum on the right side, the correct plane becomes evident, slightly higher than the initial entry."
396.557,412.94,"The surgeon focuses on the top of the TME plane, where the superior hypogastric plexus and the right and left hypogastric nerves are clearly visible."
413.44,422.597,"The surgeon begins the lateral to medial dissection, continuing from the previously completed medial to lateral dissection phase."
423.097,446.927,"The surgeon performs lateral to medial dissection, facilitated by visible air from the opposite side. The peritoneum is opened, revealing the pedicle package at the internal border of the mesocolon."
447.427,464.814,"The surgeon turns the dissection towards the pelvic region, focusing on the lower sigmoid colon and upper rectum. The medial to lateral dissection facilitates the opening of the peritoneum in this area."
465.314,482.682,"The left ureter has to be protected at all times. If you have any questions or comments up to this part of the procedure, please post them below."
483.182,503.489,"The surgeon maintains dissection within the total mesorectal excision (TME) plane, indicated by the presence of loose areolar tissue. The next step involves preparing the distal and proximal sections of the bowel for anastomosis."
503.989,518.247,"The assistant holds the proximal left colon at the proposed line of resection, allowing the surgeon to identify and prepare the area for dividing the mesocolon."
518.747,531.478,"The surgeon ensures that the mobilized proximal bowel can reach into the pelvis for the anastomosis, demonstrating the flexibility and positioning of the left bowel."
531.978,554.341,"The surgeon grasps the proposed line of resection and divides the mesorectum in the pelvis. Using a right-handed approach, the surgeon performs lateral and posterior division of the mesorectum from the right side."
554.841,569.77,"The surgeon performs a high anterior resection, dividing the mesorectum, which is a vascular plane unlike the TME plane. Care is taken to manage potential bleeding during the division."
570.27,595.492,"The surgeon prepares to use a stapler to dissect the rectum, ensuring the mesorectum is sufficiently divided. For a sigmoid colectomy, the rectal stump appears long, requiring careful insertion of the stapler from the bottom."
595.992,605.177,The surgeon performs a leak test by filling the peritoneal cavity with water and introducing air using a rigid sigmoidoscope to check for any leaks at the anastomosis site.
605.677,613.581,Please post your comments in the section below. Like and subscribe for further such videos. Thank you for watching.
