start,end,text
12.024,40.873,The video shows the stomach with a bougie tube inserted by anesthesia to decompress it. The surgeon is taking down adhesions from the diaphragm near the entrance of the esophagus and stomach to better visualize the anatomy and evaluate for a hiatal hernia.
41.373,71.059,"The spleen is visible on the top right of the screen, while a special retractor lifts a small portion of the liver on the top left, positioned over the stomach. The diaphragm and esophagus have been dissected, confirming the absence of a hiatal hernia, allowing the procedure to proceed with the gastric bypass."
71.559,84.368,"The surgeon uses a robotic vessel sealer to cauterize and cut tissue, effectively preventing bleeding during the gastric bypass procedure."
84.868,109.088,The surgeon measures the gastric pouch to be approximately two inches and proceeds to create a tunnel underneath the stomach to align the staplers for forming a small pouch.
109.588,165.213,"The surgeon places the stapler across the stomach after creating a tunnel, measuring the pouch size once more before firing the stapler. The tunnel extends to the top of the stomach near the esophagus, and the stapler divides the tissue, visibly separating the small pouch from the gastric remnant."
165.713,209.217,"The surgeon creates a gastric pouch from the remnant stomach without removing any part of the stomach. The Roux limb of the small intestine is brought up to connect with the pouch, forming an anastomosis using sutures without the use of staplers."
209.717,274.307,"The surgeon passes a suture through the corner of the gastric pouch, preparing to connect it to the small intestine to form the first portion of the roux limb. This anastomosis, known as a gastrojejunostomy, visually connects the stomach pouch to the jejunum, the middle portion of the small intestine."
274.807,359.929,"The surgeon uses scissors to create a gastrostomy, an opening in the gastric pouch. A plastic tube, known as a bougie, is visible, aiding in measuring the pouch size. Subsequently, another opening is made in the small intestine, preparing for the anastomosis."
360.429,389.063,"The surgeon completes the anastomosis by suturing a second layer to reinforce the connection and prevent leaks. The suture is cut, and the final view shows the roux limb of the small intestine clearly visualized."
389.563,465.83,"The surgeon divides a portion of the small intestine to create the biliopancreatic limb, visible on the right side of the screen. This limb will deliver pancreatic enzymes and bile to the roux limb. The small intestine is measured, and the roux limb is confirmed to be 150 centimeters long, which will carry undigested food until it connects with the biliopancreatic limb."
466.33,507.993,"The surgeon creates a second anastomosis by making an incision in both the roux limb and the biliopancreatic limb. These two sections are then stapled together to form a jejuno-jejunostomy, allowing bile and pancreatic enzymes to mix with food in the roux limb, facilitating digestion."
508.493,555.729,"The surgeon sutures the common enterotomy, sealing the jejuno-jejunostomy (JJ) connection with a stapler. A potential hernia space is closed with permanent sutures to prevent intestinal sliding through the defect."
556.229,586.85,"The surgeon identifies the Peterson's defect, a potential space for internal hernias, and places sutures in the mesentery of the roux limb and the colon, which is lifted on the screen's left side, to prevent future hernias."
587.35,633.294,"The surgeon performs a leak test by filling the abdomen with saline and instilling air into the connection, observing for air bubbles in the saline. No bubbles are seen, indicating no leaks. The saline and air are then removed, and the bougie is extracted from the pouch. The final view shows the roux limb of the small intestine, with the jejuno-jejunostomy visible on the right side of the screen."
