start,end,text
21.528,39.427,"The surgeon performs urethrolysis and opens the pararectal space, aiming to free the rectum from nodular attachments along the posterior cervix and the posterior wall of the vagina."
39.927,48.135,"The surgeon begins by opening the retroperitoneum to free and mobilize the ureter laterally, preparing the surgical field for further dissection."
48.635,56.643,"The surgeon opens the retroperitoneum just below the level of the infundibulopelvic ligament, revealing underlying anatomical structures."
57.143,73.138,"The surgeon deepens the dissection on the left side, revealing the common iliac artery bifurcating into the external iliac and internal iliac arteries, which are clearly visible."
73.638,89.883,"The surgeon highlights the anatomical position of the ureter on the left side, noting that it crosses over the common iliac artery rather than the bifurcation of the external and internal iliac arteries, indicating its cranial crossing relative to this plane."
90.383,100.992,"The surgeon identifies the crossing of the ureter and lifts it, dissecting it away from its adventitious attachment to the retroperitoneum, revealing the ureter's path and freeing it from surrounding tissue."
101.492,112.012,"The surgeon mobilizes the ureter along its entire length, carefully lateralizing it away from the level of the nodule, ensuring complete separation from surrounding tissues."
152.081,161.069,"A window is created under the ureter, which is then extended using blunt traction, visibly lateralizing the ureter away from surrounding structures."
161.569,170.957,"The surgeon further lateralizes the ureter, carefully dissecting it until reaching the level of the ureteric tunnel or corneal space, ensuring it is separated from surrounding tissues."
171.457,174.38,"The ureter is visibly mobilized and lateralized, showing clear separation from surrounding tissues."
174.88,181.051,"The surgeon lifts the retroperitoneum, effectively mobilizing the rectum and shifting the pararectal space medially."
181.551,187.536,"The surgeon gently dissects the ureter laterally, progressively moving it further away from the borders of the uterus and vagina, ensuring careful separation to avoid thermal injury."
192.039,200.385,"The surgeon opens the Obakayashi space, revealing the rectum adhered to the posterior part of the cervix."
200.885,210.025,"The surgeon dissects the rectum away from the nodule, carefully separating the rectal tissue below the level of the nodule."
210.525,235.06,"The surgeon uses blunt traction to dissect the rectum away from its nodular attachment in the deep pararectal space. Once the rectum is separated both cranially and caudally, the surgeon considers using scissors to cut open the nodule and further separate the rectum."
235.56,265.541,"The surgeon applies traction to the rectum while using gentle coagulation current to separate it from the nodular attachment. The rectum is visibly manipulated to achieve separation, with consideration for potential discoid resection if the nodule is thick."
266.041,268.382,"The surgeon identifies a point attachment between the rectum and surrounding tissue, indicating minimal adhesion at this specific location."
268.662,275.124,"The surgeon encounters a dense point attachment of the rectum to surrounding tissue, requiring careful skinning of the rectal musculature to separate it."
275.364,294.205,The surgeon opens the longitudinal muscles of the rectum while leaving the circular muscles intact. The rectum is then mobilized away from the posterior vaginal wall and separated until reaching the level of the anorectal junction.
294.705,297.633,"The mobilized rectum is visible, showing no requirement for suturing after separation from its nodular attachment."
