start,end,text
5.292,11.677,"Anytime someone gives me the opportunity to be Guy Voller, I'm going to take that opportunity. It's just you can't pass that up."
12.177,20.642,"I'm going to talk about peristomal hernia repair. In the middle of this, I actually have Guy's slides, and so we'll go into his topic kind of in the middle of my talk here as well."
21.142,30.542,"These are my disclosures, which don't have any relevance to what we're going to talk about. I don't think I have to tell this audience that peristomal hernias are common. They affect up to fifty percent of stomas."
30.562,44.113,"I think if you get CAT scans or look for people, you will find people with non-symptomatic peristomal hernias at a much higher percentage than that. We know that these are technically difficult to repair, that they do have a higher surgical site occurrence rate, a higher recurrence rate as well."
44.613,66.638,"And you can add into this the problems of stoma-related complications such as obstruction at the stoma site, injury to the stoma site, necrosis, and kinking from stoma repairs. We also know that midline hernias are very, very commonly found with these as well. So when you put this constellation together, this is a problem that we do not have yet a very good solution to."
67.138,87.991,"There's lots of options for repairing these with mesh. We do know that mesh-based repairs are the preferred way to fix these. Keyhole repair can be done as an intra-abdominal, an onlay, or as a retromuscular repair. You can sugar baker the mesh, and for a while I think sugar baker was confined to the intraperitoneal space. We're going to show you a little bit at the end how we've moved that into the retromuscular plane."
88.491,100.508,"You can also cruciate the mesh in any number of locations, and I'll touch on that a little bit as part of Guy's talk. My repair algorithm for peristomals is basically the following."
100.568,120.205,"I reserve laparoscopic sugar baker repairs for those that are relatively small peristomal hernias or that have a smaller or minimal midline component. Once somebody has a large peristomal hernia or has a moderate or large midline hernia in combination with it, I prefer to do a posterior component separation, typically using a transversus abdominis release."
120.705,138.815,"Your options for doing that include moving the ostomy to a new location or cruciating the mesh or utilizing a stapled ostomy reinforcement procedure. If the ostomy can't be relocated, you can keyhole the mesh around it, but literature supports not keyholing meshes as often as possible."
139.275,151.359,"And what I'm going to talk about today is sort of our newest modification of this algorithm, which is to intentionally leave the ostomy where it is presently located and retromuscularize it utilizing a PPHR technique."
151.859,165.117,"So how do we do a TAR with an ostomy in sight? Well, the first thing you have to realize is you've seen several videos of TARs here. When you do a TAR and there's an ostomy that you're taking down, there will be a defect in the posterior layer that's just part and parcel of the operation, and you simply sew that up."
165.617,176.066,"The surgeon begins in the upper abdomen to release the transversus abdominis muscle, a step that is visually clearer in robotic procedures due to enhanced visibility compared to open techniques."
176.566,202.949,"We typically, in the older version of this operation, would move the ostomy to a new location. So we close the old stoma site in the posterior sheath, we move the ostomy to a new site, and you create a small cruciate in the posterior layer of the reconstruction. to deliver the stoma through. You then put mesh in place and you created a cruciate in the mesh to deliver the stoma through that site. And this is a on-floss view of what that repair looks like."
202.989,240.562,"The video shows the old ostomy site on the left-hand side, which is reinforced with mesh. The midline is also reinforced with mesh, but the mesh has been cut to allow the new ostomy to pass through. A cross-sectional view illustrates the mesh cut near the midline for the new ostomy, highlighting potential risks of compromising the midline repair and hernia formation at the new ostomy site."
241.062,268.272,"Mike Rosen and Yuri Novitskiy published their initial experience with this technique. Seventy percent of their patients in this series had a midline incisional hernia as well, which gave them a very large hernia area of almost two hundred and thirty centimeters in these patients. At thirteen months, they had eleven percent recurrence rate, and most of those recurrences were located at the new ostomy site. Whether you want to call that a new hernia or a recurrent hernia, it's neither here nor there. The patient had a peristomal hernia, and they have a new peristomal hernia that requires a repair."
268.772,299.9,"They had the anticipated amount of postoperative problems, including deep and superficial surgical site infections. They had one mucocutaneous separation. Again, these are problems inherent to managing people who have an ostomy. And I will point out that they had one patient with an ischemic stoma in that series. But I think ultimately that repair gives you a very acceptable risk of recurrence. It does relocate the ostomy. The new site is reinforced. You get a Y sublay overlap. You can repair midline defects, and I think there's pretty good support that it's safe to use polypropylene mesh in those circumstances."
300.4,319.785,"The surgeon moves the ostomy to a new location, creating both an old and new wound site. The bowel is transected and mobilized to the new site, with visible contamination likely due to the relocation. The mesh is cut to accommodate the new ostomy site, which is a common location for hernia formation."
320.285,348.524,"The surgeon attempts to align the mesh configuration by creating a hole in the posterior sheath, mesh, and new ostomy site in the native abdominal wall. This alignment is challenging, and techniques such as stapled reinforcement or smart techniques are considered to facilitate mesh placement and prevent hernia recurrence."
