start,end,text
64.16,127.892,"The surgeon performs a multi-port laparoscopic ileocolic resection, noting the absence of adhesions due to the patient's immunosuppression. The small bowel is inspected, revealing a short segment stricture at the prior ileocolic anastomosis. The surgeon mobilizes the area for resection, taking down omental adhesions and unfolding the transverse colon from the ascending colon."
99.881,152.386,"The surgeon identifies a short segment stricture at the prior ileocolic anastomosis and begins mobilizing the area for resection. Omental adhesions to the anastomosis are carefully dissected, followed by unfolding the transverse colon from the ascending colon. The mesentery is taken intracorporeally, and the specimen is mobilized for resection."
128.392,191.814,"The surgeon performs a lateral to medial mobilization of the bowel, preparing for extracorporeal anastomosis and extraction through a phanaceal incision. The thick Crohn's mesentery is managed with careful lateral mobilization."
152.886,236.068,"The surgeon performs lateral to medial mobilization of the bowel, noting that despite previous surgeries, the tissue planes remain well preserved. The thick Crohn's mesentery is managed with extracorporeal extraction for better control."
192.314,304.077,"The surgeon performs lateral mobilization of the right colon towards the hepatic flexure, carefully preserving the ascending colon to avoid injury. The surgical planes appear well-preserved despite multiple previous mobilizations, demonstrating the ease of the procedure."
236.148,304.077,"The surgeon performs lateral mobilization of the right colon, carefully advancing towards the hepatic flexure while preserving the ascending colon. The mobilization is conducted from a lateral approach, preparing to address the hepatic flexure."
304.577,444.168,"The surgeon carefully dissects near the duodenum, placing a protective sponge to avoid damage during mobilization. The hepatic flexure is mobilized, ensuring no tension on the mesentery or bowel for extraction through the suprapubic port site. Adhesions to the gallbladder are removed, facilitating bowel mobilization for extracorporeal extraction. The mesentery is taken directly beneath the anastomosis, with the sponge used to manage minor bleeding."
304.577,387.578,"The surgeon carefully dissects near the duodenum, visible beneath the dissection area, taking care not to cut too deeply. A sponge is placed to protect the duodenum. The hepatic flexure is mobilized, ensuring there is no tension on the mesentery or bowel during extraction through the suprapubic port site."
388.078,461.857,"The surgeon addresses adhesions to the gallbladder, facilitating bowel mobilization for extracorporeal extraction. A sponge is used to manage minor bleeding without cauterization. The mesentery is dissected directly beneath the anastomosis, which is a side-to-side antiparastaltic configuration. Indocyanine green (ICG) is checked post-anastomosis, and mesenteric defects are left open."
444.668,477.266,"The surgeon completes a side-to-side antiparastaltic anastomosis and checks the ICG fluorescence to ensure adequate perfusion. The mesenteric defects are left open, and the procedure concludes successfully."
