start,end,text
11.313,14.874,"The surgeon attempts to elicit the rectal prolapse by instructing the patient to cough, observing any visible protrusion of the rectal tissue."
34.114,62.633,"The video shows a complete rectal prolapse, characterized as a full-thickness procedentia. The surgeon plans to perform a stapled transanal rectal resection using a circular stapling device, with stay sutures placed on each side of the prolapsed tissue."
63.133,92.212,"The surgeon prepares to close the stapler, ensuring the orange mark is in the green firing zone. The integrity of the vaginal wall is checked to confirm it is not entrapped, and the vaginal wall is visibly free. Due to the significant prolapse component, the surgeon decides to open the device and remove it."
92.712,126.086,"The surgeon opens the stapling device and carefully removes it under direct vision, revealing a full-thickness section of the rectum. The parietal fat is visible, and the surgeon identifies a tissue bridge that will be broken."
126.586,136.27,"The surgeon carefully removes the scales, ensuring the posterior rectum or lumen remains intact and protected."
136.77,145.533,"The surgeon targets the prolapsed rectum at the nine o'clock position, preparing to address the prolapse using a similar technique as previously demonstrated."
145.553,158.064,"The surgeon prepares to use the circular stapler device for the rectal prolapse procedure, positioning it to perform a staple transanal rectal resection."
158.564,186.252,"The surgeon positions the stapler on the scale, achieving full thickness resection of the rectum. The resection reveals parietal fat surrounding the area, and the surgeon prepares to continue the resection at the three o'clock position."
186.752,215.25,"The surgeon demonstrates a full thickness resection of the rectum, highlighting the parietal fat surrounding the specimen. A stay suture is placed at the six o'clock position on the highest point of the prolapse."
215.75,220.892,"The surgeon observes that there is no residual prolapse posteriorly, but residual prolapse is visible anteriorly and laterally."
221.392,225.793,"The surgeon identifies the intussusceptum, a segment of the prolapsed rectum that has telescoped into itself."
226.293,229.794,"The surgeon removes the lateral residual prolapse, completing the resection of the prolapsed tissue."
230.294,235.316,"The surgeon displays the full thickness resection of the rectal tissue, with visible parietal fat surrounding the resected area."
235.816,245.507,"The surgeon places a stay suture on the residual prolapse component located on the left side of the patient, which is the right side from the surgeon's perspective."
246.007,269.861,The surgeon uses a sixth stapler to excise the final residual prolapse component with a full-thickness resection. Parietal fat is visible during the procedure. The surgeon checks for any remaining prolapse and confirms there is none.
270.361,298.447,"The surgeon inserts a gauze piece into the rectum, applying pressure to check for any remaining prolapse. The gauze moves easily without obstruction, confirming the absence of prolapse in all directions, including laterally and anteriorly."
298.947,317.877,"The patient is asked to cough and strain, but no prolapse is visible as the patient strains."
