start,end,text
0.395,15.885,A thirty-six-year-old female presented to the ER with two days of abdominal pain. Her CBC revealed anemia and a CT scan showed thickening of the cecum. Colonoscopy confirmed a cecal mass. She was scheduled for a right colectomy.
16.366,24.671,The surgeon removes adhesions from the patient's previous C-section. A large lymph node is visible as the ileocolic vessels are stretched.
25.171,34.756,"The surgeon circumferentially dissects and ligates the ileocolic vessels using a bipolar device, performing a medial to lateral dissection."
35.256,46.74,"The surgeon uses a combination of blunt and sharp dissection to take down the duodenum. The colon is mobilized across the hepatic flexure, and the lesser sac is opened, revealing the anatomical structures within."
47.24,61.144,The surgeon encounters the previously performed medial to lateral dissection and proceeds to take down the lateral attachments of the right colon. The peritoneum is included in the dissection to ensure an adequate radial margin.
61.644,72.805,"The surgeon begins at the ileocolic pedicle, dividing the small bowel mesentery. The remaining attachments to the ascending colon are carefully dissected and taken down."
73.305,99.477,"The surgeon grasps and transects the terminal ileum using a laparoscopic powered stapler. The remaining mesentery of the proximal transverse colon is divided, followed by the use of a stapler with a thicker reload to transect the colon."
99.977,111.36,The surgeon uses a second firing of the stapler to complete the division of the bowel. The resected specimen is then grasped and positioned above the liver.
111.86,125.448,"The surgeon completes a total mesocolic dissection, revealing the retroperitoneum. The terminal ileum and transverse colon are visually aligned in an isoparastaltic fashion."
125.948,140.417,"The surgeon creates a window on the anti-mesenteric border of the small intestine, followed by a colotomy approximately ten centimeters distal to the staple line of the transverse colon."
140.917,164.199,"The surgeon introduces the stapler through the left upper quadrant port, positioning its jaws into the colon and small bowel. The stapler is fired to create a common channel, followed by a second firing to lengthen the anastomosis."
164.699,177.99,"The surgeon inspects the well-formed common channel, noting the absence of intraluminal bleeding. The assistant port is utilized to align the common enterotomy, ensuring proper orientation."
178.49,195.458,"The surgeon checks the stapler to confirm complete closure of the defect, then fires the stapler twice to ensure the bowel is fully closed. The completed anastomosis is visible."
195.958,213.993,"The surgical field is suctioned, and the anastomosis is visually examined for integrity. The specimen is grasped and maneuvered down to the pelvis. A four-centimeter incision is made using a fan and steel technique for specimen extraction, revealing a large mass."
214.493,224.041,Negative pressure wound therapy is standard. Bowel function returned on post-op day one and she was discharged on post-op day two.
224.541,229.881,"The video shows the post-operative appearance of the abdomen two weeks after the colectomy, with visible healing of the surgical incision and surrounding skin."
230.381,238.426,"A medial to lateral dissection is performed using a vessel sealer, demonstrating the technique that can also be executed robotically."
238.926,253.715,"The surgeon uses a robotic stapler to isolate and transect the ileocolic vessels, while the duodenum is carefully swept aside. Subsequently, the lateral peritoneal attachments in the right lower quadrant are dissected."
254.215,268.791,"The surgeon clears the mesentery from the proximal transverse colon, completing the mobilization of the hepatic flexure. The mesentery of the terminal ileum is transected, reaching the bowel wall."
269.291,285.359,"Endocyanin green is injected into the patient, allowing examination of the blood supply. The robotic stapler is used to transect the terminal ileum, followed by the transverse colon."
285.859,299.428,"The surgeon uses two firings of the stapler to transect the transverse colon. The excised specimen is positioned above the liver. The terminal ileum is moved to the upper abdomen and placed adjacent to the transverse colon, ensuring there is no tension between the structures."
299.928,318.581,"The surgeon creates a collotomy and removes the anti-mesenteric border of the terminal ileum. The robotic stapler is inserted into the terminal ileum, and due to the mobility of the small bowel, it is subsequently positioned into the colon, forming the common channel."
319.081,354.143,"The surgeon uses a second firing of the stapler to lengthen the anastomosis, carefully removing the instrument from the bowel. An assistant helps close the remaining enterotomy, removing a small amount of tissue. The bowel is examined to confirm both sides are grasped by the stapler jaws. A final firing completely closes the defect, resulting in a widely patent anastomosis."
354.643,374.796,Commercially available incisional wound vacs are now used for all patients. These dressings are removed by the patients at home one week after surgery. The patients email a picture to the surgeon and the incision is evaluated. They return to the office the following week for staple removal.
375.296,404.83,"Ninety-three consecutive cases were reviewed. All patients carried a diagnosis of colonic neoplasia. The average lymph node harvest was twenty-three point eighty-six. The average length of stay was four point one three days. In the elective resection group, sixty-four percent of patients were discharged by postoperative day two. The average operative length was one hundred and fifteen minutes. The overall complication rate was low."
405.33,421.894,"Two patients required a return to the operating room. One patient required a washout for an intra-abdominal hematoma. The patient with the anastomotic leak required a laparotomy with resection of the anastomosis, abdominal washout, and endeliostomy."
422.394,439.867,This patient's prolonged hospitalization significantly increased the length of stay in this small sample size. Future research will include comparing the outcomes of patients receiving an intracorporeal anastomosis to those who received an extracorporeal anastomosis.
