start,end,text
1.583,18.143,"A simplified approach of robotic portion nephrectomy As robotic portion nephrectomy is minimally invasive but appears less technically challenging than laparoscopic portion nephrectomy, it has spread significantly over the past few years."
18.643,34.487,"However, there is still controversy on many points of surgical technique, such as, for example, the optimal management of the urinal pedicle, with choice of either a retroperitoneal or transperitoneal route, or the use of an hemostatic agent."
34.987,40.568,"In this video, our aim was to present a simplified approach of probiotic partial nephrectomy."
41.068,52.693,This is the case of a sixty-year-old female with a tumor of the lower pole of the right kidney. Tumor size is forty-two millimeter and renal nephron matrix score is seven eight.
52.713,59.235,The patient had no previous abdominal surgery and her preoperative renal function is normal.
59.735,64.577,The simplified approach of robotic osteonecrectomy can be summarized in ten points.
65.077,68.898,"First point, no preoperative placement of an urethral stand."
69.298,75.34,"Second point, no flexion of the table."
75.84,78.76,"Third point, transperitoneal route in every case."
78.941,83.961,"And fourth point, no use of the fourth arm."
84.461,101.244,The surgeon initiates minimal colonic mobilization as part of the nephrectomy procedure.
101.744,128.312,"The surgeon searches for the psoas muscle to identify the ureter, aiming to prevent ureteral injury during the dissection of the pyramidal fat."
128.812,136.599,"The surgeon dissects the small artery located at the lower pole of the kidney, carefully separating it from surrounding tissues."
137.099,142.622,"The surgeon locates the main renal pedicle during the nephrectomy procedure, preparing for further dissection and isolation of the renal vessels."
143.122,149.266,"Sixth point, no placement of vessel loops on the renal pedicle."
149.766,222.225,"The surgeon carefully dissects the perirenal fat to expose the tumor, ensuring minimal tissue removal during this step."
222.725,234.95,"The surgeon applies bulldog clamps to the two renal arteries, visibly occluding blood flow to the kidney."
235.45,259.405,"The surgeon performs the tumorectomy using cold scissors, carefully excising the tumor from the surrounding renal tissue."
259.905,274.569,The surgeon places an absolute clip on a visualized arterial branch within the surgical field.
275.069,295.725,"During the tumor excision, the surgeon opens the collecting system widely, revealing the internal structures of the kidney."
296.225,304.37,Surgical margins appear microscopically negative.
304.87,339.318,The surgeon places a running suture on the tumor bed and secures both ends of the suture with absolute clips to initiate parenchymal compression.
339.818,352.183,"The surgeon places a second ring suture on the resection bed, contributing to effective hemostasis in the surgical area."
352.223,360.926,"The surgeon performs direct suturing of vascular branches, providing closure to the opened collecting system visible during the procedure."
361.426,366.234,"Eighth point, early unclamping. It is a very simple concept."
366.734,379.285,"The surgeon removes the arterial clamp early after placing one or two running sutures on the tumor bed, prior to repairing the parenchyma."
379.785,384.81,"The surgeon avoids using a hemostatic agent while performing suturing on the tumor bed, relying on previously placed sutures and clips for hemostasis."
385.31,391.174,"The surgeon completes the renal replantation by placing the final running suture, effectively bringing the renal parenchyma together."
391.674,398.618,"The surgeon places an absolute clip on the wire after each needle passage to apply pressure on the renal parenchyma, ensuring stabilization during the nephrectomy procedure."
399.118,403.181,"Tenth point, no postoperative drainage."
403.681,413.507,The operative time was ninety minutes and warm ischemia time was eight minutes. Estimated blood loss was one hundred and fifty milliliters and there were no postoperative complications.
414.007,418.789,patients with discharge on post-operative day two and surgical margins were negative.
419.289,435.056,"The post-operative protocol of this simplified approach of RPN comprise oral intakes and mobilization from the day of the surgery, a blood count and creatinine dosage on day one and a discharge of patients on post-operative day two."
435.556,450.084,"The benefits of this simplified approach are a decrease of the course, a decrease of the operative time and a shorter warm ischemia time. Other potential benefits could be a shorter learning curve and an enhanced recovery."
