start,end,text
1.051,8.074,This video demonstrates our technique for a W ileal neobladder
8.574,14.677,"After completing the cystectomy and pelvic lymphadenectomy, the surgeon assesses the surgical field to determine the optimal position for urethral anastomosis."
15.177,19.759,It's approximately thirty-five centimetres proximal to the ileocecal valve.
20.259,29.102,The surgeon examines different sections of the bowel to assess which area can best reach the urethra for anastomosis.
29.568,36.03,"The surgeon marks the determined position with a long stay suture, which is then exteriorized through a 5mm laparoscopic port."
36.53,42.672,A short stay suture is placed just distal to the previously marked position on the bowel for orientation during exteriorization.
43.172,51.055,"The surgeon extracts the specimen through a small mini laparotomy, exteriorizing the bowel using the long stay suture."
51.555,55.057,"The surgeon measures and isolates sixty centimeters of ileum to construct the neobladder, ensuring the segment is suitable for the intended reconstruction."
55.417,68.485,"The surgeon performs a hand-sewn small bowel anastomosis extracorporeally, creating an enterotomy 15 centimeters from the distal end of the neobladder segment to facilitate urethral anastomosis."
68.985,74.249,"The surgeon reintroduces the exteriorized bowel back into the peritoneal cavity, and the robotic surgical system is redocked for continued operation."
74.749,85.334,"The surgeon performs a continuous anastomosis between the neobladder and the urethra using a double-armed Stratafix suture, resembling the technique used in prostatectomy."
85.834,92.257,"The surgeon detubularizes the first limb of the neobladder and sutures the edges together, forming the initial structure of the neobladder."
92.757,103.398,"The surgeon begins detubularizing the ileal segment for the neobladder, starting three centimeters from the distal end and continuing to the midpoint of the sixty-centimeter segment."
103.898,110.943,"The surgeon places stay sutures between the two walls of the bowel segment, securing them in preparation for further anastomosis."
111.443,116.986,The surgeon uses an ovicral suture on a CT needle to perform the current step of the procedure.
117.486,138.53,"The surgeon places three or four stay sutures for orientation and retraction, then runs a continuous suture line using a 3-0 Stratafix suture."
139.03,169.255,"The surgeon uses the fourth arm of the surgical robot to retract the vicral stay sutures, facilitating the continuation of the continuous suture line on the ileal segment."
169.755,180.843,The surgeon detubularizes an additional fifteen centimeters of the ileal segment and sutures the second limb of the posterior neobladder wall together.
181.343,193.738,"The surgeon detubularizes each limb sequentially and sews the walls together, constructing the posterior wall of the neobladder while maintaining orientation."
194.238,244.559,"The surgeon uses interrupted vicryl stay sutures to oppose and orientate the bowel segments, followed by a continuous suture line with Stratafix to secure the tissue."
245.059,255.745,"The surgeon detubularizes the final fifteen centimeters of the bowel segment, leaving a three-centimeter ascending limb intended for future ureteric anastomosis."
256.245,279.14,The surgeon uses interrupted vicryl stay sutures and a continuous strata fix suture line to complete the creation and suturing of the posterior wall of the neobladder.
279.64,301.445,"The surgeon folds the neobladder and uses stay sutures to construct the anterior wall, completing the formation of the neobladder structure."
301.945,366.922,"The surgeon folds the apex of the posterior wall of the neobladder down to the midpoint of the anterior wall and secures it with a stay suture, ensuring proper alignment and stabilization."
367.422,378.408,"The surgeon closes the anterior wall of the neobladder using two layers of continuous 3-0 strata fix sutures, following the approximation achieved by the stay sutures."
378.908,386.752,"The surgeon closes the posterior wall of the neobladder in a single layer, with the small bowel mesentery visibly nearby, minimizing the risk of leakage."
387.252,465.146,"The surgeon applies a double layer closure technique to the anterior wall of the neobladder to prevent leakage, ensuring the sutures are securely placed."
465.646,471.151,"The surgeon performs an anastomosis of the ureters to the ascending limb of the neobladder, securing the connection between these structures."
471.651,482.96,"The surgeon delivers the left ureter between the small bowel mesentery and the mesentery of the sigmoid colon, preparing it for anastomosis to the left limb of the neobladder."
483.46,487.95,"The surgeon performs a wide spatulation of the ureter, preparing it for anastomosis."
488.45,492.931,"The surgeon uses a 3-0 stratific suture to sew the anastomosis, ensuring secure connection between the ureters and the neobladder."
493.431,510.433,"The surgeon begins the suture line away from the foot of the ureteric spatulation, ensuring the critical portion of the anastomosis is performed with clear visual guidance."
510.933,520.923,"Following the completion of a portion of the anastomosis, the surgeon inserts a seven French bander stent into the ureter, ensuring proper alignment and support within the surgical site."
521.423,524.606,"The surgeon introduces the ureter into the abdominal cavity, positioning it for anastomosis with the left limb of the neobladder."
525.106,537.868,"The surgeon passes the stent through the limb of the neobladder, guiding it to exit through the small bowel mesentery, visible within the abdominal cavity."
538.368,562.21,"The surgeon completes the anastomosis using a three-oh stratific suture, ensuring the connection between the ureter and neobladder is secure."
562.71,573.015,"Following the anastomosis of both ureters to the neobladder, the surgeon withdraws the ends of the stent through a five millimeter port located in the left iliac fossa."
