start,end,text
81.279,83.24,"The laparoscopic camera is positioned in the left upper quadrant, providing a view of the surgical field."
83.4,86.862,The surgeon's right hand is positioned in the right upper quadrant near the costal margins.
87.362,91.003,"Two trocars are positioned on the left side of the abdomen, likely facilitating access for surgical instruments during the colectomy procedure."
104.449,109.214,"The surgeon carefully separates the remaining omentum from the diseased area, using surgical instruments to detach the omental tissue."
109.714,118.233,The terminal ileum and cecum are visibly adhered to the right dome of the bladder and the right pelvic sidewall.
118.733,124.396,"With the omentum retracted, the surgeon visually inspects the area of disease, revealing underlying structures and pathology."
124.456,129.559,The surgeon examines the abdominal cavity for interloop fistulas and observes the adherence of the sigmoid colon to surrounding structures.
143.125,163.792,"The surgeon observes the sigmoid colon, which appears free initially, but upon deeper inspection, it is plastered to the ileocolic valve."
164.292,191.842,"The surgeon attempts to separate the loop of bowel that descends into the pelvis and ascends back up, with the distal sigmoid colon visibly adhered to the lateral aspect of the ileum. The surgeon works on freeing this area, considering the possibility of stapling across the point where the mesentery is attached."
194.303,200.985,"The surgeon considers using scissors to carefully cut through tissue, with the intention of repairing any visible defects encountered during the procedure."
201.425,205.587,"The surgeon begins to address a broad-based connection between the sigmoid colon and surrounding structures, carefully working to separate the adhered tissues."
206.087,211.189,The surgeon enters a granulation-filled cavity while separating the sigmoid colon from the ileocolic valve.
223.178,230.652,"The surgeon elects to resect the sigmoid colon, which is visually identified as an innocent bystander in the surgical field."
250.161,256.305,"The video shows the ileocolic valve and the surrounding area, highlighting the significant burden of disease present in this region."
256.345,274.164,The surgeon maneuvers tissue to clear the surgical field in preparation for the sigmoid resection and subsequent anastomosis.
274.664,299.365,"The surgeon performs blunt dissection and focused diathermy to expose the extent of the disease, assessing the area for potential resection while considering port configuration adjustments."
299.865,310.329,"The surgeon prepares to perform a sigmoid resection using the current port setup, achieving a favorable angle for the procedure. The robotic system is undocked and redocked to facilitate the subsequent ileocolic resection."
310.829,316.431,"The surgeon observes the redundant sigmoid colon, noting that an anatomical resection is unnecessary due to its redundancy."
316.931,320.352,"The surgeon completes the necessary mobilization of the bowel, preparing for the subsequent steps in the colectomy procedure."
320.852,321.712,"The camera focuses on the diseased section of the colon, highlighting the affected tissue that requires resection."
321.772,327.59,A sponge is placed in the surgical field to manage oozing from the inflamed areas of the fistula.
328.09,334.797,"The surgeon completes the lateral mobilization of the sigmoid colon, adjusting the tissue positioning to facilitate the upcoming resection."
335.297,338.399,"The surgeon selects the proximal margin of the sigmoid colon, preparing for resection after completing necessary mobilization."
338.419,342.724,"The surgeon positions the instruments close to the area of the fistula, preparing to perform the next step in the procedure."
347.568,363.828,"The surgeon begins to take the mesentery, likely using surgical instruments to separate it from surrounding tissues."
417.343,429.057,"The surgeon completes the division of the bowel, first proximally and then distally, as part of the colectomy procedure."
429.557,433.18,The surgical team places the resected specimen to the side and prepares to perform the anastomosis.
433.22,448.953,"The surgeon performs a sigmoid anastomosis using an inner layer of three VLOC sutures and an outer layer of two PDS sutures, completing the procedure in a manner consistent with previous colorectal anastomoses."
476.628,492.777,"The surgeon performs a leak test on the completed sigmoid anastomosis, checking for any signs of fluid leakage at the surgical site."
496.135,499.257,"The surgeon observes a non-bleeding, widely patent anastomosis, indicating successful connection of the bowel segments."
499.757,510.583,"The surgeon has redocked the surgical instruments in the standard configuration used for a right colectomy or ileocolic procedure, preparing to address the remaining diseased tissue."
510.603,524.852,"The surgical setup includes five ports and two twelve-millimeter trocars, with one trocar positioned suprapubically for extraction purposes."
528.733,530.334,"The surgeon runs the bowel proximally, inspecting the intestinal segments for any abnormalities or issues."
530.834,535.456,"The surgeon points out the transition area where the bowel appears more normal, indicating a change in tissue appearance."
535.956,537.497,"The surgeon continues to run the bowel proximally, inspecting the tissue along its length."
546.881,552.863,"The surgeon continues the lateral to medial dissection plane that was previously initiated, focusing on separating tissue layers along the bowel."
597.511,599.832,"The surgeon selects the margin of the colon for resection, marking the area where the surgical cut will be made."
600.332,613.155,"The surgeon marks the small bowel margin and creates a window in the mesentery, proceeding to dissect the mesentery from the proximal to the distal margin."
613.655,630.089,"The surgeon carefully dissects close to the bowel wall, ensuring a sufficient amount of mesentery is preserved for potential suturing, clipping, or stapling, while using a vessel sealer or energy device."
634.032,645.586,"The surgeon navigates around the branches of the ileocolic pedicle, wrapping towards the colon mesentery, using careful dissection techniques."
646.086,650.648,"The surgeon completes the dissection and preparation of the colon margin, finalizing the separation of the mesentery from the colon."
685.326,686.487,"The surgeon has completed the division of the colon, with the cut edges of the colon visible in the surgical field."
686.507,691.211,"The surgeon divides the small bowel mesentery, preparing for the subsequent anastomosis."
716.7,719.553,"The surgeon closes the common channel by suturing the tissue edges together, completing the anastomosis."
780.422,788.367,"The surgeon adjusts the suture holding the valve, redoing it to ensure proper placement and tension."
838.083,842.545,"The surgeon covers the distal anastomosis with healthy omentum, ensuring it is well-protected."
843.045,849.048,"The surgeon extracts both specimens through the fan and steel incision, located at one of the twelve millimeter trocar sites."
