start,end,text
26.66,35.063,"The surgeon begins by freeing adhesions between the omentum and the small bowel on the medial aspect of the sigmoid colon, using careful dissection techniques."
26.66,35.063,The surgeon begins by freeing adhesions between the omentum and the small bowel on the medial aspect of the sigmoid colon.
35.563,48.543,"The surgeon initiates a medial to lateral dissection of the sigmoid colon, carefully separating the tissue layers to expose the anatomical structures involved in the colectomy."
35.563,48.543,"The surgeon begins a medial to lateral dissection of the sigmoid colon, carefully separating the tissue layers in this region."
57.63,69.098,"The surgeon performs a high ligation of the inferior mesenteric artery (IMA) or superior hemorrhoidal artery, which is intended to provide additional length for the procedure."
69.598,74.722,"The surgeon isolates the superior hemorrhoidal artery, visually separating it from surrounding tissues."
69.598,74.722,"The surgeon isolates the superior hemorrhoidal artery, visually separating it from surrounding tissues."
75.222,77.043,"The surgeon begins to skeletonize the vessel, carefully removing surrounding tissue to expose the vessel's structure."
75.222,77.043,"The surgeon begins to skeletonize the vessel, carefully removing surrounding tissue to expose the vessel's structure."
77.063,80.225,The surgeon visually checks for the ureter before proceeding with the dissection and ligation of the vessel.
77.063,80.225,The surgeon visually checks for the ureter before proceeding with the dissection of the vessel.
85.269,95.796,"The surgeon skeletonizes the vessel, ensuring that surrounding tissue is cleared before using a vessel sealer to divide it, aiming for a secure seal without any bunched-up tissue."
85.269,95.796,"The surgeon skeletonizes the superior hemorrhoidal vessel, ensuring that no bunched-up tissue remains before dividing it with a vessel sealer to achieve a secure seal."
96.296,107.431,The surgeon has completely isolated the superior hemorrhoidal artery and prepares to divide it using a vessel sealer.
96.296,107.431,The surgeon has completely isolated the superior hemorrhoidal vessel and prepares to divide it using a vessel sealer.
107.931,112.674,"The surgeon prepares to mobilize the splenic flexure by taking the vessels at a high position, indicating a selective approach to vessel management during the colectomy."
112.694,133.389,"The surgeon observes that the left colic artery is tethering and plans to continue the medial dissection. A high ligation of the inferior mesenteric vein (IMB) is intended, with the potential need to take the left colic artery to release tension."
112.694,133.389,"The surgeon observes that the left colic is tethering and plans to continue medial dissection, performing a high ligation of the inferior mesenteric vein (IMV) and potentially taking the left colic to release tension."
140.571,147.013,"The surgeon isolates the left colic branch, preparing to divide it using a vessel sealer."
140.571,147.013,"The surgeon isolates the left colic branch, preparing to divide it using a vessel sealer."
158.817,164.777,"The surgeon performs a medial to lateral dissection, progressing through the tissue layers to mobilize the colon."
158.817,164.777,"The surgeon performs a medial to lateral dissection, progressing through the tissue layers to mobilize the area."
165.277,169.098,"The surgeon continues mobilization of the splenic flexure, advancing the dissection to release tension and improve access to the targeted area."
165.277,169.098,"The surgeon continues the dissection, advancing towards the splenic flexure to achieve maximum mobilization of the colon."
174.62,179.921,"The surgeon isolates the inferior mesenteric vein (IMV) using surgical instruments, preparing it for further manipulation or ligation."
174.62,179.921,"The surgeon isolates the inferior mesenteric vein (IMV) using surgical instruments, preparing for further dissection or ligation."
180.421,196.829,"The surgeon uses a vessel sealer to transect the isolated inferior mesenteric vein (IMV), completing the dissection and mobilization of the splenic flexure."
180.421,196.829,"The surgeon uses a vessel sealer to transect a vessel, completing the dissection step."
197.329,205.956,"Following the completion of the medial dissection, the surgeon proceeds to perform a lateral dissection, continuing the mobilization of the colon."
197.329,205.956,"The surgeon transitions from a completed medial dissection to begin lateral dissection, continuing the mobilization process."
209.759,216.284,"The surgeon initiates lateral dissection, following the isolation of the inferior mesenteric vein (IMV), using appropriate surgical instruments to separate tissue layers."
209.759,216.284,"The surgeon initiates the lateral dissection, following the completion of the medial dissection."
216.784,224.303,"The surgeon prepares to enter the lateral dissection plane after completing a full medial dissection, facilitating easier access to the targeted area."
216.784,224.303,"The surgeon prepares to enter the lateral plane after completing a full medial dissection, ensuring the area is well exposed for further surgical progress."
224.803,226.384,"The surgeon approaches the dissection from the lateral side, utilizing the previously established medial dissection plane to facilitate easier access and manipulation of the tissue."
226.404,241.15,"The surgeon identifies the medial plane, preparing to enter it for further dissection."
226.404,241.15,"The surgeon identifies the medial plane, preparing to enter it with visible anatomical landmarks and tissue layers."
241.17,253.678,"The surgeon advances the dissection upwards towards the splenic flexure, following the established medial plane."
241.17,253.678,"The surgeon advances the dissection towards the splenic flexure, following the established medial plane."
268.41,274.555,The surgeon performs a full splenic flexure release to facilitate reaching the anastomosis site.
268.41,274.555,The surgeon performs a full splenic flexure release to facilitate reaching the anastomosis site.
279.179,284.572,"The surgeon begins dissection from the lateral side, preparing to enter the medial plane previously identified."
279.179,284.572,"The surgeon begins dissection from the lateral side, preparing to enter the medial plane."
285.072,301.285,"The surgeon adjusts the table to reverse the Trendelenburg position, facilitating the complete takedown of the splenic flexure using the same laparoscopic ports without the need for double docking."
285.072,301.285,"The surgeon reverses the Trendelenburg position using table motion, facilitating the complete takedown of the splenic flexure using the same ports without the need for double docking."
301.785,315.17,"The surgical field reveals the kidney and the tail of the pancreas, fully exposed as the surgeon continues the procedure."
301.785,315.17,"The surgical field reveals the kidney and the tail of the pancreas, fully exposed as the surgeon continues the procedure."
315.67,330.079,"The surgeon moves to the pelvic region to continue freeing up diseased tissue, focusing on the remaining areas that require dissection."
315.67,330.079,"The surgeon navigates back to the pelvic region to continue freeing up diseased tissue, focusing on the remaining areas that require dissection."
330.579,338.297,"The surgeon completes the lateral dissection on the left side wall, carefully separating the tissue layers in this area."
330.579,338.297,"The surgeon completes the lateral dissection on the left side wall, carefully separating tissue layers in this region."
338.797,346.362,"The surgeon carefully identifies anatomical planes during dissection to avoid encroaching upon the ureter, ensuring clear separation of tissue layers."
359.43,362.512,"With all structures freed, the surgeon proceeds to divide the margins of the resected tissue, ensuring clear separation from surrounding anatomical structures."
359.43,362.512,"The surgeon prepares to divide the margins after freeing the surrounding tissue, with the kidney and tail of the pancreas fully exposed."
363.012,373.125,"The surgeon visually identifies the upper rectum, preparing for further surgical intervention in the area."
