start,end,text
982.284,987.711,And what I'd just like to show is just a short video clip of
988.737,991.319,of a laparoscopic merendino.
991.76,994.582,This is a patient with an early esophageal cancer.
995.323,1016.803,"You can see some blue staining there, and this is a patient, in fact, on whom we did a central lymph node biopsy after injecting indigo carmine dye by an endoscopy and resected a central lymph node, and then a second central lymph node there, following which,"
1019.821,1024.207,We went on to dissect the vagus.
1024.267,1027.752,So that's the hiatus which has obviously been dissected out.
1028.052,1029.614,That's the esophagus.
1031.817,1036.965,That's the nerves of latige coming down the lesser curvature of the stomach.
1038.046,1049.001,The posterior vagus nerve there being dissected out and looped.
1051.377,1058.387,and then a similar approach being used to identify and loop the anterior vagus.
1061.331,1073.908,"And once that has been done, this is, in fact, a segmental resection now with the merendino of the distal esophagus that's been dissected via the transhiatal route."
1074.489,1081.198,"So that's the gastric end of the esophagus that's being divided, followed by..."
1083.845,1096.639,division up in the mediastinum transhiately of the proximal end with endoscopic control to ensure that the entire Barrett segment has been excised.
1098.29,1104.202,And then the next portion after that is to use a pedicle flap of jejunum.
1110.233,1119.792,"Because remember, in this case, this is an isolated pedicle flap of jejunum, which is now being taken up to the hiatus."
1120.902,1146.015,"So it is incredibly important to ensure that the pedicle flap of jejunum, once it has been divided at both ends and the arcade along the bovel has been divided, that the blood vessels which are coming up directly from the superior mesenteric artery are going to be able to supply the vascularity of"
1147.902,1148.703,of this flap.
1149.605,1162.468,And we are using bulldog clips here to temporarily occlude the blood vessels to the pedicle flap of jejunum before dividing the
1165.807,1166.689,the jejunum.
1167.671,1173.625,And then taking that up to the hiatus.
1173.645,1176.753,"I think in the interest of time, I will stop that."
1177.695,1181.183,"Sorry, could we go forward to the next PowerPoint slide, please?"
