start,end,text
2.156,3.638,Good morning. Good morning.
4.138,5.259,Please tell your name.
5.279,8.202,My name is Sufi and I am from Australia.
8.362,13.467,I came here to get my gallbladder operated from here.
13.967,20.113,That's great that you came all the way from Australia to get it done over here.
20.613,23.536,And so what's the reason for that?
24.036,42.967,"My stomach used to ache from last four years but then in Australia I got it checked and they didn't diagnose anything and I got it diagnosed here and so everyone told me to get it operated and I came to you like from Dr. Levinson, he referred you and"
43.467,45.569,Where did you get it diagnosed?
45.609,52.835,"From DMC, but Dr Lalit recommended just for you, like to take it on."
53.335,59.52,You went to Riyadh Medical College Hospital first.
60.02,65.624,"So how was your experience with my hospital, Diwan Hospital?"
66.124,70.788,"Like very, very, you've been very cooperative with me because I think I was very difficult"
71.268,94.787,patient and was very good very helpful staff very cooperative and you've been very nice with me and especially aunty like she's been she's been encouraging me like that was a very very you know positive uh fight for me like i can just walk and everything okay i am not in the mentions
95.287,100.353,"Especially you, you have done my surgery and thank you so much for this."
100.853,110.744,"That was the worst thing I used to ever suffer, the pain and you have done my surgery."
111.244,128.116,"The video shows a swollen gallbladder filled with pus, indicating severe inflammation."
128.616,132.559,You must be suffering very severe pain.
133.059,140.283,Were you able to sleep or eat or work?
140.783,155.692,"I was not having any chocolates, not even the fried food, especially the chickpeas and the kidney beans."
156.192,157.533,What are you doing in Australia?
157.553,164.438,I am a system analyst.
164.938,171.662,"So you will permit us to put this on our website, YouTube and other media?"
172.162,177.506,It's a pleasure that you are going home happy and your disease is totally cured.
