start,end,text
0.875,56.472,"This is an abdominal approach for a robotic end-block right hepatectomy, diaphragm resection, and wedge lung resection of a hydrated cyst. The patient is a thirty-five-year-old female from Ethiopia who was found to have a ten-centimeter stage CE-B, a conicoccus liver cyst that was invading the right hemithorax. She was consented for surgical resection and started on albendazole the day prior to surgery. Her liver CT demonstrates involvement of the majority of the right liver, as well as penetration of the right hemithorax with involvement of the diaphragm and possibly the right lung base. In addition, the cyst is adjacent to the middle hepatic vein, and this complicates the potential resection."
81.094,106.332,"The surgical team places robotic ports across the upper abdomen, including a 12mm assist port for the Kooza between robotic ports one and two. The camera is positioned at port two, while other ports serve as working and assist arms. The procedure begins with the division of the falciform ligament, exposing the middle and left hepatic veins, along with the extrahepatic portion of the right hepatic vein."
106.832,148.462,The surgeon uses intraoperative liver ultrasound to visualize the hydatid cyst and its proximity to the middle hepatic vein. The parenchymal transection plane is marked to preserve the middle hepatic vein during the hepatectomy. Hypertonic saline-soaked gauze is applied over the liver cyst as a precaution against rupture.
148.962,256.392,"The surgeon performs a cholecystectomy, identifying and clipping the cystic artery and duct with hemlock clips before removing the gallbladder. This exposes the right liver hilum, allowing medial retraction of the bile duct. The right hepatic artery is dissected, encircled, and occluded with a bulldog clamp for Doppler ultrasound confirmation of left hepatic artery patency. The right hepatic artery is then clipped and divided, revealing the right portal vein. The right portal vein and its branches to the caudate lobe and segment six are dissected, clipped, and divided, completing inflow control for the right hepatectomy."
256.892,318.36,"The surgeon performs a challenging mobilization of the right hemiliver due to the invasive hydatid cyst and diaphragm involvement. The hepatorenal ligament is divided, facilitating an anterior approach to the retrohepatic cava dissection. The retrohepatic cava is exposed, and short hepatic branches are circumferentially dissected, clipped with hemlock clips, or divided using the robotic vessel sealer. Larger hepatic vein branches are clipped and divided, while smaller branches are divided with the vessel sealer. Hypertonic saline-soaked gauze is placed in the retroperitoneum to manage potential cystic content spillage."
318.86,393.692,"Endocyanin green is administered to visually demarcate the liver between the right and left hemi-livers, aiding in the completion of the planned parenchymal transection line. The surgeon uses the laparoscopic CUSA to dissect intraparenchymal vascular and biliary structures, which are clipped with hemlock clips or divided with the robotic vessel sealer. The right bile duct is divided intraparenchymally, encircled, and an ICG cholangiogram is performed to confirm the hepatic duct bifurcation, ensuring no injury to the confluence or left hepatic duct."
394.192,461.73,"The surgeon clips the right bile duct with hemlock clips and divides it, completing the right bile duct division. The parenchymal transection proceeds along the lateral border of the retro-hepatic inferior vena cava until the right hepatic vein is visualized. The right hepatic vein is circumferentially dissected, controlled, and stapled using the robotic stapler, completing the parenchymal transection. Hypertonic saline soaked gauze is placed around the liver in the retroperitoneum and along the cut surface of the left liver to prevent cyst spillage during diaphragm resection and liver mobilization."
462.23,528.117,"The surgeon opens the diaphragm, exposing the right hemithorax. The right lung is deflated using a double lumen endotracheal tube. The right triangular ligament is divided, allowing complete mobilization of the right liver. The posterior aspect of the diaphragm is resected, revealing the hydatid cyst's involvement with the right lung base. A small wedge resection of the right lung is performed using the robotic stapler, completing the final resection of the en bloc specimen."
528.617,570.445,"The surgeon places the specimen, containing the cyst, into a large endobag and removes it through the fan and steel port. A completion ultrasound confirms the patency of the left hepatic artery and left portal vein. The thoracic team performs diaphragm reconstruction using interrupted zero-ethabon sutures, with pledgets to prevent tearing, and the completed reconstruction is shown."
585.81,598.265,"The final specimen is displayed, revealing numerous daughter cysts within the hydatid cyst."
