start,end,text
25.451,32.184,"The surgeon evaluates the previous base of the appendix, which is visible in the surgical field."
32.684,46.869,"The surgeon identifies the ileocolic vessels and begins dissection, carefully separating these vessels from surrounding tissues using laparoscopic instruments."
47.369,55.392,"The surgeon carefully dissects to identify the ileocolic vessels, which are then ligated using a ligature device."
63.075,74.148,"After ligating the ileocolic vessels, the surgeon continues the dissection, revealing the duodenum in the surgical field."
74.648,78.233,"The surgeon performs blunt dissection to mobilize the duodenum, carefully separating it from surrounding tissues."
78.733,91.535,"The surgeon searches for the right colic artery, noting that it is absent in most patients."
92.035,103.142,"The surgeon carefully dissects within the transverse mesocolon to identify the middle colic vessels, using precise technique to separate these structures from surrounding tissue."
103.642,113.548,"The surgeon exposes the middle colic vessels, clearly visualizing both the right and left branches within the transverse mesocolon."
114.048,131.676,"The surgeon uses a ligature device to take the skeletonized right branch of the middle colic vessel, while the left branch is visibly preserved."
132.176,147.035,"The surgeon identifies the gallbladder, indicating completion of the previous section, and proceeds to mobilize the hepatic flexure of the colon."
147.535,158.838,"The surgeon creates a window in the mesentery of the terminal ileum and divides the terminal ileum using an endo-GIA stapler, visibly separating the ileum from its mesenteric attachments."
159.338,170.461,"The surgeon uses an energy device to dissect the mesentery in a cephalad direction, progressing towards the upper part of the abdominal cavity."
170.961,184.665,"The surgeon performs a standard dissection of the right colon along the white line of Toldt, carefully separating the colon from the lateral peritoneal attachments."
185.165,203.111,"The surgeon prepares the transverse colon for division using an endo-GIA stapler, positioning the instrument to ensure precise cutting."
203.611,212.526,"The surgeon removes omental attachments from the transverse mesocolon, clearing the area for further dissection."
213.026,225.314,"The surgeon creates a side-to-side ileocolonic isoperistaltic anastomosis, joining the ileum and colon in alignment with their natural peristaltic movement."
225.814,234.859,"The surgeon creates an enterotomy and decollotomy using electrocautery and an energy device, visibly incising the intestinal and colonic tissues."
235.359,242.5,"The surgeon completes the anastomosis by deploying the endo-GIA stapler, joining the prepared segments of the transverse colon."
243,285.045,"The surgeon closes the defect in the surgical site using a continuous suturing technique with absorbable material, ensuring the closure is secure and uniform."
285.545,291.551,"The surgeon closes the mesenteric defect using absorbable sutures in an interrupted fashion, ensuring the defect is securely sealed."
296.995,302.08,"The surgeon extracts the specimen through a small Pfannenstiel incision, completing the removal process."
