start,end,text
0.857,13.806,"The surgical field shows the completed mobilization of the colon, including mesenteric and lateral division, with the splenic flexure fully mobilized."
0.857,13.806,"The surgeon has completed the mobilization of the colon, including the mesenteric and lateral divisions, and has mobilized the splenic flexure in a case of complicated diverticulitis."
14.306,38.765,"The surgeon performs a transrectal extraction of the specimen, dividing the distal and proximal sections using scissors. The mesentery has been previously taken, and ICG was used to select the margins."
14.306,38.765,"The surgeon performs a transrectal extraction of the specimen, dividing the distal and proximal sections of the colon. The mesentery has been previously taken, and indocyanine green (ICG) was used to select the margins. The surgeon uses scissors to complete the division."
39.265,102.997,"The surgeon uses a vessel sealer to remove the mesentery from the specimen, which is being chopped into smaller pieces due to its bulk."
39.265,102.997,"The surgeon uses a vessel sealer to remove the mesentery from the bulky specimen, preparing to chop it into smaller pieces for extraction."
103.497,139.606,"The surgeon uses a ring clamp to attempt extraction of the specimen, encountering resistance possibly due to narrowing. EEA sizers, sizes twenty-eight and thirty-one, are used for dilation, facilitating the removal of the mesentery. The surgeon proceeds with piecemeal division of the specimen, removing each piece individually."
103.497,139.606,"The surgeon uses a ring clamp to attempt extraction of the specimen, encountering resistance possibly due to narrowing. EEA sizers, sizes twenty-eight and thirty-one, are used for dilation, facilitating the removal of the mesentery. The surgeon proceeds with piecemeal division of the specimen, removing each piece individually."
162.012,197.298,"The surgeon manually chops up the specimen into smaller pieces, then passes a ring clamp between the patient's legs to extract each piece individually, repeating the process without an assistant."
197.798,223.097,"The surgeon uses a vessel sealer to dissect through the largest part of the specimen, applying the device to compress and cut the tissue. The vessel sealer effectively handles the specimen, which is visually substantial in size."
197.798,242.074,"The surgeon uses a vessel sealer to divide the largest part of the specimen, applying significant traction and a rotation method to facilitate the cut. As the specimen is inverted, the surgeon manually assists in extracting the pieces, successfully removing the last piece."
223.597,243.275,"The surgeon uses a rotation method and manual inversion to extract the final piece of the specimen, applying significant pulling force to remove it successfully."
242.574,265.064,"The surgeon completes the extraction of the specimen and proceeds to perform a sewn two-layer anastomosis, placing stitches for the posterior row."
243.775,284.609,"The surgeon begins a sewn two-layer anastomosis, placing stitches for the posterior row. The posterior wall of the rectum is visible and appears unusual during the stitching process."
265.564,298.672,"The surgeon takes bites during the anastomosis and observes the posterior wall of the rectum, identifying a full thickness tear in the rectal wall."
285.109,322.179,"The surgeon identifies a full thickness tear in the rectal wall, likely caused by dilators or specimen extraction. The vessel sealer is used to carefully resect additional tissue from the upper rectum, closely following the bowel wall."
299.172,322.179,"The surgeon uses a vessel sealer to carefully resect additional portions of the upper rectum, attempting to closely follow the bowel wall after realizing damage likely caused by dilators or specimen extraction."
322.679,367.05,"The surgeon carefully dissects below the area of the rectal wall tear, dividing the distal bowel more proximally to prevent extensive resection of the rectum."
322.679,367.05,"The surgeon carefully maneuvers below the area of the rectal tear, preparing to divide the distal bowel more proximally than usual to avoid converting the procedure to a low anterior resection."
367.55,403.143,The surgeon identifies the bottom of the tear in the rectal wall and proceeds to clear the surrounding mesentery using surgical instruments.
367.55,403.143,The surgeon identifies the bottom of the tear in the rectal wall and proceeds to clear the remaining mesentery using surgical instruments.
403.643,471.348,"The surgeon uses scissors to transect the bowel below the site of injury, clearing a large wad of mesentery to expose the distal bowel lumen circumferentially for the anastomosis."
403.643,471.348,"The surgeon uses scissors to transect the bowel below the site of injury, removing obstructive mesentery to expose the distal bowel lumen for a clear view of the circumferential area needed for anastomosis."
471.848,495.182,"The surgeon removes a wad of omentum from the surgical field and proceeds to perform a two-layer sewn anastomosis, carefully placing sutures to connect the ileum to the rectum."
471.848,495.182,The surgeon removes a wad of omentum from the surgical field and begins creating a two-layer sewn anastomosis at the site of the rectal tear.
495.682,538.841,"The surgeon performs a two-layer sewn anastomosis, stitching the back row between the distal descending colon and the proximal rectum, ensuring precise alignment of the bowel segments."
495.682,538.841,"The surgeon sews the back row of the anastomosis between the distal descending colon and the proximal rectum, using a two-layer technique to ensure secure connection."
539.341,602.248,"The surgeon performs a baseball stitch on the posterior row of the anastomosis, working deeper in the pelvis. The visualization remains clear despite the challenging location."
539.341,602.248,"The surgeon performs a baseball stitch to complete the posterior row of the anastomosis, working in a deeper pelvic location with good visualization."
602.748,642.488,"The surgeon turns the stitch around to prepare for canalization over the top, using a three OV lock nine-inch suture. The inner back row is started, sewing towards the surgeon."
602.748,642.488,"The surgeon turns the stitch around to prepare for canalization over the top, using a 3-0 V-Loc suture. The inner back row is started, sewing towards the surgeon."
642.988,690.75,"The surgeon transitions to a canal stitch at the near corner of the anastomosis site, continuing the process of creating a sewn ileorectal anastomosis."
677.96,714.714,"The surgeon transitions the suture around the near corner of the anastomosis, effectively inverting the corner with each tightening of the stitch."
691.25,754.534,"The surgeon demonstrates the inversion of the corner with each tightening of the suture, switching between two stitches to close the anastomosis. The near corner suture is used to terminate the far corner suture, completing the inner anterior wall closure."
715.214,754.534,"The surgeon switches between two stitches to close the anastomosis, terminating the far corner suture and completing the inner anterior wall closure from the near corner suture."
755.034,831.659,"The surgeon takes an extra bite of tissue and ties the suture, then uses the original back layer suture to sew over the top, forming the anterior outer layer and completing the second row of the anastomosis."
755.034,782.955,"The surgeon takes an additional bite with the suture before tying it, ensuring secure closure of the anastomosis."
783.455,844.227,"The surgeon takes the original back layer suture and sutures over the top to form the anterior outer layer, creating a second row. The stitch is terminated with a knot, completing the anastomosis. A leak test is performed to ensure the integrity of the anastomosis."
832.159,860.347,"The surgeon ties a knot to terminate the final stitch, completing the ileorectal anastomosis. A leak test is performed using a 19mm practice scope, with air insulation through the anastomosis to check for leaks. The anastomosis appears widely patent with no visible bleeding."
844.727,860.347,"The surgeon performs a leak test using a 19mm practice scope, insulating air and inspecting the anastomosis. The anastomosis appears widely patent with no visible bleeding."
