start,end,text
202.75,205.937,Three small incisions were made on the right hemiphorax.
206.879,212.893,"During the right vet's pleural explanation, there was no pleural effusion, only minimal pleural adhesion."
213.535,217.784,We confirmed there's no cancer deposits on visceral and parietal pleura.
217.804,221.653,Both horizontal and operifices were reasonably well developed.
230.071,234.042,We begin the operations with divisions of inferior pulmonary ligament.
238.955,243.608,"Station nine lymph node was within the ligament, so this lymph node was sample."
272.984,302.147,With the lung rejecting anteriorly the posterior myelostomal pura was further opened up all the way to the level of eschargous vein And then the lung was rejecting posteriorly
303.292,323.764,and the right hilum was accessed the anterior mediastinum pool was opened up with the right hilum lymph node dissecting distally the superior pulmonary vein was exposed
336.738,343.249,"Sparing the middle vein, only the upper lobe veins were dissecting free and isolated."
355.911,361.26,An endostable was used to divide and ligate the upper lobe vein.
376.107,378.653,with more hilum lymph node dissecting digitally.
379.575,389.037,"The first branch from the right pulmonary artery, namely the apical anterior segment artery, was dissecting free and isolated."
408.271,436.877,"Again, an endostable was used to divide and ligate the first branch from the primary artery."
451.522,457.529,"Following the horizontal fissure, the anterior part of the fissure was complete by endostabular."
470.745,473.608,The pulmonary artery was dissecting further distally.
474.489,478.474,"The second branch, namely the posterior segment artery,"
479.382,505.39,was isolated and dissecting free This artery was controlled by suture ligation proximally and dividing by harmonic scalpel distally And then the remaining posterior part of the horizontal fissure was further complete by endostabular
523.055,541.722,"The last upper lower artery, namely the recurrent artery was exposed, dissecting free and isolated Again, this artery was controlled by sutural ligation proximally and dividing by harmonic scalpel distally"
553.244,560.203,"As we can see here, there's lots of residual lymph nodes surrounding the right upper root bronchus."
560.223,566.359,"In order to free up the bronchus, we use the harmonic scalpel to dissect all the lymph nodes digitally."
585.661,594.287,"When we are dissecting the interoperable lymph node, we need to be very careful not to injury other branches from the pulmonary artery."
660.974,673.549,the anterior aspect of the bronchus was free up In order to further free up the right upper bronchus the posterior mediastinum pura was further open up
689.307,693.753,and the posterior portions of operic fictures was complete by a stabler.
696.157,700.103,Now we can see the right upper bronchus was completely dissecting free.
702.747,707.233,Endostabler was applied.
707.253,716.867,"After conformations with clamping text, the right upper bronchus was dividing and ligated by endostabler."
723.968,752.625,endocatch pad was used to remove the specimen now we start the second stage of the operation mediastinum lymph node dissection we begin with 3A lymph nodes open up the anterior mediastinum pula just anterior to the framing nerve but not injuring the nerve 3A lymph nodes was removed in an N-block fraction
778.525,786.66,"With the lung rejected anteriorly, we access to the subcarina region where the station 7 lymph node is located."
787.962,793.512,"Here we need to pay attention to the esophagus, make sure we don't injure the esophagus."
795.556,802.288,"Again in the same manner, the station 7 lymph node was removed in an N block fraction."
834.753,841.783,"Finally, we access to the peritracheal region which contains station 2R and station 4R lymph nodes."
842.584,853.099,These lymph nodes located anterior to the trachea and posterior to the superior vena cava.
853.119,854.901,We open up the mediastinum puller.
857.024,860.389,Make sure we don't injure the cava and the trachea.
861.533,868.455,and then all the lymph nodes and the surrounding lymphatic tissues was removed in an N-block fraction.
900.329,909.445,"with plural irrigation, make sure there's no air leak from the lung, and the hemostasis was satisfactory before finishing the operation."
